evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
318676a3b00af26f5749c55e5c0dbd5edcc7dd6a,30fce644427f3d735a2765115201e53f52144ecf,aca7d0b7b437eeddb2b218c12c88ba4aa7a9dfb9,b902551b87b82b881775598baafbf794bcc9b233,left,"-38,6","+38,7",a/lib/API/Extra.js,b/lib/API/Extra.js
9aa0abbdab3b4826e85678fa2f9d37811d6c9897,58d2465ef76e81cb2721423321c0f0d848b6306a,9aa0abbdab3b4826e85678fa2f9d37811d6c9897,71c6e749c698fa41f59b4d856aadd65942b500e0,left,"-602,18","+603,14",a/lib/API.js,b/lib/API.js
0c652f0406558bf7a99d7c62e436eb0f421c94c0,58d2465ef76e81cb2721423321c0f0d848b6306a,9aa0abbdab3b4826e85678fa2f9d37811d6c9897,71c6e749c698fa41f59b4d856aadd65942b500e0,right,"-603,17","+602,15",a/lib/API.js,b/lib/API.js
76c731fef9a1f27a56ff17b0e130788a828d6a52,83294afee7cf0204208e9cc7f4cf687469556492,3785d6e50730f4969433b4e4d403b236d1e2707a,4217b1505419904252d0ae7640a51128a2459d98,left,"-26,0","+26,1",a/lib/API.js,b/lib/API.js
8e491bfdc155c7c8e5fdea2bf574b786b68ff90a,83294afee7cf0204208e9cc7f4cf687469556492,3785d6e50730f4969433b4e4d403b236d1e2707a,4217b1505419904252d0ae7640a51128a2459d98,right,"-26,0","+27,1",a/lib/API.js,b/lib/API.js
3785d6e50730f4969433b4e4d403b236d1e2707a,83294afee7cf0204208e9cc7f4cf687469556492,3785d6e50730f4969433b4e4d403b236d1e2707a,4217b1505419904252d0ae7640a51128a2459d98,left,"-655,7","+655,14",a/lib/API.js,b/lib/API.js
76c731fef9a1f27a56ff17b0e130788a828d6a52,83294afee7cf0204208e9cc7f4cf687469556492,3785d6e50730f4969433b4e4d403b236d1e2707a,4217b1505419904252d0ae7640a51128a2459d98,left,"-652,0","+655,7",a/lib/API.js,b/lib/API.js
8e491bfdc155c7c8e5fdea2bf574b786b68ff90a,83294afee7cf0204208e9cc7f4cf687469556492,3785d6e50730f4969433b4e4d403b236d1e2707a,4217b1505419904252d0ae7640a51128a2459d98,right,"-652,0","+654,4",a/lib/API.js,b/lib/API.js
6466ee44c1b85858f9b7e56b01aa6f2a08bde508,79ab92425fef22cdf679fa77840d86a6e7cfc755,8e491bfdc155c7c8e5fdea2bf574b786b68ff90a,bbcc85a41683f5fa573bf504894f8e817c89784a,right,"-934,1","+935,1",a/lib/API.js,b/lib/API.js
991ef5b9d3921e88211a9a6d3af42d6d520cf042,d5604300685ace1c7dbd18776fd3df79da96f638,991ef5b9d3921e88211a9a6d3af42d6d520cf042,a668f5762190061dd05de5c5d888b53f35fa386e,left,"-70,2","+72,1",a/lib/API/Modules/Modularizer.js,b/lib/API/Modules/Modularizer.js
1da6edde80e3029d99084992ec1a4ada7b2cc279,d5604300685ace1c7dbd18776fd3df79da96f638,991ef5b9d3921e88211a9a6d3af42d6d520cf042,a668f5762190061dd05de5c5d888b53f35fa386e,right,"-70,2","+70,2",a/lib/API/Modules/Modularizer.js,b/lib/API/Modules/Modularizer.js
991ef5b9d3921e88211a9a6d3af42d6d520cf042,d5604300685ace1c7dbd18776fd3df79da96f638,991ef5b9d3921e88211a9a6d3af42d6d520cf042,a668f5762190061dd05de5c5d888b53f35fa386e,left,"-112,1","+111,1",a/lib/API/Modules/Modularizer.js,b/lib/API/Modules/Modularizer.js
1da6edde80e3029d99084992ec1a4ada7b2cc279,d5604300685ace1c7dbd18776fd3df79da96f638,991ef5b9d3921e88211a9a6d3af42d6d520cf042,a668f5762190061dd05de5c5d888b53f35fa386e,right,"-112,1","+112,1",a/lib/API/Modules/Modularizer.js,b/lib/API/Modules/Modularizer.js
ee5e6a06cbf93f2d1fa7fa022d6bdcad55a39695,0e4453d9cc789aa08ee778ff400572337e90d2e3,2c8170c25e231eb8827bb0944b76c2f4b041d84e,31e536b5d96b11a259c82ac9bfc8022bfbafca61,left,"-319,2","+318,2",a/lib/API/Startup.js,b/lib/API/Startup.js
f8a6a634623808625c9a0861553307268878944a,0e4453d9cc789aa08ee778ff400572337e90d2e3,2c8170c25e231eb8827bb0944b76c2f4b041d84e,31e536b5d96b11a259c82ac9bfc8022bfbafca61,right,"-319,2","+328,2",a/lib/API/Startup.js,b/lib/API/Startup.js
1f38463836baedccbad26ff844a7af635e5fe786,9c66192b633ad1726b04cbb0c08aa40ac8a05a14,291936818be090044fb31d9929d05feeff564b27,654d25d03ce8361641861bec2a71cf5157636b1a,left,"-220,14","+220,2",a/lib/API/CliUx.js,b/lib/API/CliUx.js
f41ff15451a5876be9651eea4ad948c7b128fc0e,9c66192b633ad1726b04cbb0c08aa40ac8a05a14,291936818be090044fb31d9929d05feeff564b27,654d25d03ce8361641861bec2a71cf5157636b1a,right,"-221,12","+221,39",a/lib/API/CliUx.js,b/lib/API/CliUx.js
