evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
d7825c76d007d0096e0e393bc63d31f602a9b938,8d4f0de08e3a16305934bd524c90b95207d33d79,8e7de0361fd24999ad209beb15b36ebf5a545ac1,d7825c76d007d0096e0e393bc63d31f602a9b938,src/actor/Actor.js,src/actor/Actor.js,src/actor/Actor.js,src/actor/Actor.js,"[4, 4]","[4, 5]",28,28,True,False,RENAME
d7825c76d007d0096e0e393bc63d31f602a9b938,8d4f0de08e3a16305934bd524c90b95207d33d79,8e7de0361fd24999ad209beb15b36ebf5a545ac1,d7825c76d007d0096e0e393bc63d31f602a9b938,src/actor/Actor.js,src/actor/Actor.js,src/actor/Actor.js,src/actor/Actor.js,"[119, 124]","[121, 122]",28,28,True,False,RENAME
bbd45343234451d839652b3e79241f8474ec7885,1a86b0e1ee79f84c23cccaf628480c287664cdce,bbd45343234451d839652b3e79241f8474ec7885,d35870d5b2305d61e60bbe1c07ca3218a5bf54a8,popmotion.global.js,popmotion.global.js,popmotion.global.js,popmotion.global.js,"[1, 5136]","[1, 5291]",4160,1652,True,True,INTERNAL_MOVE
bbd45343234451d839652b3e79241f8474ec7885,1a86b0e1ee79f84c23cccaf628480c287664cdce,bbd45343234451d839652b3e79241f8474ec7885,d35870d5b2305d61e60bbe1c07ca3218a5bf54a8,popmotion.global.js,popmotion.global.js,popmotion.global.js,popmotion.global.js,"[1, 5136]","[1, 5291]",1877,3839,True,True,INTERNAL_MOVE
c494d5ecd43186f3b6e62ae83508dd3e3164a537,1a86b0e1ee79f84c23cccaf628480c287664cdce,bbd45343234451d839652b3e79241f8474ec7885,d35870d5b2305d61e60bbe1c07ca3218a5bf54a8,popmotion.global.js,popmotion.global.js,popmotion.global.js,popmotion.global.js,"[1, 5435]","[1, 5287]",1645,4268,True,True,INTERNAL_MOVE
c494d5ecd43186f3b6e62ae83508dd3e3164a537,1a86b0e1ee79f84c23cccaf628480c287664cdce,bbd45343234451d839652b3e79241f8474ec7885,d35870d5b2305d61e60bbe1c07ca3218a5bf54a8,popmotion.global.js,popmotion.global.js,popmotion.global.js,popmotion.global.js,"[1, 5435]","[1, 5287]",4065,1896,True,True,INTERNAL_MOVE
9ffd0a61b99421b4542ac5ae72940d9d767d6f80,1a86b0e1ee79f84c23cccaf628480c287664cdce,bbd45343234451d839652b3e79241f8474ec7885,d35870d5b2305d61e60bbe1c07ca3218a5bf54a8,popmotion.global.js,popmotion.global.js,popmotion.global.js,popmotion.global.js,"[1, 5154]","[1, 5302]",4179,1645,True,True,INTERNAL_MOVE
9ffd0a61b99421b4542ac5ae72940d9d767d6f80,1a86b0e1ee79f84c23cccaf628480c287664cdce,bbd45343234451d839652b3e79241f8474ec7885,d35870d5b2305d61e60bbe1c07ca3218a5bf54a8,popmotion.global.js,popmotion.global.js,popmotion.global.js,popmotion.global.js,"[1, 5154]","[1, 5302]",1896,3850,True,True,INTERNAL_MOVE
52c0fe4ca6686f5718a888f06e0bde6a1a7ca85b,1a86b0e1ee79f84c23cccaf628480c287664cdce,bbd45343234451d839652b3e79241f8474ec7885,d35870d5b2305d61e60bbe1c07ca3218a5bf54a8,popmotion.global.js,popmotion.global.js,popmotion.global.js,popmotion.global.js,"[1, 5136]","[1, 5154]",852,47,True,True,EXTRACT
52c0fe4ca6686f5718a888f06e0bde6a1a7ca85b,1a86b0e1ee79f84c23cccaf628480c287664cdce,bbd45343234451d839652b3e79241f8474ec7885,d35870d5b2305d61e60bbe1c07ca3218a5bf54a8,popmotion.global.js,popmotion.global.js,popmotion.global.js,lib/inc/utils.js,"[1, 5136]","[1, 5154]",852,27,True,True,EXTRACT_MOVE
52c0fe4ca6686f5718a888f06e0bde6a1a7ca85b,1a86b0e1ee79f84c23cccaf628480c287664cdce,bbd45343234451d839652b3e79241f8474ec7885,d35870d5b2305d61e60bbe1c07ca3218a5bf54a8,popmotion.global.js,popmotion.global.js,src/roles/svg/build.js,popmotion.global.js,"[1, 5136]","[1, 5154]",8,47,True,True,EXTRACT_MOVE
95ee769a09ebbaaf3d7b1ca8c528f6c5122481b5,217c75d29c6e0f658397f1380dbd4277d6883c46,c7909e37d64caddc6e8e2973db9f9605f0dad6b0,40673bf56a762a695f6585cc6e86691a39dee076,lib/actor/post-render.js,lib/actor/post-render.js,src/actor/actor-process.js,lib/actor/post-render.js,"[0, -1]","[1, 3]",23,12,True,False,MOVE
95ee769a09ebbaaf3d7b1ca8c528f6c5122481b5,217c75d29c6e0f658397f1380dbd4277d6883c46,c7909e37d64caddc6e8e2973db9f9605f0dad6b0,40673bf56a762a695f6585cc6e86691a39dee076,lib/actor/post-render.js,lib/actor/post-render.js,src/actor/actor-process.js,lib/actor/post-render.js,"[0, -1]","[12, 12]",23,12,True,True,MOVE
95ee769a09ebbaaf3d7b1ca8c528f6c5122481b5,217c75d29c6e0f658397f1380dbd4277d6883c46,c7909e37d64caddc6e8e2973db9f9605f0dad6b0,40673bf56a762a695f6585cc6e86691a39dee076,lib/actor/post-render.js,lib/actor/post-render.js,src/actor/actor-process.js,lib/actor/post-render.js,"[0, -1]","[69, 69]",23,12,True,False,MOVE
95ee769a09ebbaaf3d7b1ca8c528f6c5122481b5,217c75d29c6e0f658397f1380dbd4277d6883c46,c7909e37d64caddc6e8e2973db9f9605f0dad6b0,40673bf56a762a695f6585cc6e86691a39dee076,lib/actor/render.js,lib/actor/render.js,src/actor/actor-process.js,lib/actor/render.js,"[0, -1]","[6, 6]",10,6,True,True,MOVE
95ee769a09ebbaaf3d7b1ca8c528f6c5122481b5,217c75d29c6e0f658397f1380dbd4277d6883c46,c7909e37d64caddc6e8e2973db9f9605f0dad6b0,40673bf56a762a695f6585cc6e86691a39dee076,lib/actor/render.js,lib/actor/render.js,src/actor/actor-process.js,lib/actor/render.js,"[0, -1]","[22, 22]",10,6,True,False,MOVE
