merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
e3184b638db2e2413898b6f17154ccd8c28829d7,2399722bb40eb2671be8f99c21a85213a439fe8b,4c91fe3a5cdab6e31f826e4150ea7403c9962db2,"['site/styles/themes.js', 'site/templates/content/MenuPage.js']",[],2,3,3,0,0
ad02d8b21c38f5658b78fdb5d822d1eb2e7ac9c1,e967c18efbd93c3f7fa3746ae9ea417d90666410,41932e5fb05193f5c4eeeb79ab6affd0cb08e31e,[],"['packages/popmotion-pose/CHANGELOG.md', 'packages/popmotion-pose/dist/popmotion-pose.js']",0,9,0,0,0
f90ced2957df749b17b7fd4cf8d2f01fa5e5c098,ffc1345ca33d30233d0477c9909a981613baff87,a0a4375d35e6b22629ad9ec3ef768c2e834ffd7a,[],['packages/popmotion-pose/package.json'],0,1,0,0,0
f40cb0174f688a79869c1fc8befe82593703d960,75c3c517dcf5bfc4d3e7cffd2cd3bd8b5a8eb9a9,532f95b19fb82837ae7787fca74dfa0d776d13cc,[],"['packages/popmotion/CHANGELOG.md', 'packages/popmotion/dist/popmotion.global.min.js']",0,3,0,0,0
df656cef4d55ce7e18fc2b546aa9a49c86549f13,95765d6cdac53ac3524d88cc7e9db10664fc3cfc,ed326d10042b6d9235438c1543bf90ca84f89f41,"['site/styles/reset.js', 'site/templates/Homepage/USPs/index.js', 'site/templates/Homepage/USPs/styled.js']",[],3,8,8,0,0
b9f83df853db63c50e15eef9554a11cf26b3516e,c717d4086f7efd6120c0de35f08aadfd177f6952,6dbc75708c9e58fdc11abd97efc2faf2b53cd5b5,[],"['src/action/_tests/action.test.ts', 'src/action/types.ts']",0,2,0,0,0
88522a9c7c35c8873df1ea514a8c2c83630d80d5,82d2f135058c6268ccf7a2a56294a5ff3217026d,9ef38e3aa246159b7399f38f7fbc06b9694511a3,[],[],0,0,0,0,0
6e110bddf28556ef3a67dc5d7427fad9eaa502b6,8951a628f87b0705270f4e83a55539ef6d410bfe,b4c3a6d296ba58bd99a95ad116f4223ecf47360f,[],"['CHANGELOG.md', 'README.md', 'docs/api/value-types.md', 'package.json']",0,4,0,0,0
72758a1c09f1f5a4033e267c856581abdb151caa,b768dedc580c515ca123deee1b21588de9743dc5,656bb291afaa338bff1ace47151195bd26f1916b,[],['dist/popmotion.global.min.7.7.0.js'],0,2,0,0,0
abd27c8ec56ed8e44d677e533b26281402e9838c,19c18ebb20599316e3c027f620e373ee3172b383,13e5a4c281934b95d07e55cf8beeeff7382c87a1,"['src/actions/composite.js', 'src/popmotion.js']",[],2,2,2,0,0
fd8618f72ac00970da238d8272d2534f50ac6110,3263ccc19392bac29fc856acc360751f7ec4074e,698c1a56df576e9e8b586493584a63361e43b14a,[],['package.json'],0,1,0,0,0
0523c273fdef08a060cefb515d4c68095eda95c3,932373b11a797451c47a3bef9755b03521ea6e2f,f963cc3e145b3e42429717f2bf5c1379f1959280,[],"['package.json', 'packages/popmotion-react/stories/index.js']",0,4,0,0,0
9a5ec781b263ea73166ce6b42bcb3359d310f336,9f27ed4f1543a4cfb20d61ff12529fddda7a0f7e,72a370b52d029440e86e30458ef2c28ff078ed5a,[],[],0,0,0,0,0
