evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
6b4b2d2b87c873cd96671eb4d9fe6a0151aa2166,a3a6d9eed57858d9b1ca525b4d4ddaf1d188cf63,6b4b2d2b87c873cd96671eb4d9fe6a0151aa2166,8b5d67a3eab12234b5e57226a74aecbd101e543b,left,"-1,1","+1,1",a/components/prism-markdown.min.js,b/components/prism-markdown.min.js
828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,a3a6d9eed57858d9b1ca525b4d4ddaf1d188cf63,6b4b2d2b87c873cd96671eb4d9fe6a0151aa2166,8b5d67a3eab12234b5e57226a74aecbd101e543b,left,"-1,1","+1,1",a/components/prism-markdown.min.js,b/components/prism-markdown.min.js
b9ec6fd8d1477ddea4a93e4e85c2af410f0d2ac3,a3a6d9eed57858d9b1ca525b4d4ddaf1d188cf63,6b4b2d2b87c873cd96671eb4d9fe6a0151aa2166,8b5d67a3eab12234b5e57226a74aecbd101e543b,right,"-1,1","+1,1",a/components/prism-markdown.min.js,b/components/prism-markdown.min.js
828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,left,"-1,18","+3,6",a/components/prism-markdown.js,b/components/prism-markdown.js
9c75843a59b496b9a7dc5b154473cbeac2b02a22,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-3,8","+3,24",a/components/prism-markdown.js,b/components/prism-markdown.js
03cf85b024244137776e05129d9072127cf4a2b6,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-1,12","+3,8",a/components/prism-markdown.js,b/components/prism-markdown.js
828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,left,"-19,17","+14,136",a/components/prism-markdown.js,b/components/prism-markdown.js
9c75843a59b496b9a7dc5b154473cbeac2b02a22,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-16,104","+32,105",a/components/prism-markdown.js,b/components/prism-markdown.js
03cf85b024244137776e05129d9072127cf4a2b6,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-13,23","+16,104",a/components/prism-markdown.js,b/components/prism-markdown.js
828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,left,"-37,13","+156,6",a/components/prism-markdown.js,b/components/prism-markdown.js
9c75843a59b496b9a7dc5b154473cbeac2b02a22,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-126,10","+143,11",a/components/prism-markdown.js,b/components/prism-markdown.js
03cf85b024244137776e05129d9072127cf4a2b6,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-37,13","+126,10",a/components/prism-markdown.js,b/components/prism-markdown.js
828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,left,"-52,8","+168,6",a/components/prism-markdown.js,b/components/prism-markdown.js
9c75843a59b496b9a7dc5b154473cbeac2b02a22,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-142,10","+160,11",a/components/prism-markdown.js,b/components/prism-markdown.js
03cf85b024244137776e05129d9072127cf4a2b6,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-52,8","+142,10",a/components/prism-markdown.js,b/components/prism-markdown.js
828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,left,"-157,4","+195,1",a/components/prism-markdown.js,b/components/prism-markdown.js
03cf85b024244137776e05129d9072127cf4a2b6,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-157,4","+173,1",a/components/prism-markdown.js,b/components/prism-markdown.js
828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,left,"-175,2","+217,2",a/components/prism-markdown.js,b/components/prism-markdown.js
9c75843a59b496b9a7dc5b154473cbeac2b02a22,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-196,0","+215,14",a/components/prism-markdown.js,b/components/prism-markdown.js
828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,left,"-1,1","+1,1",a/components/prism-markdown.min.js,b/components/prism-markdown.min.js
84b9651b29b17e94c0d5f672c7291d288deb9248,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-1,1","+1,1",a/components/prism-markdown.min.js,b/components/prism-markdown.min.js
9c75843a59b496b9a7dc5b154473cbeac2b02a22,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-1,1","+1,1",a/components/prism-markdown.min.js,b/components/prism-markdown.min.js
03cf85b024244137776e05129d9072127cf4a2b6,e2c56f041f758c3899c0cc77dcf37010936ceed8,828d7ec0a6ee6ebc0d524a6fdc666dea2113db40,119037210c2a3d65184e6f5518f61ad8ee2f2b26,right,"-1,1","+1,1",a/components/prism-markdown.min.js,b/components/prism-markdown.min.js
