evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
80c7666d8c0acced26fb1c72276f069e5423d280,3575854f479e0214782ad17f595900b8901dbc21,80c7666d8c0acced26fb1c72276f069e5423d280,b26cace16f6070e756b6a546cf2693bece03f8f8,left,"-60,1","+60,12",a/q.js,b/q.js
3359e38384a57de895b62d3e4158bb6a6e88e2dc,3575854f479e0214782ad17f595900b8901dbc21,80c7666d8c0acced26fb1c72276f069e5423d280,b26cace16f6070e756b6a546cf2693bece03f8f8,right,"-62,1","+62,1",a/q.js,b/q.js
bc0dd8442fc1bf00ce7112e4d850102612e51cf9,3575854f479e0214782ad17f595900b8901dbc21,80c7666d8c0acced26fb1c72276f069e5423d280,b26cace16f6070e756b6a546cf2693bece03f8f8,right,"-61,0","+62,1",a/q.js,b/q.js
89340143944358bd4718113d3df84aaad8ade3be,6acfc9deb6ec5c2a4c0095e975c2e067544958b8,222699546012ac59dbe412cb8f34167aad283d16,a25b77908e2b9933bf68d5fd8ca313d3b80783d6,left,"-522,6","+522,6",a/q.js,b/q.js
3fb83eb6ed29d9269035c1d7d098b91779bcc0c8,6acfc9deb6ec5c2a4c0095e975c2e067544958b8,222699546012ac59dbe412cb8f34167aad283d16,a25b77908e2b9933bf68d5fd8ca313d3b80783d6,left,"-603,5","+601,6",a/q.js,b/q.js
f9336a2940b57abb0df35292bf3b98ad874cdc14,6acfc9deb6ec5c2a4c0095e975c2e067544958b8,222699546012ac59dbe412cb8f34167aad283d16,a25b77908e2b9933bf68d5fd8ca313d3b80783d6,left,"-306,4","+306,5",a/q.js,b/q.js
9e58d165af9536847a358469c38287a0cb2cb694,6acfc9deb6ec5c2a4c0095e975c2e067544958b8,222699546012ac59dbe412cb8f34167aad283d16,a25b77908e2b9933bf68d5fd8ca313d3b80783d6,right,"-516,4","+516,5",a/q.js,b/q.js
b7428aa6363e8b906a1a3b0fc7a61375e6fa96ad,6acfc9deb6ec5c2a4c0095e975c2e067544958b8,222699546012ac59dbe412cb8f34167aad283d16,a25b77908e2b9933bf68d5fd8ca313d3b80783d6,left,"-583,1","+589,1",a/q.js,b/q.js
9e58d165af9536847a358469c38287a0cb2cb694,6acfc9deb6ec5c2a4c0095e975c2e067544958b8,222699546012ac59dbe412cb8f34167aad283d16,a25b77908e2b9933bf68d5fd8ca313d3b80783d6,right,"-582,1","+583,1",a/q.js,b/q.js
b7428aa6363e8b906a1a3b0fc7a61375e6fa96ad,1ff68551b2304aecdd16aa8ebdcbebbd322d06e4,8512628b2a4f5555328f88c024025f026f2268c8,76afd7b7abaad30cbfee394c72227d9dc06154e6,left,"-660,2","+666,2",a/q.js,b/q.js
cbf0a2eb6664e5ae74fbd41bb74eeb72cba720c6,1ff68551b2304aecdd16aa8ebdcbebbd322d06e4,8512628b2a4f5555328f88c024025f026f2268c8,76afd7b7abaad30cbfee394c72227d9dc06154e6,left,"-657,23","+660,2",a/q.js,b/q.js
d09f658cb10d0a25904932270043609a0f7215dc,1ff68551b2304aecdd16aa8ebdcbebbd322d06e4,8512628b2a4f5555328f88c024025f026f2268c8,76afd7b7abaad30cbfee394c72227d9dc06154e6,left,"-415,15","+415,14",a/q.js,b/q.js
20d7f7a3fed9981f257aa13acf23158b028967e5,1ff68551b2304aecdd16aa8ebdcbebbd322d06e4,8512628b2a4f5555328f88c024025f026f2268c8,76afd7b7abaad30cbfee394c72227d9dc06154e6,right,"-659,25","+668,25",a/q.js,b/q.js
ca4e54935f29208520e5ec29d9ee43abc4f29de0,1ff68551b2304aecdd16aa8ebdcbebbd322d06e4,8512628b2a4f5555328f88c024025f026f2268c8,76afd7b7abaad30cbfee394c72227d9dc06154e6,left,"-1302,66","+1300,2",a/q.js,b/q.js
