evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
c7e3c37f3d34a256b9448959bbaf0535b882e513,fbb887b70e421c40e5b279c6577c74caaeba584d,4313e9036fb5a9f56982725ca0faef85de240bae,0f20a58acece17853cfec8c177543108733e722c,left,"-112,21","+112,21",a/core/quill.js,b/core/quill.js
8664379e012eb3b530c74dfd58d2d7d7f60fb21c,fbb887b70e421c40e5b279c6577c74caaeba584d,4313e9036fb5a9f56982725ca0faef85de240bae,0f20a58acece17853cfec8c177543108733e722c,left,"-112,15","+112,21",a/core/quill.js,b/core/quill.js
808345825f94efa965737adcc9f586c63b35c384,fbb887b70e421c40e5b279c6577c74caaeba584d,4313e9036fb5a9f56982725ca0faef85de240bae,0f20a58acece17853cfec8c177543108733e722c,left,"-112,5","+112,15",a/core/quill.js,b/core/quill.js
40b95fd23e7ac0d133ed24a7f2a714f7ff8eddeb,fbb887b70e421c40e5b279c6577c74caaeba584d,4313e9036fb5a9f56982725ca0faef85de240bae,0f20a58acece17853cfec8c177543108733e722c,right,"-112,5","+112,7",a/core/quill.js,b/core/quill.js
176b66cc910a943267f05d3b232d06727b2c64a8,a91ef4d03b8795445c573f240dbbe033641bd4a8,68365fc8960443fef19af55f906222f0cac991f2,5adf20c3bd672e28a6cf707e476406c787102ebc,left,"-26,1","+25,1",a/formats/indent.js,b/formats/indent.js
5adf20c3bd672e28a6cf707e476406c787102ebc,a91ef4d03b8795445c573f240dbbe033641bd4a8,68365fc8960443fef19af55f906222f0cac991f2,5adf20c3bd672e28a6cf707e476406c787102ebc,right,"-26,1","+26,1",a/formats/indent.js,b/formats/indent.js
a30b2e1aa011075150514737922cc8935104bb72,dd465ed7b5b1f5d590aab3e2b5d464815e84459f,821ff74ac838b5ad35482a939eea1defebf02e1b,f83ae57131e3c3abd3913acf57c045bdb3340bfa,right,"-102,3","+102,3",a/modules/clipboard.js,b/modules/clipboard.js
176b66cc910a943267f05d3b232d06727b2c64a8,0f60c9f64d30add5cbeac23fee40c6f096824a31,83faa9fe3d64207c92fe1c352802b819672ce3a8,242e166a1381fec0328525c252db4606d23692f9,left,"-213,6","+265,7",a/modules/keyboard.js,b/modules/keyboard.js
242e166a1381fec0328525c252db4606d23692f9,0f60c9f64d30add5cbeac23fee40c6f096824a31,83faa9fe3d64207c92fe1c352802b819672ce3a8,242e166a1381fec0328525c252db4606d23692f9,right,"-221,6","+221,7",a/modules/keyboard.js,b/modules/keyboard.js
4da2651bff692d88e0367c1c367250d6f0bb01bd,83faa9fe3d64207c92fe1c352802b819672ce3a8,53451f3071e16e0a8bb99ffbda536b187ede70ce,4da2651bff692d88e0367c1c367250d6f0bb01bd,right,"-102,3","+102,3",a/modules/clipboard.js,b/modules/clipboard.js
176b66cc910a943267f05d3b232d06727b2c64a8,53451f3071e16e0a8bb99ffbda536b187ede70ce,6c7ee7ff4c7873146b686c7dc36d1433576b1dd8,fa99fa09981248ebe502be5c0f188ba2c100b94a,left,"-221,16","+243,17",a/modules/clipboard.js,b/modules/clipboard.js
fa99fa09981248ebe502be5c0f188ba2c100b94a,53451f3071e16e0a8bb99ffbda536b187ede70ce,6c7ee7ff4c7873146b686c7dc36d1433576b1dd8,fa99fa09981248ebe502be5c0f188ba2c100b94a,right,"-221,16","+221,16",a/modules/clipboard.js,b/modules/clipboard.js
36b7b458cb38f23fcdfff5cf4113924348bc243c,6c7ee7ff4c7873146b686c7dc36d1433576b1dd8,9e676f59530632e54589fbf1e828b10cfd5a2bd4,36b7b458cb38f23fcdfff5cf4113924348bc243c,right,"-99,4","+99,6",a/modules/clipboard.js,b/modules/clipboard.js
176b66cc910a943267f05d3b232d06727b2c64a8,9e676f59530632e54589fbf1e828b10cfd5a2bd4,44d0304b1ba25dad754c3cb51448907246767523,691889719200f7527316421905562d3fae43a8a8,left,"-308,3","+365,3",a/modules/keyboard.js,b/modules/keyboard.js
691889719200f7527316421905562d3fae43a8a8,9e676f59530632e54589fbf1e828b10cfd5a2bd4,44d0304b1ba25dad754c3cb51448907246767523,691889719200f7527316421905562d3fae43a8a8,right,"-316,3","+316,3",a/modules/keyboard.js,b/modules/keyboard.js
176b66cc910a943267f05d3b232d06727b2c64a8,44d0304b1ba25dad754c3cb51448907246767523,4f0d14ac5ccf53b0b3d86210d98f291163bf1df2,7d82d63baec42526bbf172fe03ff6b43a0df05f5,left,"-29,1","+40,1",a/modules/history.js,b/modules/history.js
7d82d63baec42526bbf172fe03ff6b43a0df05f5,44d0304b1ba25dad754c3cb51448907246767523,4f0d14ac5ccf53b0b3d86210d98f291163bf1df2,7d82d63baec42526bbf172fe03ff6b43a0df05f5,right,"-29,1","+29,2",a/modules/history.js,b/modules/history.js
176b66cc910a943267f05d3b232d06727b2c64a8,48c77648acfcfdef373f9013aa9e462f8130e3e5,d6de0d75cc79b451cdabdf7772c8547f03a5dbca,f1fdea495ca31fa525bc1ae2a7ce789a8be2237e,left,"-1,7","+1,7",a/_develop/browsers.js,b/_develop/browsers.js
1c41309e83ecd26dcf9c6fc32c60fc29bad4f05e,48c77648acfcfdef373f9013aa9e462f8130e3e5,d6de0d75cc79b451cdabdf7772c8547f03a5dbca,f1fdea495ca31fa525bc1ae2a7ce789a8be2237e,right,"-1,7","+1,7",a/_develop/browsers.js,b/_develop/browsers.js
176b66cc910a943267f05d3b232d06727b2c64a8,48c77648acfcfdef373f9013aa9e462f8130e3e5,d6de0d75cc79b451cdabdf7772c8547f03a5dbca,f1fdea495ca31fa525bc1ae2a7ce789a8be2237e,left,"-244,4","+298,4",a/modules/keyboard.js,b/modules/keyboard.js
845f9f1f154be37acefc486504c00ed649e09368,48c77648acfcfdef373f9013aa9e462f8130e3e5,d6de0d75cc79b451cdabdf7772c8547f03a5dbca,f1fdea495ca31fa525bc1ae2a7ce789a8be2237e,right,"-253,4","+253,4",a/modules/keyboard.js,b/modules/keyboard.js
95c4d8b775125b0473ff353409decb0a5fc70acb,b2409330f630fabad5bf9543898fc489d14daf68,3401f84e21c767beb9746c59a5384a720bd33dbe,6528f2a3a0bdae1f26c968aaf8fe27cbb17c05ed,left,"-88,29","+88,29",a/core/selection.js,b/core/selection.js
32bff673890820894a39f5e85580002734cbfc79,b2409330f630fabad5bf9543898fc489d14daf68,3401f84e21c767beb9746c59a5384a720bd33dbe,6528f2a3a0bdae1f26c968aaf8fe27cbb17c05ed,left,"-88,29","+88,29",a/core/selection.js,b/core/selection.js
8f9fd3ba537876806feaa055a52aa2dc0ca24e63,b2409330f630fabad5bf9543898fc489d14daf68,3401f84e21c767beb9746c59a5384a720bd33dbe,6528f2a3a0bdae1f26c968aaf8fe27cbb17c05ed,left,"-88,17","+88,29",a/core/selection.js,b/core/selection.js
9539ae7bcc7c04327d4b815628069c6826ee3f60,051727224eff69f07815ff341c66275d0e495703,8e49204dba45209fa14e74bce04199e942e620bf,ed142e4cde2d21400a8af58f1648e944b5d9b65b,left,"-95,13","+95,13",a/core/selection.js,b/core/selection.js
a15fe1a5ebc4dd6ca7cfd5968a7135516cc1219b,051727224eff69f07815ff341c66275d0e495703,8e49204dba45209fa14e74bce04199e942e620bf,ed142e4cde2d21400a8af58f1648e944b5d9b65b,right,"-78,45","+84,39",a/core/selection.js,b/core/selection.js
57d26fc3f68e5c8eb7234fcd5cb70dbe8d795750,051727224eff69f07815ff341c66275d0e495703,8e49204dba45209fa14e74bce04199e942e620bf,ed142e4cde2d21400a8af58f1648e944b5d9b65b,right,"-78,47","+78,45",a/core/selection.js,b/core/selection.js
c7a05cb513099fee07bc992e7568da0b620e8c9c,051727224eff69f07815ff341c66275d0e495703,8e49204dba45209fa14e74bce04199e942e620bf,ed142e4cde2d21400a8af58f1648e944b5d9b65b,right,"-78,45","+78,47",a/core/selection.js,b/core/selection.js
ec02e8fd661a241d6692c396ba929dd4b00e39b4,051727224eff69f07815ff341c66275d0e495703,8e49204dba45209fa14e74bce04199e942e620bf,ed142e4cde2d21400a8af58f1648e944b5d9b65b,right,"-115,0","+78,45",a/core/selection.js,b/core/selection.js
9a9b84ed922f0e08b754f203b97a6fbe638ff190,6563c6cbdd56a4186447523376c8b8a1ca7a7371,9a9b84ed922f0e08b754f203b97a6fbe638ff190,844a45c596956a8475ed341fef2d6f9f949cdb76,left,"-2,6","+2,6",a/_develop/browsers.js,b/_develop/browsers.js
f7db7bf4e557ebceb6ec2e6baa232ffb524ac6c6,6563c6cbdd56a4186447523376c8b8a1ca7a7371,9a9b84ed922f0e08b754f203b97a6fbe638ff190,844a45c596956a8475ed341fef2d6f9f949cdb76,right,"-2,6","+2,6",a/_develop/browsers.js,b/_develop/browsers.js
9a9b84ed922f0e08b754f203b97a6fbe638ff190,6563c6cbdd56a4186447523376c8b8a1ca7a7371,9a9b84ed922f0e08b754f203b97a6fbe638ff190,844a45c596956a8475ed341fef2d6f9f949cdb76,left,"-13,2","+13,3",a/_develop/browsers.js,b/_develop/browsers.js
f7db7bf4e557ebceb6ec2e6baa232ffb524ac6c6,6563c6cbdd56a4186447523376c8b8a1ca7a7371,9a9b84ed922f0e08b754f203b97a6fbe638ff190,844a45c596956a8475ed341fef2d6f9f949cdb76,right,"-13,2","+13,3",a/_develop/browsers.js,b/_develop/browsers.js
9a9b84ed922f0e08b754f203b97a6fbe638ff190,6563c6cbdd56a4186447523376c8b8a1ca7a7371,9a9b84ed922f0e08b754f203b97a6fbe638ff190,844a45c596956a8475ed341fef2d6f9f949cdb76,left,"-23,2","+24,1",a/_develop/browsers.js,b/_develop/browsers.js
