merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
fbb887b70e421c40e5b279c6577c74caaeba584d,4313e9036fb5a9f56982725ca0faef85de240bae,0f20a58acece17853cfec8c177543108733e722c,['core/quill.js'],[],1,1,1,0,0
a91ef4d03b8795445c573f240dbbe033641bd4a8,68365fc8960443fef19af55f906222f0cac991f2,5adf20c3bd672e28a6cf707e476406c787102ebc,['formats/indent.js'],[],1,1,1,1,0
66ff47af243e141aa46eece7f5cfd2a49a471b38,c1838c6f80e57c33240954d15e2c1dc8b056b20f,5606a3d4fc9c094dd30b0c0adec485dc9951f08e,[],"['Gemfile', 'Gemfile.lock']",0,7,0,0,0
1b4bd274d609024ef8be656b7df9c2b0dee82bcc,d5384fd71dcc15870bd2f9cbb08e4a056fa8cec6,96e38e92637b75b907579d0cc1b201920aebe38c,[],['test/unit/ui/picker.js'],0,4,0,0,0
dd465ed7b5b1f5d590aab3e2b5d464815e84459f,821ff74ac838b5ad35482a939eea1defebf02e1b,f83ae57131e3c3abd3913acf57c045bdb3340bfa,['modules/clipboard.js'],[],1,1,1,0,0
0f60c9f64d30add5cbeac23fee40c6f096824a31,83faa9fe3d64207c92fe1c352802b819672ce3a8,242e166a1381fec0328525c252db4606d23692f9,['modules/keyboard.js'],[],1,1,1,0,0
83faa9fe3d64207c92fe1c352802b819672ce3a8,53451f3071e16e0a8bb99ffbda536b187ede70ce,4da2651bff692d88e0367c1c367250d6f0bb01bd,['modules/clipboard.js'],[],1,1,1,0,0
53451f3071e16e0a8bb99ffbda536b187ede70ce,6c7ee7ff4c7873146b686c7dc36d1433576b1dd8,fa99fa09981248ebe502be5c0f188ba2c100b94a,['modules/clipboard.js'],[],1,1,1,0,0
6c7ee7ff4c7873146b686c7dc36d1433576b1dd8,9e676f59530632e54589fbf1e828b10cfd5a2bd4,36b7b458cb38f23fcdfff5cf4113924348bc243c,['modules/clipboard.js'],[],1,1,1,0,0
9e676f59530632e54589fbf1e828b10cfd5a2bd4,44d0304b1ba25dad754c3cb51448907246767523,691889719200f7527316421905562d3fae43a8a8,['modules/keyboard.js'],[],1,1,1,0,0
44d0304b1ba25dad754c3cb51448907246767523,4f0d14ac5ccf53b0b3d86210d98f291163bf1df2,7d82d63baec42526bbf172fe03ff6b43a0df05f5,['modules/history.js'],[],1,1,1,0,0
ac6c91038570f3b3868c68cc10cf73104b97e586,ba3e468d116229bff0f95c89fb7eca8c29e4ae91,e1188101f71a382c14938d433afa9dce230648ca,[],[],0,0,0,0,0
48c77648acfcfdef373f9013aa9e462f8130e3e5,d6de0d75cc79b451cdabdf7772c8547f03a5dbca,f1fdea495ca31fa525bc1ae2a7ce789a8be2237e,"['_develop/browsers.js', 'modules/keyboard.js']",['package.json'],2,3,2,0,0
4ee55fb02132c1ca78bc556874fb4359967b74dc,4d04fa5268e3de2201377f2a03cbaec801fe8b81,ee94c0322232a26c08693c1151ad359350d9e57b,[],['package.json'],0,1,0,0,0
1f4010679dfdf835453946331ed80e184e3493a7,6e2c6ac5ad64f13c88ca7d27a70d846d022dd376,49903da1a9fb2004bf737922b16712303ce2920d,[],['package.json'],0,1,0,0,0
b2409330f630fabad5bf9543898fc489d14daf68,3401f84e21c767beb9746c59a5384a720bd33dbe,6528f2a3a0bdae1f26c968aaf8fe27cbb17c05ed,['core/selection.js'],['assets/core.styl'],1,2,1,0,0
051727224eff69f07815ff341c66275d0e495703,8e49204dba45209fa14e74bce04199e942e620bf,ed142e4cde2d21400a8af58f1648e944b5d9b65b,['core/selection.js'],['docs/docs/configuration.md'],1,2,1,3,3
6563c6cbdd56a4186447523376c8b8a1ca7a7371,9a9b84ed922f0e08b754f203b97a6fbe638ff190,844a45c596956a8475ed341fef2d6f9f949cdb76,['_develop/browsers.js'],[],1,3,3,0,0
6b598be04743b1a77b5e7a35fd08eb19ee12113b,ceea0bf701b67abe3847db7c99c9208167e277e8,190d0b111905929e57d06730dfb5b793fbd9f0bf,['core/quill.js'],[],1,2,2,1,0
ceea0bf701b67abe3847db7c99c9208167e277e8,52694c6387d9ae924a0e4b1fe930f64d7d168c85,cd5778fddf688e625b124731ff370d0068658090,[],['package.json'],0,1,0,0,0
566614adc3420afa6b7f8a3332777aad6d3dc21a,cba2ccf32e08bbc06067246a2827e313779f2ee6,d59bd944da660f557da49a886d0b793305b8e765,[],['docs/docs/api/contents.md'],0,1,0,0,0
ba0f019ffd1ecfd0ddfb1f2018669fce38a15828,3b43e849ae4d0ff68725a2e0d4450aff9fd7e779,be6a21e277d889d4fe8d85ff3c737a24165f5bd6,[],['docs/docs/api/contents.md'],0,1,0,0,0
d15bde1de03848e92e1ea853608af15114b102dd,19a5b13f629ef3dbfe4ef9937ad657d05e304b75,a360083cd4bf240b0d0466d1e813e2810e71c3c3,[],"['docs/api.md', 'docs/api/contents.md', 'docs/api/extension.md']",0,4,0,0,0
19a5b13f629ef3dbfe4ef9937ad657d05e304b75,f9b5fcfec2eba4db6e411432b3d9c7d6fa5e6e32,a4e72e5769c0cb2557d9094505232cb712d8b1e6,[],['docs/api/contents.md'],0,1,0,0,0
96d733523a19d7e1fde6567a4f0a584d842c0b02,0b271ded2d3cf5b2147faf33a4099c4555f3ecc9,50b2408b3bc0007e7582a9eb8c0e821bda21a1c4,[],['index.html'],0,1,0,0,0
ef80e3a3668042cf134def0123e1067ba79769ab,e0915d1141985a3b2e5db14f011bff87d9c047b4,bb2312c3299dac19855c3caca13ac699c19fae66,[],"['_includes/standalone/bubble.html', '_includes/standalone/snow.html', '_layouts/docs.html', 'assets/css/styles.css', 'docs/api.md', 'docs/api/contents.md', 'docs/api/events.md', 'index.html', 'playground.html']",0,17,0,0,0
bb2312c3299dac19855c3caca13ac699c19fae66,d493ba3b733084b46b3d04a72ba0aeed6fd6cbc7,099406cd81ba5f68e95e18d778c28b4478d3493e,[],"['assets/css/styles.css', 'index.html']",0,2,0,0,0
099406cd81ba5f68e95e18d778c28b4478d3493e,0ee0de6f7b480c88957ba5efece7e60c0ecfe95f,18fd0988bf27cb395ad5a58ef63015ced0207428,[],"['0.20/assets/css/styles.css', 'index.html']",0,3,0,0,0
a39f08b3bdac2d6b8779180e8edce751c86a4422,41d5e7ef9548b2e489b78b0f0be59458ad84d6e8,b5e1321446754ce2c42a7f6e81bb0dbad9301378,[],['_config.yml'],0,1,0,0,0
2e81abce5664ca253adfa73eb32f2579fda6373f,b95c92a941142bf2b8832d008ced3d8d55b56f7e,57ae04f665791866d61a4bfdb2405ac09e8d7046,[],[],0,0,0,0,0
57ae04f665791866d61a4bfdb2405ac09e8d7046,0a1a38a7f584ccfb8f24175c04ff317d6f02c539,305c9cb2423a5693fcc8ac029b50262f1530bceb,[],['_includes/analytics.html'],0,1,0,0,0
be83df85445a54b9af32ed8e58d73ad1a64eccb9,2bb2622e03108005264ad776ae8d4b47d6adb948,0a1a38a7f584ccfb8f24175c04ff317d6f02c539,[],['index.html'],0,1,0,0,0
48886eab7b5c1e96d33504e72840e512cebb0096,9f49686cd71c9b111dd0fdb593df8db15ec0d3af,61f97e6714b2745ee3139c56ae6f7d15579a48ac,[],[],0,0,0,0,0
9f49686cd71c9b111dd0fdb593df8db15ec0d3af,d99fd86bff8770196a71c5ad004b63ceda71c7e2,f578d7c04d06601177795b26b16cd8347c55daf8,[],['_layouts/default.html'],0,1,0,0,0
b0600fdc2b5cae7d52067d5e0bb27e7ae42b310f,0d448d3882017be796535ec470a784ca379b5fbf,d89995f41ce2adcfbb1b6bea4e9be60f0ead7c2f,[],['_layouts/default.html'],0,1,0,0,0
2f4c857234a89ef5ff717926028adb4e6ab938fa,38abd89537eaf1ff4ddb9e193a771456b8e09524,dab63c610c97a76bbef10c21c1f23040186fc344,[],['_layouts/default.html'],0,1,0,0,0
685a3fb8233b843c2a9126928d448d40c4dd103a,88f7bf1f3fd2823d3d8af627833a8967e8f19fe6,3dda54d230ee49d54cdf37da6c85811b61e1bbff,[],['test/unit/quill.js'],0,2,0,0,0
6801c4ce4e4a546628e1aaef2592504d3b0b732a,deedaeff602ac99c4ada23704b110cb35d98ae72,cb5104c363796e44eac8668f645868c5a96587e6,['config/build.js'],[],1,1,1,0,0
2f1bf0bec8161cc0d0a054b264e570fec1873cf9,2c6a94bb2cb90fc78868a0bbfffff7ac13650394,f085a1987b41fcec1f50f944576d9ccc95bef397,[],['src/modules/toolbar.coffee'],0,1,0,0,0
c803c31ba2703dbc46c5f6e5d3a24e4adf2d10e8,23a5e0a2189a5785f5c0b7066cbb1d74af71fcc8,f68839e5430fdf150cb29aaf4ee22a3de874a9ea,[],"['src/modules/paste-manager.coffee', 'test/unit/core/selection.coffee']",0,2,0,0,0
03b101670600a8321b7abc8f78cc7aad1b36b665,1f343c4ac8070b41d74314d7b778413110da6d89,ad73e17457846374ae3f6afaeccd87ac7dce33d4,[],[],0,0,0,0,0
2c3280e9fa0dbf48b446bc86e60806a653c1922c,99451ff8256a0c47d94530decd383164f7addc1d,f8b9f4b53d65e92665b788713cdc11d2f683fbaa,[],[],0,0,0,0,0
46a6138289e18b879700707852da0340d1d6b2f2,d216c34b34957204deec9323405bbe6998c07b66,54cae74b1994d87bea7fb349733abdc9ddb0c697,[],"['src/modules/paste-manager.coffee', 'src/quill.coffee']",0,3,0,0,0
d216c34b34957204deec9323405bbe6998c07b66,3e422bda79b3bca4a577c662a32220a45956c525,18417fee22be74206db514958ff545c8c42a26f8,[],['src/modules/paste-manager.coffee'],0,1,0,0,0
0cc3e39cd49716616afae0fd09490f839500379f,2957cc403db3c7c3caac5907d8bcc605ff403072,4c5cddde10d5c8a280e2cc953b163d8cd2cd07c4,[],['src/modules/paste-manager.coffee'],0,1,0,0,0
e16f2f95e9d4567fe37166ba0c637b0867a44dc0,1cae536227b582f76f9affe8d3fa26591f996473,6ae27e941074660ba3e1db012daabc6376816b8b,[],['src/core/line.coffee'],0,1,0,0,0
94e5d33858772e988eeb2920d9e95fdbef4d5ae7,1423be3bcb870f890be4b9037fea6d3b8864586e,b9b14ade73438afefc9eb05478941c4b9bebcfcf,[],['examples/advanced.jade'],0,1,0,0,0
86fe3718f07be72c18dd505f54e99b90729a4771,d6f519924586990fbcf1bfec58d2b15afe4af233,22f933879bcc3f1e1c8176baf7c8496ccf4b5ffe,[],"['src/core/renderer.coffee', 'src/lib/normalizer.coffee']",0,2,0,0,0
102e533ac88ffade740553c8d7f68e0ae6abd558,36be5bad7c1dc06c4315f3dc0239e4f06087d0b4,e41e3225077f21da3d2db59e62c7288b8bba0a20,[],['src/renderer.coffee'],0,2,0,0,0
8f7eab84af378e22be5282e4fe09574a43ff16df,0651458f36cf16664751c1178fa345a12f12af2d,798141db452d58bfb3c6a0295eb068faf14559a9,[],['test/karma.js'],0,1,0,0,0
55e8422eac397e6ee934b88b7191f23a204d12c1,e64e8539020c2537d146ff178666e9b43c18e38a,6eae7a0641ab4cadb859173228360007af582a8d,[],"['bower.json', 'package.json']",0,2,0,0,0
d4a0ad86be297495602f4080a34804baf8592f19,4f453fad49d9b6487cc0b2020ec5a6e09287d37f,1e6c18870065369dc864543a4b0be0a10da12f18,[],['README.md'],0,1,0,0,0
bc35094a271d09989ce948372a81c5ce384fec2f,05b9789251df384a2eb8c02c62c0df0f349ce4d5,1d08390b2081c98163410c02cb20ef436bd27430,[],[],0,0,0,0,0
9531bad4167561a49bb87a9f2c0f141f559f8903,5169752e8b69d439ba1fbaff2d96245482d55070,8ab16b5bd3880a014fee4e34cdebe1b915c17023,[],"['.gitignore', 'Gruntfile.coffee']",0,2,0,0,0
fcf78df4f2e98e7f5b43d2e30b45bf36170d4553,19ef875fdfcd70f63b98e4e4d6a67a16bd2a5a8e,671c505a8b6b51beafa4d397af3bac8f1f588513,[],['src/modules/toolbar.coffee'],0,1,0,0,0
45628dcc1c3265300f7b2bba49fe0ce9801f3794,4ed4f09d30e7176a09fab45707475f045ffa14e7,f3ce50505c0c63b407b86221bcbd9871aad498eb,[],['tests/selenium/fuzzer.rb'],0,1,0,0,0
c297339e4fb0d02982d694b1366e877803a062e5,5abc28d5777158a0c73f269d5c039cf7fb3f358a,8d8c38cb1d8590b7c775279b11d8fff4b5f49680,[],"['tests/fuzzer.haml', 'tests/scripts/fuzzer.coffee']",0,2,0,0,0
a870b33700820ba695b35ed9f7857703f5cdbaff,97eb84d01eaaa2e73485b847eda3885c11f26efb,c0a0447f6c9df6d43581ceac0ae80c55aba3ff96,[],"['Gruntfile.coffee', 'tests/fuzzer.haml']",0,2,0,0,0
474588576b5c25f6c5e02352b4569b52a772d412,dfa267342c8244c40ea95163f04164e375e77106,a2110dd87e731277f08474b4aca06950376151dd,[],['Gruntfile.coffee'],0,1,0,0,0
5c2f554106f3371d8f51a502bae4597953f76ce4,171c1ee3f9e05ea6ac78bb7cf29e8784a606f399,7b63cc77ac8b98e93e4a14a5cafcc5d32e5876e3,[],[],0,0,0,0,0
bb071b891f0ee6d447a03bdf065894995d577cf1,f0d1d67e3a15413bb58b2971dd9b81717575a4eb,d1dc482ca3f0f64a5022819a8eccc33e4411432c,[],[],0,0,0,0,0
147e90c734ae27f16f575356197bde0210ddbcd6,dcda623fa7cf47a72e316fdeaf35873f2f8e78e0,5107d8d68dce3e718613ebfe9e25d4f78299a740,[],['vendor/assets/javascripts/scribe/editor.coffee'],0,2,0,0,0
