evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
7ab93402a8de30fa7e0e885ff40aae2890b901c7,ad7458bb42d557f5d1d78fd561ab164740962cb0,9243bc194c240d3f06ccd5e4333f3488f2628e2f,88e59277e7362640bf68799893053f55894e472c,left,"-3,1","+12,2",a/src/utils.js,b/src/utils.js
89e36e3976b062584f83c22d43f043cf464c3403,ad7458bb42d557f5d1d78fd561ab164740962cb0,9243bc194c240d3f06ccd5e4333f3488f2628e2f,88e59277e7362640bf68799893053f55894e472c,right,"-6,8","+6,9",a/src/utils.js,b/src/utils.js
aa87b125e778709b880c43471466339b8b2feeeb,ad7458bb42d557f5d1d78fd561ab164740962cb0,9243bc194c240d3f06ccd5e4333f3488f2628e2f,88e59277e7362640bf68799893053f55894e472c,right,"-6,2","+6,8",a/src/utils.js,b/src/utils.js
7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,c7580fcd3f713f391c6f5f3ceab7cd305a01a20a,7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,92c2d8366b77e94125010a626c1a56e4b4f94864,left,"-98,13","+98,13",a/src/__tests__/profilingCharts-test.js,b/src/__tests__/profilingCharts-test.js
ae3b98f5ade8ec6564780f2ef9bae70ff5fea756,c7580fcd3f713f391c6f5f3ceab7cd305a01a20a,7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,92c2d8366b77e94125010a626c1a56e4b4f94864,left,"-98,15","+98,13",a/src/__tests__/profilingCharts-test.js,b/src/__tests__/profilingCharts-test.js
c6de014a9a70d3bff970a3a58df7ac6af28fa51b,c7580fcd3f713f391c6f5f3ceab7cd305a01a20a,7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,92c2d8366b77e94125010a626c1a56e4b4f94864,right,"-98,1","+88,1",a/src/__tests__/profilingCharts-test.js,b/src/__tests__/profilingCharts-test.js
7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,c7580fcd3f713f391c6f5f3ceab7cd305a01a20a,7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,92c2d8366b77e94125010a626c1a56e4b4f94864,left,"-188,13","+188,13",a/src/__tests__/profilingCharts-test.js,b/src/__tests__/profilingCharts-test.js
ae3b98f5ade8ec6564780f2ef9bae70ff5fea756,c7580fcd3f713f391c6f5f3ceab7cd305a01a20a,7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,92c2d8366b77e94125010a626c1a56e4b4f94864,left,"-190,15","+188,13",a/src/__tests__/profilingCharts-test.js,b/src/__tests__/profilingCharts-test.js
c6de014a9a70d3bff970a3a58df7ac6af28fa51b,c7580fcd3f713f391c6f5f3ceab7cd305a01a20a,7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,92c2d8366b77e94125010a626c1a56e4b4f94864,right,"-190,1","+166,1",a/src/__tests__/profilingCharts-test.js,b/src/__tests__/profilingCharts-test.js
7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,c7580fcd3f713f391c6f5f3ceab7cd305a01a20a,7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,92c2d8366b77e94125010a626c1a56e4b4f94864,left,"-269,13","+269,13",a/src/__tests__/profilingCharts-test.js,b/src/__tests__/profilingCharts-test.js
