evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
d09299bf85198305e088ecd353f8b3b21c3d710a,c7580fcd3f713f391c6f5f3ceab7cd305a01a20a,7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,92c2d8366b77e94125010a626c1a56e4b4f94864,src/__tests__/profilingCommitTreeBuilder-test.js,src/__tests__/profilingCommitTreeBuilder-test.js,src/__tests__/profilingCommitTreeBuilder-test.js,src/__tests__/profilingCommitTreeBuilder-test.js,"[65, 73]","[65, 69]",50,50,True,False,RENAME
7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,c7580fcd3f713f391c6f5f3ceab7cd305a01a20a,7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,92c2d8366b77e94125010a626c1a56e4b4f94864,src/__tests__/utils.js,src/__tests__/utils.js,src/__tests__/utils.js,src/__tests__/utils.js,"[17, 17]","[17, 17]",17,17,True,True,RENAME
61ab40c15c7b1b342bb4907fa88a478052173822,c7580fcd3f713f391c6f5f3ceab7cd305a01a20a,7aaef6f41fa0dc0b13554a2e0800a34187a4ddfc,92c2d8366b77e94125010a626c1a56e4b4f94864,src/__tests__/utils.js,src/__tests__/utils.js,src/__tests__/utils.js,src/__tests__/utils.js,"[17, 20]","[17, 20]",17,17,True,True,RENAME
7ab93402a8de30fa7e0e885ff40aae2890b901c7,fa0139afbfcf9bfb25cd64e9ce45762b1d416e24,4422337562574cb87012d3dc68ea66cab638dda6,af47c39dbbf195442e9b654e8de0ebadf4102316,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,"[1169, 1169]","[1166, 1166]",1193,1190,True,False,RENAME
7ab93402a8de30fa7e0e885ff40aae2890b901c7,fa0139afbfcf9bfb25cd64e9ce45762b1d416e24,4422337562574cb87012d3dc68ea66cab638dda6,af47c39dbbf195442e9b654e8de0ebadf4102316,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,"[1169, 1169]","[1166, 1166]",1169,1166,True,True,RENAME
af47c39dbbf195442e9b654e8de0ebadf4102316,fa0139afbfcf9bfb25cd64e9ce45762b1d416e24,4422337562574cb87012d3dc68ea66cab638dda6,af47c39dbbf195442e9b654e8de0ebadf4102316,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,"[1438, 1438]","[1438, 1438]",1463,1463,True,False,RENAME
af47c39dbbf195442e9b654e8de0ebadf4102316,fa0139afbfcf9bfb25cd64e9ce45762b1d416e24,4422337562574cb87012d3dc68ea66cab638dda6,af47c39dbbf195442e9b654e8de0ebadf4102316,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,"[1438, 1438]","[1438, 1438]",1438,1438,True,True,RENAME
7ab93402a8de30fa7e0e885ff40aae2890b901c7,fa0139afbfcf9bfb25cd64e9ce45762b1d416e24,4422337562574cb87012d3dc68ea66cab638dda6,af47c39dbbf195442e9b654e8de0ebadf4102316,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,"[1193, 1193]","[1190, 1190]",1193,1190,True,True,RENAME
7ab93402a8de30fa7e0e885ff40aae2890b901c7,fa0139afbfcf9bfb25cd64e9ce45762b1d416e24,4422337562574cb87012d3dc68ea66cab638dda6,af47c39dbbf195442e9b654e8de0ebadf4102316,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,"[1193, 1193]","[1190, 1190]",1169,1166,True,False,RENAME
af47c39dbbf195442e9b654e8de0ebadf4102316,fa0139afbfcf9bfb25cd64e9ce45762b1d416e24,4422337562574cb87012d3dc68ea66cab638dda6,af47c39dbbf195442e9b654e8de0ebadf4102316,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,"[1463, 1463]","[1463, 1463]",1463,1463,True,True,RENAME
af47c39dbbf195442e9b654e8de0ebadf4102316,fa0139afbfcf9bfb25cd64e9ce45762b1d416e24,4422337562574cb87012d3dc68ea66cab638dda6,af47c39dbbf195442e9b654e8de0ebadf4102316,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,"[1463, 1463]","[1463, 1463]",1438,1438,True,False,RENAME
7ab93402a8de30fa7e0e885ff40aae2890b901c7,fa0139afbfcf9bfb25cd64e9ce45762b1d416e24,4422337562574cb87012d3dc68ea66cab638dda6,af47c39dbbf195442e9b654e8de0ebadf4102316,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,"[1626, 1628]","[1633, 1635]",1193,1190,True,False,RENAME
7ab93402a8de30fa7e0e885ff40aae2890b901c7,fa0139afbfcf9bfb25cd64e9ce45762b1d416e24,4422337562574cb87012d3dc68ea66cab638dda6,af47c39dbbf195442e9b654e8de0ebadf4102316,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,src/backend/renderer.js,"[1626, 1628]","[1633, 1635]",1169,1166,True,False,RENAME
