evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
c7036502b6f61a3112e80d31b7b127e8c2811618,4d6ddcdd9a915602a4effd05472e58a2346965a3,b5f357d59fa2d66b34e757463aa114157249181d,8b24585edf20029f5cc052f3ba495af279efd171,require.js,require.js,require.js,require.js,"[405, 408]","[417, 419]",389,377,True,False,EXTRACT
5463c8f5940c05427289afa106f5748b35542aee,1a3179c2f2a536b513ce3587c728822423c80547,a1556d4d2eb3a5ab3629e4099d892b72aab77b6f,6b503691cf4eacac59a6b9896ea959eb19eb1895,text.js,text.js,text.js,text.js,"[211, 235]","[211, 222]",217,231,True,True,INTERNAL_MOVE
5463c8f5940c05427289afa106f5748b35542aee,1a3179c2f2a536b513ce3587c728822423c80547,a1556d4d2eb3a5ab3629e4099d892b72aab77b6f,6b503691cf4eacac59a6b9896ea959eb19eb1895,text.js,text.js,text.js,text.js,"[238, 262]","[225, 262]",217,231,True,True,INTERNAL_MOVE
3593b89eb4ba8964a295f88f4a0cad280127821a,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.js,"[2, 2]","[2, 2]",990,76,True,False,EXTRACT_MOVE
3593b89eb4ba8964a295f88f4a0cad280127821a,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.js,"[2, 2]","[2, 2]",941,76,True,False,EXTRACT_MOVE
3593b89eb4ba8964a295f88f4a0cad280127821a,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.js,"[2, 2]","[2, 2]",1130,1144,True,False,EXTRACT
3593b89eb4ba8964a295f88f4a0cad280127821a,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.js,"[2, 2]","[2, 2]",358,76,True,False,EXTRACT_MOVE
3593b89eb4ba8964a295f88f4a0cad280127821a,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.js,"[2, 2]","[2, 2]",895,76,True,False,EXTRACT_MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",2024,2024,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",2049,2049,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",1109,1109,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,sketch.js,require.js,"[10, 13]","[10, 14]",309,309,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,sketch.js,require.js,"[10, 13]","[10, 14]",499,499,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",2006,2006,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",947,947,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",967,967,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",510,510,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",1318,1318,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",1371,1371,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,sketch.js,require.js,"[10, 13]","[10, 14]",467,467,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,sketch.js,require.js,"[10, 13]","[10, 14]",85,85,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,sketch.js,require.js,"[10, 13]","[10, 14]",335,335,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",324,324,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,sketch.js,require.js,"[10, 13]","[10, 14]",410,410,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,sketch.js,require.js,"[10, 13]","[10, 14]",324,324,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,sketch.js,require.js,"[10, 13]","[10, 14]",571,571,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",907,907,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",492,492,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,sketch.js,require.js,"[10, 13]","[10, 14]",397,397,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",723,723,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,sketch.js,require.js,"[10, 13]","[10, 14]",556,556,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",1314,1314,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",745,745,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",864,864,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",381,381,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",859,859,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",607,607,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",615,615,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",1152,1152,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.old.js,"[10, 13]","[10, 14]",385,385,True,False,MOVE
4d94abcd4774b60942199c20548b9bee4e7e305f,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,sketch.js,require.js,"[10, 13]","[10, 14]",564,564,True,False,MOVE
3593b89eb4ba8964a295f88f4a0cad280127821a,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.js,"[10, 12]","[10, 13]",990,76,True,False,EXTRACT_MOVE
3593b89eb4ba8964a295f88f4a0cad280127821a,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.js,"[10, 12]","[10, 13]",941,76,True,False,EXTRACT_MOVE
3593b89eb4ba8964a295f88f4a0cad280127821a,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.js,"[10, 12]","[10, 13]",1130,1144,True,False,EXTRACT
3593b89eb4ba8964a295f88f4a0cad280127821a,50b693e97900d6ef7df8fa4b4e7571469897639e,c85d60e5ccdb2ee3619d8b9c0ca4ad2f23641efe,07de48155203931a763a7b954b016e8dbd1d26aa,require.js,require.js,require.js,require.js,"[10, 12]","[10, 13]",358,76,True,False,EXTRACT_MOVE
