merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
01efcf2d92190a0da030d5af92f8209c99ea6beb,b23d15c4304a9a1b72f484171fc97682e5ed85a3,62a85d55f8820c93dd2e60e34600b6eded8f7726,[],"['dist/reveal.css', 'dist/reveal.esm.js']",0,10,0
25ed8f2c47191856861af097df090a4b1b93bae1,953aaad83a184e5bb9e732c1e705ecec23e8eb72,914b2aea83d494e8786acec92aea0d3dac14944e,[],['dist/reveal.esm.js'],0,4,0
ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,"['plugin/highlight/highlight.esm.js', 'plugin/highlight/highlight.js', 'plugin/highlight/plugin.js']",[],3,3,3
83648bb9ebaab407ebe6fa48267fb4e99c0f85ba,c2fd760f8f14482510b3a3125dbb5f669579d477,9aa6a029c3fe446a907d4c9843519edc1bb39f04,[],['dist/reveal.esm.js'],0,142,0
03126c509e604c210f6451dc8f77207ab95cb16f,00acc730f02223ff633072f8ec05c0d9bb130d69,7daea4957b32007b055440a7e8f37778b095baa4,[],['package-lock.json'],0,10,0
892c752a4b342206d2141ad17d1fd3a6edda3438,48598cb547d4855894fc248625f2ad87948ad630,acafabf023a14b4b0c2b4bb83cbada855cea832a,['js/controllers/backgrounds.js'],[],1,1,1
acafabf023a14b4b0c2b4bb83cbada855cea832a,e57ff233a4830de7729a7235b2ec120179feb581,f576b98fbd3937fcd5b8617a6e27b79c987aff82,['js/controllers/print.js'],[],1,1,1
58bc732212f6be13f3ba3175efa467a7129e6020,b92d16f48df6e6e16c0cd5d232a3e787e59af8f9,00b0ace3863952ce95df4430d203686fd27bfc20,[],[],0,0,0
4ff79dbc9d32f20d903bb225149cbaab43f92d3c,d378ab2e63aca8f3bec19022714214a5455ffcdc,cce59072dcfbc0b4e377bcdef259e1b0c2b187c4,['js/reveal.js'],[],1,1,1
4b888d87b7e030f73c20477d103b8b3c7ba6a651,5c24818b7e10831d7af613f55851493c702545c9,773b5115a5b221a4b7f559c85d7a1fbaf9c201ae,['js/reveal.js'],[],1,1,1
