evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
4d443826ab29bb2ce78aabd733451719e864e00c,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,left,"-5,1","+5,1",a/plugin/highlight/highlight.esm.js,b/plugin/highlight/highlight.esm.js
c2fd760f8f14482510b3a3125dbb5f669579d477,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,left,"-5,1","+5,1",a/plugin/highlight/highlight.esm.js,b/plugin/highlight/highlight.esm.js
ac410debf635a11bdf56689eb00bffe9035b3c3c,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,left,"-5,1","+5,1",a/plugin/highlight/highlight.esm.js,b/plugin/highlight/highlight.esm.js
395356a0b144c8fc981d3464d986f8c3dcc80bfb,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,left,"-5,1","+5,1",a/plugin/highlight/highlight.esm.js,b/plugin/highlight/highlight.esm.js
ca9ce4b592d50bd84580daff48c16bc55f6ebd2b,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,right,"-5,1","+5,1",a/plugin/highlight/highlight.esm.js,b/plugin/highlight/highlight.esm.js
4d443826ab29bb2ce78aabd733451719e864e00c,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,left,"-3,3","+3,3",a/plugin/highlight/highlight.js,b/plugin/highlight/highlight.js
c2fd760f8f14482510b3a3125dbb5f669579d477,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,left,"-3,3","+3,3",a/plugin/highlight/highlight.js,b/plugin/highlight/highlight.js
ac410debf635a11bdf56689eb00bffe9035b3c3c,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,left,"-3,3","+3,3",a/plugin/highlight/highlight.js,b/plugin/highlight/highlight.js
395356a0b144c8fc981d3464d986f8c3dcc80bfb,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,left,"-3,3","+3,3",a/plugin/highlight/highlight.js,b/plugin/highlight/highlight.js
ca9ce4b592d50bd84580daff48c16bc55f6ebd2b,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,right,"-3,3","+3,3",a/plugin/highlight/highlight.js,b/plugin/highlight/highlight.js
c2fd760f8f14482510b3a3125dbb5f669579d477,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,left,"-32,2","+32,2",a/plugin/highlight/plugin.js,b/plugin/highlight/plugin.js
ca9ce4b592d50bd84580daff48c16bc55f6ebd2b,ea14d4a08a14b409eba51b221b5cd6a361801d18,05e57dea66529a1b472f743f8ac520fb8bed0ba2,d93cba5581e3092d29a3299dcb25891adfad2799,right,"-33,0","+33,1",a/plugin/highlight/plugin.js,b/plugin/highlight/plugin.js
d1f6e6cce962007a468bbf6631daf8ae1457fcb6,892c752a4b342206d2141ad17d1fd3a6edda3438,48598cb547d4855894fc248625f2ad87948ad630,acafabf023a14b4b0c2b4bb83cbada855cea832a,left,"-195,3","+195,3",a/js/controllers/backgrounds.js,b/js/controllers/backgrounds.js
e57ff233a4830de7729a7235b2ec120179feb581,892c752a4b342206d2141ad17d1fd3a6edda3438,48598cb547d4855894fc248625f2ad87948ad630,acafabf023a14b4b0c2b4bb83cbada855cea832a,right,"-195,3","+195,3",a/js/controllers/backgrounds.js,b/js/controllers/backgrounds.js
