merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
40763d3962507ef3e25d3c7ea597de21fd0a870d,e3207005daa30fd829c5051166d51d1081ca8769,2a092bd2fb8b37fb2dd896798b7c619e5104448e,[],['package.json'],0,1,0
e3207005daa30fd829c5051166d51d1081ca8769,0c6d50d9c08d743443989f864156a725d99e079b,42aa77614ee4edefb52d89c62cf84a81db5513d9,[],['package.json'],0,1,0
f4e9e71c56abe65a718870927db9a406cf933997,045674de97919ca7fa779c38ece101f50a5f8923,19341051e86db0400672de2709f8b144317482db,['lib/client.js'],[],1,1,1
21ea31a34e0bb83a7aab8f4ff2f6f3c665bb816a,210e6887327e6afed4761940fae405b8e784e8e1,e2ebd4349bf27c3839fc9a2700b42cf8390ac3bd,[],['package.json'],0,1,0
e41483be9e145f9d09dcb665316da58b51d98bd5,a2f6bb99d640490d279c16352c4ca87dabff428e,c79e7876716301c07890c6498e7e14d87dfbacd3,[],['test/socket.io.js'],0,1,0
a2f6bb99d640490d279c16352c4ca87dabff428e,876833198dcae62521f0706e3f381c094db2faf5,3e4061bfef1fa0c387657ec81325c068a2cea132,[],['package.json'],0,1,0
91c7bde34b1966ace32eb41f741b55ad3927a127,874a4a8535e696f81e9ac54f107c3fb18fb565de,342faf219793fc5c1f130fc33e3fb5422dab516d,[],"['package.json', 'test/socket.io.js']",0,7,0
874c1942105b567956c31d853038b7fb568b5af7,afc83ad65a88488abab7fdcf43232d27855dc7e3,f537560bcc56662451599a7a0a934e5ef0f7e60d,[],['package.json'],0,1,0
f8d1d33dfaab234aa8dae9fdd032e63405c74cfe,736106a9e73ed8e9b01f76d1b65232a4f6fb25c0,f5a8ac293aed734ebbb1b549adb98562bf2b7c66,[],['package.json'],0,1,0
afc83ad65a88488abab7fdcf43232d27855dc7e3,7d4aa670ada56f6d460205e618f3996fd74c13f7,c574f5f959f97a62839f3b09935902ec09edfb45,[],['package.json'],0,1,0
620f94a007eb469dc6333a58bd91d806a44f3c15,4823d20cf1f174073b335e05fa66bfe8b1335688,f808c377b030a2e54d60d1c89ec861f7c0336019,[],['package.json'],0,1,0
4823d20cf1f174073b335e05fa66bfe8b1335688,612d35194faa93e61fda876cc5ffa21c37cb8248,0c8ed9547c3f1cee672ee7cdcdc615a3b50f0d68,[],['package.json'],0,1,0
8c3ca99e7c749ebe03c856aab38f8929c39fe923,beab05312332df0f50d3df2fda6d98d25bf22602,69de792c036954edc519aeb4314d73f252660518,[],['package.json'],0,1,0
8daa71302da40d43e8b817d54b2c8f05848cdb98,7537e2543f8db9c33ee2d8f2319b08f406d22550,b2a8ed1421951b72496819268840616423e9e485,[],['package.json'],0,1,0
6df152cc5d0207d3457c8765f7f2a997ebfaefd1,e269fcaf0d418a51a8e27ecf7cde9ef1889754ac,b2f9f19d99cd18d78b3455c19b4a3cc344c15a65,['lib/manager.js'],[],1,2,2
7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,"['lib/transports/websocket/default.js', 'lib/transports/websocket/hybi-07-12.js']",[],2,2,2
f0ef33b45ff5f757759185cd8bb9d6c471971860,abe142ac66d51a8d87e6f079ee04125a0eff6b7e,a4ec5aafa663f47be2b7f30dfbbc1ba82afc9f33,['lib/manager.js'],[],1,1,1
1fa158c663d3e3a8d6f283161e7f5393f980b8fb,831f1baa4a99401e848e1414cdc55ba4205df1e3,a4ec5aafa663f47be2b7f30dfbbc1ba82afc9f33,['lib/manager.js'],['package.json'],1,2,1
a631f86b3b062ad909276e73a9285393c2909ac3,9cfdb8ed97ad55b0088e2fb89bdddb31d41ec956,a4ec5aafa663f47be2b7f30dfbbc1ba82afc9f33,[],['test/transports.websocket.test.js'],0,3,0
3a2545b49778cc545edcff42d81066bd52438cf3,ffa17e1205e89d4f058de70f8f547f910d1b9489,097094cd7aff4c1060b53eafa9a0096f830305a9,[],['package.json'],0,1,0
206cfdf9c6e5c1143dade032fe6b9220dfa3841a,65d7229079f7b2bf25e5855d13837012fc7373b0,c18aa40ba62fcbfa22ec2a943ba07056c188b3b3,['lib/manager.js'],[],1,1,1
4672ab65d7ca24cba34c8611183fa42ca03a433d,28b396c3fcd75ea7abcf5a75a5315bf43c634610,331e6e85b90bf1ce1e04b0ea9dbd9cda994c3669,['lib/transports/http-polling.js'],[],1,1,1
