evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
045674de97919ca7fa779c38ece101f50a5f8923,f4e9e71c56abe65a718870927db9a406cf933997,045674de97919ca7fa779c38ece101f50a5f8923,19341051e86db0400672de2709f8b144317482db,left,"-190,12","+190,1",a/lib/client.js,b/lib/client.js
19341051e86db0400672de2709f8b144317482db,f4e9e71c56abe65a718870927db9a406cf933997,045674de97919ca7fa779c38ece101f50a5f8923,19341051e86db0400672de2709f8b144317482db,right,"-190,12","+190,10",a/lib/client.js,b/lib/client.js
4708480e7db80688705617b0129dae458260e579,6df152cc5d0207d3457c8765f7f2a997ebfaefd1,e269fcaf0d418a51a8e27ecf7cde9ef1889754ac,b2f9f19d99cd18d78b3455c19b4a3cc344c15a65,left,"-778,1","+780,1",a/lib/manager.js,b/lib/manager.js
6db6db41a2503b714c1e48c11dfe5027f4889166,6df152cc5d0207d3457c8765f7f2a997ebfaefd1,e269fcaf0d418a51a8e27ecf7cde9ef1889754ac,b2f9f19d99cd18d78b3455c19b4a3cc344c15a65,right,"-778,2","+778,1",a/lib/manager.js,b/lib/manager.js
bd360a15ef21bf17bac2d1537068dfaacc5e55df,6df152cc5d0207d3457c8765f7f2a997ebfaefd1,e269fcaf0d418a51a8e27ecf7cde9ef1889754ac,b2f9f19d99cd18d78b3455c19b4a3cc344c15a65,right,"-778,1","+778,2",a/lib/manager.js,b/lib/manager.js
4708480e7db80688705617b0129dae458260e579,6df152cc5d0207d3457c8765f7f2a997ebfaefd1,e269fcaf0d418a51a8e27ecf7cde9ef1889754ac,b2f9f19d99cd18d78b3455c19b4a3cc344c15a65,left,"-811,1","+822,1",a/lib/manager.js,b/lib/manager.js
bd360a15ef21bf17bac2d1537068dfaacc5e55df,6df152cc5d0207d3457c8765f7f2a997ebfaefd1,e269fcaf0d418a51a8e27ecf7cde9ef1889754ac,b2f9f19d99cd18d78b3455c19b4a3cc344c15a65,right,"-811,1","+812,1",a/lib/manager.js,b/lib/manager.js
186649102defa4443e464bf884629311184d3d85,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,left,"-0,0","+179,3",a/lib/transports/wsver/default.js,b/lib/transports/wsver/default.js
ae7f25332a27afcc35a40cf2205faad86fd60a93,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,right,"-179,3","+179,3",a/lib/transports/websocket/default.js,b/lib/transports/websocket/default.js
07b9c4696daeb10141383767b9c220756e10b88c,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,right,"-0,0","+179,3",a/lib/transports/wsver/default.js,b/lib/transports/wsver/default.js
