evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
186649102defa4443e464bf884629311184d3d85,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",201,201,True,False,MOVE
186649102defa4443e464bf884629311184d3d85,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",284,284,True,False,MOVE
186649102defa4443e464bf884629311184d3d85,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",260,260,True,False,MOVE
186649102defa4443e464bf884629311184d3d85,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",312,312,True,False,MOVE
186649102defa4443e464bf884629311184d3d85,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",301,301,True,False,MOVE
186649102defa4443e464bf884629311184d3d85,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",69,69,True,False,MOVE
186649102defa4443e464bf884629311184d3d85,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",167,167,True,False,MOVE
186649102defa4443e464bf884629311184d3d85,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",215,215,True,False,MOVE
186649102defa4443e464bf884629311184d3d85,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",345,345,True,False,MOVE
07b9c4696daeb10141383767b9c220756e10b88c,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",301,301,True,False,MOVE
07b9c4696daeb10141383767b9c220756e10b88c,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",215,215,True,False,MOVE
07b9c4696daeb10141383767b9c220756e10b88c,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",345,345,True,False,MOVE
07b9c4696daeb10141383767b9c220756e10b88c,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",284,284,True,False,MOVE
07b9c4696daeb10141383767b9c220756e10b88c,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",260,260,True,False,MOVE
07b9c4696daeb10141383767b9c220756e10b88c,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",167,167,True,False,MOVE
07b9c4696daeb10141383767b9c220756e10b88c,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",201,201,True,False,MOVE
07b9c4696daeb10141383767b9c220756e10b88c,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",69,69,True,False,MOVE
07b9c4696daeb10141383767b9c220756e10b88c,7b2b302022e357bdf55317313b1394626073b61c,d88575dadf4203e5bc2f64b0ec2f9adbb887933f,4d66f78ca2e3001a554bfc6c3e8a42ed47619f40,lib/transports/wsver/default.js,lib/transports/wsver/default.js,lib/transports/websocket.js,lib/transports/wsver/default.js,"[0, -1]","[179, 181]",312,312,True,False,MOVE
