evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
0425d09c3e610d029103a76a98591c9fc51260c7,a22beece2e5e91138a0af063881e4629c8be222e,ec6c765dcce6c9013d4ab6e8420f71c7fd7fd4cc,068f88feaa061d7a113a6eda54db705d4e542713,left,"-126,0","+126,3",a/lib/visitor/compiler.js,b/lib/visitor/compiler.js
068f88feaa061d7a113a6eda54db705d4e542713,a22beece2e5e91138a0af063881e4629c8be222e,ec6c765dcce6c9013d4ab6e8420f71c7fd7fd4cc,068f88feaa061d7a113a6eda54db705d4e542713,right,"-126,0","+139,3",a/lib/visitor/compiler.js,b/lib/visitor/compiler.js
319546de05501dec37aeb6b4c1914149ebfdeb42,80b022a03eabd29540d42b58e43fab1c0a82f6a2,21f009814e5d0c64b91f9c6e0b5c5b62d24bcf6a,b0512a23b0e6ef27d28ba43d6bc22deaeba80fb9,left,"-1994,6","+1994,2",a/lib/parser.js,b/lib/parser.js
3cab4fd030267ba4569590181ee43e2dd035a952,80b022a03eabd29540d42b58e43fab1c0a82f6a2,21f009814e5d0c64b91f9c6e0b5c5b62d24bcf6a,b0512a23b0e6ef27d28ba43d6bc22deaeba80fb9,right,"-1999,4","+1979,4",a/lib/parser.js,b/lib/parser.js
09fefd7af4093218fbc638661428967514196d07,bcda1b45a1e6a8ccf85f2014f57221ffebe83977,eb50728c4dd558adc71019e2eb9c1432602e9537,48f169bc92dd1d8bed9bc43a7898530ad228280a,left,"-91,17","+92,1",a/lib/nodes/block.js,b/lib/nodes/block.js
67d6348b1634cc87334f920b4bd9b4d4d4fed245,bcda1b45a1e6a8ccf85f2014f57221ffebe83977,eb50728c4dd558adc71019e2eb9c1432602e9537,48f169bc92dd1d8bed9bc43a7898530ad228280a,right,"-91,17","+91,17",a/lib/nodes/block.js,b/lib/nodes/block.js
09fefd7af4093218fbc638661428967514196d07,bcda1b45a1e6a8ccf85f2014f57221ffebe83977,eb50728c4dd558adc71019e2eb9c1432602e9537,48f169bc92dd1d8bed9bc43a7898530ad228280a,left,"-62,4","+63,3",a/lib/nodes/keyframes.js,b/lib/nodes/keyframes.js
f96afb3f2a7e622504e81c008159ecc78389a3bf,bcda1b45a1e6a8ccf85f2014f57221ffebe83977,eb50728c4dd558adc71019e2eb9c1432602e9537,48f169bc92dd1d8bed9bc43a7898530ad228280a,right,"-62,4","+46,1",a/lib/nodes/keyframes.js,b/lib/nodes/keyframes.js
09fefd7af4093218fbc638661428967514196d07,f155efbfb3ab9c91e1f0d651d2ac7fcc62c5e872,5aca756bf94913161ea6728f0c00c9dc32201048,4937e23c896d5deab7c6e10292c3f8097770b8d3,left,"-373,1","+376,1",a/lib/utils.js,b/lib/utils.js
4918afcf14333304ea09f698610d1a63e42e3d64,f155efbfb3ab9c91e1f0d651d2ac7fcc62c5e872,5aca756bf94913161ea6728f0c00c9dc32201048,4937e23c896d5deab7c6e10292c3f8097770b8d3,right,"-373,1","+373,1",a/lib/utils.js,b/lib/utils.js
09fefd7af4093218fbc638661428967514196d07,f155efbfb3ab9c91e1f0d651d2ac7fcc62c5e872,5aca756bf94913161ea6728f0c00c9dc32201048,4937e23c896d5deab7c6e10292c3f8097770b8d3,left,"-398,1","+401,1",a/lib/utils.js,b/lib/utils.js
4918afcf14333304ea09f698610d1a63e42e3d64,f155efbfb3ab9c91e1f0d651d2ac7fcc62c5e872,5aca756bf94913161ea6728f0c00c9dc32201048,4937e23c896d5deab7c6e10292c3f8097770b8d3,right,"-398,1","+398,1",a/lib/utils.js,b/lib/utils.js
