merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
0e98d6488e241c42b517026f85e485d82548c79d,c48dae21add7989a490430442f657c2d2fffb6c2,28059614d82382874598d6a4b6c195cedec71c5f,[],['package.json'],0,1,0
fdc29cae736ae8621704d6793acef3615cfc7876,a90d9f4ec5f64ff7b171a1a921d94fbd021efa28,326b7858629bc1f0817dd0e8848af791b8b536ca,['src/js/base/module/Codeview.js'],[],1,1,1
1c2d9288664786da84bfea0adf3b43eb6657697a,c11943634fb7f0e8647b4853222f9b86426c40f2,e0d480f7d9cdc387dd1eb18b846874b3159307fd,['src/js/base/core/dom.js'],[],1,1,1
e292e9c4eb5c059cfdc9df91d8f22c4c89a631ea,43c203c5457b949fee9735f56fd91b4f735ad3bc,6071eb1b6ae39e0fc81dadc631de5efd9947c787,[],['package.json'],0,1,0
ca15ac44025e93d90a9b21b9878fb77a62ad501c,8c98f29f74e72039bfe70aec7090208dd2c53cd0,702fcb6763fcfde1faa1c541a3899f7fce4cf698,['src/js/base/settings.js'],[],1,1,1
d80cde529ec452ebfcbb418205ebaf84a4587713,1f0f2622b528cc69fab42c6f9ce7820af1de9bf3,1fa88f643536e6bf6b11c034301f78fc62fd03e8,['src/js/base/module/Clipboard.js'],[],1,1,1
07c820039a905c2f774298f58f4bcf6a2318650b,c72fd623463092541a271c47b8732bfe555abcd3,e6f048d2a49da661afd488224b1c4896fb71ec26,['src/js/base/core/range.js'],[],1,1,1
becf387b331cef1ff895c7ed626b952ccce6cbff,cbca374ab29a3257350611731f612d7c8d9d9020,55d5ec35254b3ecefb6a8f4399d1f54151de70b2,"['src/js/base/core/dom.js', 'src/js/base/core/range.js', 'src/js/bs3/settings.js']",[],3,5,5
fdbd165a7db7486439c8a51370ab130c4d383ba4,adb8aff890440db070ae4f8197c0cfa553f3b64e,23bf847c3c9f92d4969c15bf7aa681e0976e8c40,['src/js/base/module/ImagePopover.js'],[],1,1,1
86b8899db029cf24bc44ea525d0628fc76d85f44,6c0f3513338feaed8636b1bbe40bb8f902789c34,17f9820943c7e5048e3b975de03616e74441b1d9,['src/js/base/module/Editor.js'],[],1,1,1
720eef11504b49b5b2233732fbda420037fa9e3f,b9d3f5c6fee3431abce97f8e03cf48fd05ab09db,693f4d1f395f9520cef1ea993b5327141ef84cb5,[],['test/base/module/Editor.spec.js'],0,1,0
7959e4f8c65b9d23a61f81ce653ad5a78e9b86ab,1773e52361a68750ed2cf8fd4e14201787521693,2f0cfbacd5dce9d35208d9d31ca66075061a15c4,[],['MAINTAIN.md'],0,1,0
aaaf1db7d47797678384bce42c80918e84604cf5,f8459eca23f65c46674eaadae265d559ce2172a1,8778f5f38075795a313c8bf8b59c21cbf0103fc7,"['src/js/bs3/settings.js', 'src/js/bs4/settings.js', 'src/js/lite/settings.js']",[],3,3,3
f8459eca23f65c46674eaadae265d559ce2172a1,8659f1e275e212bb760fae20380eb0174695f2d7,648c40ee6c27c0593b365b805914a89d48bac8d6,"['src/js/bs3/settings.js', 'src/js/bs4/settings.js', 'src/js/lite/settings.js']",[],3,3,3
2ba7bdc9c702ad94848c2e3cd7d474f8a3c4008b,430a419ef01d2628b03d7c4c3f52a9847d576adb,5afdb69b17ef332886753f607ad5a6bf3ee5c1a7,['lang/summernote-zh-CN.js'],[],1,4,4
632c924246ec26007a22c447a0e63e0dda41d318,a9e3b114ce69c48a39da8ef9fb8c30f006858f75,dfed78fdbf5b1543eee23ba405016606522ac529,"['src/js/base/core/dom.js', 'src/js/base/editing/Typing.js', 'src/js/base/module/Editor.js', 'src/js/bs3/settings.js', 'src/js/lite/settings.js']",['test/unit/base/core/dom.spec.js'],5,8,7
15932bbc20b9779ec721fb452173bb3b9af4e92f,f3b3d9259d9383f1e761fc93a672cd7fdee74104,45b662d61ee6cf0321b99cbf3eff0676b51d67d2,['lang/summernote-tr-TR.js'],[],1,1,1
d8e9e95333d34cdfea8987fc8bb6987ad3144059,6c6f915d762da56d43e297db27f8adf53488c8ff,d5d76db3edc9b5da979ea3f164a75b6d3fb2437e,['src/js/base/module/Dropzone.js'],[],1,1,1
84bc7bbd676540703f1c3f83fdd847d2291f553d,8e1f0aeac7bb349a89867d65ef25b1fff4c67edb,041141fbc83c9a4d0308f5427c89c95c387bfd65,['src/js/base/module/Editor.js'],[],1,2,2
