evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
8ccac612b672788155db900a6341f4b5f044a1be,632c924246ec26007a22c447a0e63e0dda41d318,a9e3b114ce69c48a39da8ef9fb8c30f006858f75,dfed78fdbf5b1543eee23ba405016606522ac529,src/js/base/module/Editor.js,src/js/base/module/Editor.js,src/js/base/module/Editor.js,src/js/base/module/Editor.js,"[1, 50]","[1, 51]",690,681,True,False,RENAME
0b85301d487413fa6c05d51f00b890215147c1d8,5ae7658d62070ca82b873085d319ce273a550243,0b85301d487413fa6c05d51f00b890215147c1d8,f6c1d1c6161e21ac881fbb3ff01b79fce4119872,src/js/summernote.js,src/js/summernote.js,src/js/summernote.js,src/js/summernote.js,"[73, 72]","[92, 92]",47,69,True,False,EXTRACT
0b85301d487413fa6c05d51f00b890215147c1d8,5ae7658d62070ca82b873085d319ce273a550243,0b85301d487413fa6c05d51f00b890215147c1d8,f6c1d1c6161e21ac881fbb3ff01b79fce4119872,src/js/summernote.js,src/js/summernote.js,src/js/summernote.js,src/js/summernote.js,"[73, 72]","[92, 92]",22,50,True,False,EXTRACT
262de3ecb5f76ea3247dcdf626c5baa728e573f8,7ea3e0fe1e124d128be15e3c5cb0ef2ded0d5410,0017fb76c8ff7c038aec6557591dd3884d6e52ca,3a8982d13ba06d92b33cb917887c702fd3167573,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,"[183, 187]","[155, 159]",95,114,True,False,EXTRACT
262de3ecb5f76ea3247dcdf626c5baa728e573f8,7ea3e0fe1e124d128be15e3c5cb0ef2ded0d5410,0017fb76c8ff7c038aec6557591dd3884d6e52ca,3a8982d13ba06d92b33cb917887c702fd3167573,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,"[183, 187]","[155, 159]",34,23,True,False,RENAME
262de3ecb5f76ea3247dcdf626c5baa728e573f8,7ea3e0fe1e124d128be15e3c5cb0ef2ded0d5410,0017fb76c8ff7c038aec6557591dd3884d6e52ca,3a8982d13ba06d92b33cb917887c702fd3167573,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,"[183, 187]","[155, 159]",50,34,True,False,RENAME
262de3ecb5f76ea3247dcdf626c5baa728e573f8,7ea3e0fe1e124d128be15e3c5cb0ef2ded0d5410,0017fb76c8ff7c038aec6557591dd3884d6e52ca,3a8982d13ba06d92b33cb917887c702fd3167573,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,plugin/summernote-ext-hint.js,"[183, 187]","[155, 159]",42,29,True,False,RENAME
98d43349d35d08f90e81d9d5b8ba1597ae219d8c,9942d019bcffcd003b94759f119b941720144d4a,4b61ed98df69b36c425576943b3edb4c806f2fba,79b50f5d3037a3ffd0f16b501c218f2a6030dea6,src/js/editing/Editor.js,src/js/editing/Editor.js,src/js/editing/Editor.js,src/js/editing/Typing.js,"[123, 125]","[109, 112]",111,13,True,True,MOVE
98d43349d35d08f90e81d9d5b8ba1597ae219d8c,9942d019bcffcd003b94759f119b941720144d4a,4b61ed98df69b36c425576943b3edb4c806f2fba,79b50f5d3037a3ffd0f16b501c218f2a6030dea6,src/js/editing/Editor.js,src/js/editing/Editor.js,src/js/editing/Editor.js,dist/summernote.js,"[123, 125]","[109, 112]",151,2285,True,False,EXTRACT_MOVE
0d60dcd97ab074c4b67d042b97ab5fccf570d211,9942d019bcffcd003b94759f119b941720144d4a,4b61ed98df69b36c425576943b3edb4c806f2fba,79b50f5d3037a3ffd0f16b501c218f2a6030dea6,src/js/editing/Editor.js,src/js/editing/Editor.js,src/js/editing/Editor.js,src/js/editing/Editor.js,"[207, 268]","[214, 219]",510,214,True,True,RENAME
