merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
72ac819efef252fb6dd49e31b950d88927206679,cbec3723e1452f1b49a9795f94e3a922acfdc10e,6ccab387560c68507c1527b6bea413dcf79b2e6e,['lib/compress.js'],[],1,2,2
630b09050fe528bfb05d1efd6aa2d7ee47894b01,149a569ac8e17b3e614a59b6ed70f2d4bffd429b,0cfbd79aa123a97c94c1bf5032acf11c15886dad,['lib/compress.js'],[],1,4,4
287ec730f76bab4acf84f39f69c1de32828885b5,4f57d8746bd9a9d722034684d9ff0c630cc3689d,06166df999f71a033d52e1a6213c36dd5bace2e8,"['lib/ast.js', 'lib/compress.js', 'lib/parse.js']","['bin/uglifyjs', 'test/compress/evaluate.js']",3,9,6
0f2be1456c42d470283c7e98b27e10c6a83d5b16,1eb15f46f138e271b2e375497f7de73aa6e2747d,460218a3f878fff658ca6c8e238f203866320b98,"['lib/compress.js', 'lib/output.js']","['package.json', 'test/compress/reduce_vars.js']",2,6,4
7a8eff62cac737703890c21b6cd438c608635eb6,f76b5e0f43d7d23bec6479c69008b4e5d724a7d2,9336cc824739f6e594e7c020a49b2d17b1faaec2,"['lib/compress.js', 'lib/parse.js', 'lib/scope.js']",['test/compress/dead-code.js'],3,19,14
3bbe83951852d859ffd5f108941c9a59ec46e024,ace272f0c505af074ddb587445ed3410329c6693,e2ec270b04ddefc1c7aa39ab1eb24f2cae0077a8,['lib/output.js'],[],1,1,1
7dea749f586fa639ffaa678129f0c2c13cd4c657,0a3fac6e684eb2bd484602e39615cd1f067588d5,8ca49155a8a3b0030b621fd4a5ba63147ea1c72f,['lib/compress.js'],['test/compress/drop-unused.js'],1,11,8
96082f7a9bd283b668b8a20384df78f3586324f3,a53784e0c59d5a242ba99965fcc24bdb8ef6ad52,86607156e3c68fe2a56d728563691d7dbcb7519d,['lib/parse.js'],[],1,1,1
a3b8dec34702086ea1583f25fb6bcbb4dd7c5809,49ce573971fdd533b0a82f8c775ff2f41e63b77a,8701a99a158d8f041b6956822b632258b40ba68e,['lib/compress.js'],['test/compress/functions.js'],1,2,1
dbf8684287e90c530a6179632e6403a4758c9fac,8d156b51fe72906800189ec70a4b8ba23e6db937,f1556cb9451e9532896f9e553087c9ce83801170,"['lib/compress.js', 'lib/output.js', 'lib/parse.js']",['test/compress/dead-code.js'],3,18,14
21c986ff5b61632607b5311dcd24c4d69d7ff362,87bae623e9d0cf0ad430aeb732be95094fc4c6e6,24418274084745a224a2715219a4c6029cbfee8f,['lib/compress.js'],[],1,9,9
c9dbe9deb1cc9cca260c1f498c90ce92a0f7babf,1885f91f132ffe313d22aa52d1e8220a3a958155,b9f3ddfb30897f634a7967e773d1555ceecb21cc,['lib/compress.js'],['test/compress/hoist_props.js'],1,5,3
4f08c2f50427b71f7d374e501fb6dfba32c44e8f,ba4894af18b500a5e9532c8ba62b8d21596b6130,b37a68c84f7b74de8ec7fc862792964c436fa2ec,"['lib/compress.js', 'lib/minify.js']",['README.md'],2,6,3
227b58812dff7b978467cd5b7cad25dea9cddf6f,f25bd13be68152640af809bafe0a2ba3aa77eb0a,667fc4d08b7c720ca66be8e63ebcfd234de54329,"['lib/ast.js', 'lib/compress.js']",['test/compress/collapse_vars.js'],2,8,6
11c0b1e1f93e3b365a5bbd6e5f564c0e09c9b8e8,650d5d5c9bfb4c269356b5bfbf0d55d3984de42f,346fa12e0e67ed9418da4df91f72b41a857ef81f,['lib/compress.js'],['test/compress/reduce_vars.js'],1,5,3
e11cec1ab8157080f28906a9d7a7d9b2957a42ab,0c435190979576ac3ffcb885da3fbc416538800d,38bfb73f0643d73d429d7a79667f6b8fa3fd6fc5,['lib/compress.js'],[],1,5,5
df9c8dfd725d75e8f971af7ff9f8bbeb02d6d406,29bbc41dfed19475acc5538e7ee39bd0c3856352,f46281e2b75a0cae0fbc591ba23c000d4106a07a,['lib/compress.js'],['test/compress/drop-unused.js'],1,15,10
086cb331639339a4097899a935f489745f1a25c2,6371e2ee6361d534fc966b2f2e19da294b02ec3b,2fd927a7ccfb55de415bf1faafb45e5006ca9984,['lib/compress.js'],['test/compress/properties.js'],1,5,3
c60fa678278ebf08be07f1472f75bbd0bed26e33,f9c57dfee0a768b483db74486919f254ed84a8b0,96439ca24690782dc67c5cc3768226bf96c38885,[],"['README.md', 'test/compress/reduce_vars.js']",0,4,0
58a5608b6627ac08149a3a3f1ab61cd372ba2217,f496ac5c85263581aeaad6deb816a38c1fcd3b45,dfe4f6c6de3971e48b6a5a807e17314d65cdc9b5,['lib/compress.js'],['README.md'],1,8,2
4fac8076b82f9d9f1b3bce0c333019b572944646,a020d2ead342f95e6c577af8efa9b3b82c399312,6920e898d1a89a035b54e62b83c4ad0411a0ff2e,['lib/parse.js'],['test/compress/reduce_vars.js'],1,2,1
bd84007cf4df8622862df69f5f9b9902c7a99f41,12416000131558cd73d54613f7cd6437f4dc052e,55387e8fd022a64b349487ca3a66c3d9c5de1907,['lib/compress.js'],[],1,2,2
d73500e8d1eb0ddd5d4e4465701a07950f999d29,d8685f528d4bffe037427a1beb134e2bb3bd9493,aceb0af36b8c89ae76b18c63a32b600156e4766e,['lib/compress.js'],['test/compress/pure_getters.js'],1,2,1
8891495789501589c4f27e280b45c802641c5856,2779a29a8666293192223ec5acf125f555e68ede,cd27f4ec38f2899707859459970406ae67c3adb6,['lib/compress.js'],['test/compress/collapse_vars.js'],1,3,2
e0e009ace25cc6fdaf99d103a8c680ad670d1eed,ae0f117da635a481f30f0ce4ccf5d883f07a90fc,f81ff10a9b9b3f65ad78bde5b2dbbc5739c70529,['lib/output.js'],[],1,1,1
1eae8f2dccf5bedf9cde85475954a079fced8025,d600c78d7b3da5c9a72ba1a0c37e6bc84e011ca3,c4c2ef44d0b3238098888b6ea3941f831947b10b,[],['test/compress/issue-1770.js'],0,4,0
77d18be073ba8d15f8738553c91d0522aef062bc,91f8b57b3ef22f91b755a0e5f95f5b5aa24ed74c,bc61deeca911bd0418ddda605a7449cd31b66ce4,['lib/output.js'],['test/compress/unicode.js'],1,4,3
3a2b737c42793798047b97d57b1ff2f12df0e1d9,0f4278148d67f649decd9506c1f62e8039e1e061,4e12a6f740bfc3643516679d8faf8f5296d980d0,['lib/compress.js'],['test/compress/drop-unused.js'],1,6,4
a556dd2dcbacde94f15816458ceafa386969ad02,e7334b4048588a984f76f01e5af6e182944b6aea,bd7be07c38c3a6e47910828279c87a1e5531c357,"['lib/ast.js', 'lib/compress.js']",['test/compress/new.js'],2,6,5
e77b6d525ce6cd73b0206310ab9e41ad1246fba3,a9eecd844fef8bdac06307aa14e6d1cc64a663f0,2dde41615a22ec16b52028a5b09a42b50e4ee094,['lib/compress.js'],['test/compress/collapse_vars.js'],1,3,2
ed3032e52ab14c7b15c37f0b96ed2b4eec5ead98,52cc21d9995fcda6e78e0514dab2bb67e9b1cb91,7659ea1d2edd7603bd355eb849bd5dd62c3350c7,[],['README.md'],0,1,0
087bce508a1536931753bb0b6862149a90716579,fc7e33453fa908f9c4ef28d03969866a7f98f733,5e6f26445f932a180890be4792dab574e07cbb0f,['lib/compress.js'],[],1,1,1
11afa816e3f7a59bc399bda8c5ad498aa6f1d836,49f3de83970cfc78ccbede4c1918bdf0a2f34223,8b4dcd8f3e673209cd56ee44cc0292b4bcf60559,"['lib/compress.js', 'lib/parse.js', 'lib/scope.js']",['test/compress/issue-1770.js'],3,12,6
daaf1273fa8dcf375fe1da7d36f2cde31558c875,3fa862ce19cbef31b0d75582eb43a74fad3d8130,1c150c632f200bb58044a3ff9592d884f1010e67,['lib/compress.js'],['test/compress/drop-unused.js'],1,6,4
8af362ed57ab6d236f87abe76301f50928153661,68138f22810d4a2086569e979f640202adf757d3,4231f7323e608ae4e4c9461d3d0c1f638ae69546,"['lib/compress.js', 'lib/parse.js']",['test/compress/sequences.js'],2,3,2
ee5c03f7f150ed822aa5eccb126bddcae70a3dd5,0cb75089f059f8cdf97fc4a0bbb7a8d9dd0c0fa9,4377e932ca2112178b6f2733084ddd668fbf0e51,['lib/output.js'],['README.md'],1,5,3
c814060b4a9cc9fe166dbe809a38fb02c69e84fc,303293e4aada63d7f1854df2c5b3da9036f0e1b3,3e62faa64fd563dddca0b6fb86edb34fa006db6a,['lib/compress.js'],[],1,2,2
