evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
152d55b1837e288d44ea3caac31c594be8041e07,72ac819efef252fb6dd49e31b950d88927206679,cbec3723e1452f1b49a9795f94e3a922acfdc10e,6ccab387560c68507c1527b6bea413dcf79b2e6e,left,"-3296,1","+3296,1",a/lib/compress.js,b/lib/compress.js
e604d32ac4915114903d4c011d01ea0d334d8f0c,72ac819efef252fb6dd49e31b950d88927206679,cbec3723e1452f1b49a9795f94e3a922acfdc10e,6ccab387560c68507c1527b6bea413dcf79b2e6e,left,"-3287,1","+3287,1",a/lib/compress.js,b/lib/compress.js
5291b622ab4833713641cbd856c3d1dd9d11b78c,72ac819efef252fb6dd49e31b950d88927206679,cbec3723e1452f1b49a9795f94e3a922acfdc10e,6ccab387560c68507c1527b6bea413dcf79b2e6e,left,"-3287,1","+3287,1",a/lib/compress.js,b/lib/compress.js
6ccab387560c68507c1527b6bea413dcf79b2e6e,72ac819efef252fb6dd49e31b950d88927206679,cbec3723e1452f1b49a9795f94e3a922acfdc10e,6ccab387560c68507c1527b6bea413dcf79b2e6e,right,"-3296,1","+3299,11",a/lib/compress.js,b/lib/compress.js
152d55b1837e288d44ea3caac31c594be8041e07,72ac819efef252fb6dd49e31b950d88927206679,cbec3723e1452f1b49a9795f94e3a922acfdc10e,6ccab387560c68507c1527b6bea413dcf79b2e6e,left,"-6216,1","+6216,1",a/lib/compress.js,b/lib/compress.js
e604d32ac4915114903d4c011d01ea0d334d8f0c,72ac819efef252fb6dd49e31b950d88927206679,cbec3723e1452f1b49a9795f94e3a922acfdc10e,6ccab387560c68507c1527b6bea413dcf79b2e6e,left,"-6199,1","+6199,1",a/lib/compress.js,b/lib/compress.js
5291b622ab4833713641cbd856c3d1dd9d11b78c,72ac819efef252fb6dd49e31b950d88927206679,cbec3723e1452f1b49a9795f94e3a922acfdc10e,6ccab387560c68507c1527b6bea413dcf79b2e6e,left,"-6199,1","+6199,1",a/lib/compress.js,b/lib/compress.js
24aa5a5e65e7cd9b44f3c3814a5e3dc6eb73b6f6,72ac819efef252fb6dd49e31b950d88927206679,cbec3723e1452f1b49a9795f94e3a922acfdc10e,6ccab387560c68507c1527b6bea413dcf79b2e6e,right,"-6216,1","+6216,11",a/lib/compress.js,b/lib/compress.js
9f7d1f7ac62e80e3f7f83600d28aeeaef60d0d86,630b09050fe528bfb05d1efd6aa2d7ee47894b01,149a569ac8e17b3e614a59b6ed70f2d4bffd429b,0cfbd79aa123a97c94c1bf5032acf11c15886dad,left,"-485,1","+485,5",a/lib/compress.js,b/lib/compress.js
6fa3fbeae84200c90ff47dde03545742a861be17,630b09050fe528bfb05d1efd6aa2d7ee47894b01,149a569ac8e17b3e614a59b6ed70f2d4bffd429b,0cfbd79aa123a97c94c1bf5032acf11c15886dad,right,"-488,1","+489,1",a/lib/compress.js,b/lib/compress.js
