evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
525a61fb559227d9ea76663f2d9b4573b4cf7475,630b09050fe528bfb05d1efd6aa2d7ee47894b01,149a569ac8e17b3e614a59b6ed70f2d4bffd429b,0cfbd79aa123a97c94c1bf5032acf11c15886dad,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[1362, 1366]","[1358, 1364]",1362,1358,True,True,RENAME
7d3cddf9d624d169c6667a52e8d6f313d1b30159,7a8eff62cac737703890c21b6cd438c608635eb6,f76b5e0f43d7d23bec6479c69008b4e5d724a7d2,9336cc824739f6e594e7c020a49b2d17b1faaec2,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[4033, 4035]","[4034, 4036]",4102,4162,True,False,EXTRACT
7d3cddf9d624d169c6667a52e8d6f313d1b30159,7a8eff62cac737703890c21b6cd438c608635eb6,f76b5e0f43d7d23bec6479c69008b4e5d724a7d2,9336cc824739f6e594e7c020a49b2d17b1faaec2,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[4086, 4087]","[4106, 4110]",4102,4162,True,False,EXTRACT
7d3cddf9d624d169c6667a52e8d6f313d1b30159,7a8eff62cac737703890c21b6cd438c608635eb6,f76b5e0f43d7d23bec6479c69008b4e5d724a7d2,9336cc824739f6e594e7c020a49b2d17b1faaec2,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[4108, 4111]","[4184, 4185]",4102,4162,True,False,EXTRACT
32f76f7ff89592e2dcb8cfa66d3ee1f95ae78d12,7a8eff62cac737703890c21b6cd438c608635eb6,f76b5e0f43d7d23bec6479c69008b4e5d724a7d2,9336cc824739f6e594e7c020a49b2d17b1faaec2,lib/parse.js,lib/parse.js,lib/parse.js,lib/parse.js,"[989, 988]","[1006, 1006]",959,979,True,False,EXTRACT
32f76f7ff89592e2dcb8cfa66d3ee1f95ae78d12,7a8eff62cac737703890c21b6cd438c608635eb6,f76b5e0f43d7d23bec6479c69008b4e5d724a7d2,9336cc824739f6e594e7c020a49b2d17b1faaec2,lib/parse.js,lib/parse.js,lib/parse.js,lib/parse.js,"[989, 988]","[1006, 1006]",959,999,True,False,EXTRACT
63c432f4fa0137b8dbdacdf51fbaa89d30aed646,dbf8684287e90c530a6179632e6403a4758c9fac,8d156b51fe72906800189ec70a4b8ba23e6db937,f1556cb9451e9532896f9e553087c9ce83801170,lib/parse.js,lib/parse.js,lib/parse.js,lib/parse.js,"[142, 144]","[142, 148]",158,189,True,False,INLINE
c988e5f4d6eb06b954aca8cf7a5e34bf01ec644c,dbf8684287e90c530a6179632e6403a4758c9fac,8d156b51fe72906800189ec70a4b8ba23e6db937,f1556cb9451e9532896f9e553087c9ce83801170,lib/parse.js,lib/parse.js,lib/ast.js,lib/parse.js,"[1942, 1950]","[1982, 1992]",423,1974,True,False,INLINE
c988e5f4d6eb06b954aca8cf7a5e34bf01ec644c,dbf8684287e90c530a6179632e6403a4758c9fac,8d156b51fe72906800189ec70a4b8ba23e6db937,f1556cb9451e9532896f9e553087c9ce83801170,lib/parse.js,lib/parse.js,lib/ast.js,lib/parse.js,"[1942, 1950]","[1982, 1992]",363,1917,True,False,MOVE_RENAME
32f76f7ff89592e2dcb8cfa66d3ee1f95ae78d12,227b58812dff7b978467cd5b7cad25dea9cddf6f,f25bd13be68152640af809bafe0a2ba3aa77eb0a,667fc4d08b7c720ca66be8e63ebcfd234de54329,lib/ast.js,lib/ast.js,lib/ast.js,lib/ast.js,"[388, 388]","[448, 452]",446,839,True,False,EXTRACT
32f76f7ff89592e2dcb8cfa66d3ee1f95ae78d12,227b58812dff7b978467cd5b7cad25dea9cddf6f,f25bd13be68152640af809bafe0a2ba3aa77eb0a,667fc4d08b7c720ca66be8e63ebcfd234de54329,lib/ast.js,lib/ast.js,lib/ast.js,lib/ast.js,"[388, 388]","[448, 452]",499,839,True,False,EXTRACT
32f76f7ff89592e2dcb8cfa66d3ee1f95ae78d12,227b58812dff7b978467cd5b7cad25dea9cddf6f,f25bd13be68152640af809bafe0a2ba3aa77eb0a,667fc4d08b7c720ca66be8e63ebcfd234de54329,lib/ast.js,lib/ast.js,lib/ast.js,lib/ast.js,"[388, 388]","[448, 452]",403,839,True,False,EXTRACT
32f76f7ff89592e2dcb8cfa66d3ee1f95ae78d12,227b58812dff7b978467cd5b7cad25dea9cddf6f,f25bd13be68152640af809bafe0a2ba3aa77eb0a,667fc4d08b7c720ca66be8e63ebcfd234de54329,lib/ast.js,lib/ast.js,lib/ast.js,lib/ast.js,"[388, 388]","[448, 452]",555,839,True,False,EXTRACT
6c4510187066555c77003f03fd26e2cf5ff47491,e11cec1ab8157080f28906a9d7a7d9b2957a42ab,0c435190979576ac3ffcb885da3fbc416538800d,38bfb73f0643d73d429d7a79667f6b8fa3fd6fc5,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[2306, 2310]","[2318, 2340]",1062,1021,True,False,EXTRACT
6c4510187066555c77003f03fd26e2cf5ff47491,e11cec1ab8157080f28906a9d7a7d9b2957a42ab,0c435190979576ac3ffcb885da3fbc416538800d,38bfb73f0643d73d429d7a79667f6b8fa3fd6fc5,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[2306, 2310]","[2318, 2340]",1012,1021,True,False,EXTRACT
6c4510187066555c77003f03fd26e2cf5ff47491,e11cec1ab8157080f28906a9d7a7d9b2957a42ab,0c435190979576ac3ffcb885da3fbc416538800d,38bfb73f0643d73d429d7a79667f6b8fa3fd6fc5,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[2315, 2329]","[2345, 2349]",1062,1021,True,False,EXTRACT
6c4510187066555c77003f03fd26e2cf5ff47491,e11cec1ab8157080f28906a9d7a7d9b2957a42ab,0c435190979576ac3ffcb885da3fbc416538800d,38bfb73f0643d73d429d7a79667f6b8fa3fd6fc5,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[2315, 2329]","[2345, 2349]",1012,1021,True,False,EXTRACT
6c4510187066555c77003f03fd26e2cf5ff47491,e11cec1ab8157080f28906a9d7a7d9b2957a42ab,0c435190979576ac3ffcb885da3fbc416538800d,38bfb73f0643d73d429d7a79667f6b8fa3fd6fc5,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[2361, 2360]","[2367, 2374]",1062,1021,True,False,EXTRACT
6c4510187066555c77003f03fd26e2cf5ff47491,e11cec1ab8157080f28906a9d7a7d9b2957a42ab,0c435190979576ac3ffcb885da3fbc416538800d,38bfb73f0643d73d429d7a79667f6b8fa3fd6fc5,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[2361, 2360]","[2367, 2374]",1012,1021,True,False,EXTRACT
32f76f7ff89592e2dcb8cfa66d3ee1f95ae78d12,4fac8076b82f9d9f1b3bce0c333019b572944646,a020d2ead342f95e6c577af8efa9b3b82c399312,6920e898d1a89a035b54e62b83c4ad0411a0ff2e,lib/parse.js,lib/parse.js,lib/parse.js,lib/parse.js,"[964, 988]","[967, 978]",959,979,True,True,EXTRACT
32f76f7ff89592e2dcb8cfa66d3ee1f95ae78d12,4fac8076b82f9d9f1b3bce0c333019b572944646,a020d2ead342f95e6c577af8efa9b3b82c399312,6920e898d1a89a035b54e62b83c4ad0411a0ff2e,lib/parse.js,lib/parse.js,lib/parse.js,lib/parse.js,"[964, 988]","[967, 978]",959,999,True,False,EXTRACT
d58b184835d9c2316bfb4411d0907ebb4446aaf0,11afa816e3f7a59bc399bda8c5ad498aa6f1d836,49f3de83970cfc78ccbede4c1918bdf0a2f34223,8b4dcd8f3e673209cd56ee44cc0292b4bcf60559,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[127, 133]","[127, 133]",142,142,True,False,RENAME
d58b184835d9c2316bfb4411d0907ebb4446aaf0,11afa816e3f7a59bc399bda8c5ad498aa6f1d836,49f3de83970cfc78ccbede4c1918bdf0a2f34223,8b4dcd8f3e673209cd56ee44cc0292b4bcf60559,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[142, 143]","[142, 143]",142,142,True,True,RENAME
d58b184835d9c2316bfb4411d0907ebb4446aaf0,11afa816e3f7a59bc399bda8c5ad498aa6f1d836,49f3de83970cfc78ccbede4c1918bdf0a2f34223,8b4dcd8f3e673209cd56ee44cc0292b4bcf60559,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[520, 520]","[520, 520]",142,142,True,False,RENAME
5d9f1da3abc58bce95dd240bd586bedb4eb04771,b4c18f6b83501e56f8518db2e454be95e941b803,73d6438773a40aa5aa06354781334af79a67e42d,2d99d06601013ab996d574d122b31df400055302,lib/compress.js,lib/compress.js,lib/compress.js,lib/compress.js,"[279, 288]","[279, 288]",429,440,True,False,RENAME
