evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
e80bedb33018cca300cf82a636e2b43ec5c2632d,559141526fece30b09afa5d29411a79d9224a0ad,e80bedb33018cca300cf82a636e2b43ec5c2632d,89a642f93aedbb4a047bd43d8183e4ff1645e481,left,"-1,2","+1,2",a/tether.min.js,b/tether.min.js
89a642f93aedbb4a047bd43d8183e4ff1645e481,559141526fece30b09afa5d29411a79d9224a0ad,e80bedb33018cca300cf82a636e2b43ec5c2632d,89a642f93aedbb4a047bd43d8183e4ff1645e481,right,"-1,2","+1,2",a/tether.min.js,b/tether.min.js
f036502cc5f6873a296f911757c1908f86a1f4c5,bc5492db7f743295e7dde45ec51ae0ed08d00d6e,f036502cc5f6873a296f911757c1908f86a1f4c5,2212cb09f951a6398b3027774f295809fec52669,left,"-1,2","+2,1",a/tether.min.js,b/tether.min.js
2212cb09f951a6398b3027774f295809fec52669,bc5492db7f743295e7dde45ec51ae0ed08d00d6e,f036502cc5f6873a296f911757c1908f86a1f4c5,2212cb09f951a6398b3027774f295809fec52669,right,"-1,2","+2,1",a/tether.min.js,b/tether.min.js
d5c64a48e3a9b764f6069241ff01c10a02aca538,a8648ad2d1421274a4aa2ab2c68904d394b7ac9a,d5c64a48e3a9b764f6069241ff01c10a02aca538,4a13500d090485ba3a7fe6db9c48832d559fbd92,left,"-1,2","+1,2",a/tether.min.js,b/tether.min.js
ea46f434a64b8999549df8270a48c4ef211aa516,a8648ad2d1421274a4aa2ab2c68904d394b7ac9a,d5c64a48e3a9b764f6069241ff01c10a02aca538,4a13500d090485ba3a7fe6db9c48832d559fbd92,right,"-1,2","+1,2",a/tether.min.js,b/tether.min.js
54dc2802a304f27d56df15aab202def20112c76e,e189e63c32e90c11d25e02bba4eb73738e042938,54dc2802a304f27d56df15aab202def20112c76e,9ac10010f6a37bf675c7d54103c2a6514919d41e,left,"-1,2","+1,2",a/tether.min.js,b/tether.min.js
786207dcf9381e2c04dbe2cbef46cb907e7b219a,e189e63c32e90c11d25e02bba4eb73738e042938,54dc2802a304f27d56df15aab202def20112c76e,9ac10010f6a37bf675c7d54103c2a6514919d41e,right,"-1,2","+1,2",a/tether.min.js,b/tether.min.js
0a47c63bedb35aecdefb66a69e102867bd1127cc,688e21cd4095eea61aa2595ba6dcc4db16658809,0a47c63bedb35aecdefb66a69e102867bd1127cc,95cfedc9e2243354fe617e65cc6bbd5cb2430a13,left,"-1,3","+1,3",a/tether.min.js,b/tether.min.js
95cfedc9e2243354fe617e65cc6bbd5cb2430a13,688e21cd4095eea61aa2595ba6dcc4db16658809,0a47c63bedb35aecdefb66a69e102867bd1127cc,95cfedc9e2243354fe617e65cc6bbd5cb2430a13,right,"-1,3","+1,2",a/tether.min.js,b/tether.min.js
ce741e9bc782dcd2e77957eca5620af80e472f35,5bbd490b80deeff586e1b74dcb836b6c1c671b3d,ce741e9bc782dcd2e77957eca5620af80e472f35,ab08a849716d2a569d2639cf71903258795a2097,left,"-2,56","+2,139",a/docs/welcome/js/welcome.js,b/docs/welcome/js/welcome.js
18d86aa52885947ca5dd97437208cf6ab0fff21e,5bbd490b80deeff586e1b74dcb836b6c1c671b3d,ce741e9bc782dcd2e77957eca5620af80e472f35,ab08a849716d2a569d2639cf71903258795a2097,left,"-2,57","+2,56",a/docs/welcome/js/welcome.js,b/docs/welcome/js/welcome.js
a62957fda966ab605c5cd263e0ffef4844b751cf,5bbd490b80deeff586e1b74dcb836b6c1c671b3d,ce741e9bc782dcd2e77957eca5620af80e472f35,ab08a849716d2a569d2639cf71903258795a2097,left,"-2,1","+2,57",a/docs/welcome/js/welcome.js,b/docs/welcome/js/welcome.js
2692afc1cf8654e8a71a0c7d400da7eb9a53f7b6,5bbd490b80deeff586e1b74dcb836b6c1c671b3d,ce741e9bc782dcd2e77957eca5620af80e472f35,ab08a849716d2a569d2639cf71903258795a2097,left,"-0,0","+2,1",a/docs/welcome/js/welcome.js,b/docs/welcome/js/welcome.js
998e9ccb0b811a366e90cde54876fbf76fec3b83,5bbd490b80deeff586e1b74dcb836b6c1c671b3d,ce741e9bc782dcd2e77957eca5620af80e472f35,ab08a849716d2a569d2639cf71903258795a2097,right,"-0,0","+2,1",a/docs/welcome/js/welcome.js,b/docs/welcome/js/welcome.js
