merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,['src/extras/geometries/IcosahedronGeometry.js'],[],1,1,1
a5ee42475055692660a2b3eaaad9a775986a2a7b,5e9985d61431688dbd93b1874e7defc5fa080816,e57b7770785c6d013770687bb3ab187854b32076,['src/extras/geometries/IcosahedronGeometry.js'],[],1,1,1
655363c21e30620741258fbf63abc2292df95e77,b2ea47ac7a575032af050b43afb8f57478efc8b6,b53dacf132af25f4e21646c78c1548b452118d8f,['src/renderers/webgl/WebGLTextures.js'],[],1,1,1
c56f3dfe4fe05e737b8373b233443edd9bf41299,9b443e32709666335c9c258cd8941b8cc4bf55f6,9522135fdab2a64c8df61d16c2d5282266ea6c8f,[],['examples/files.json'],0,1,0
08f03cead8b411466f427c13ea439904891675d5,da06eb3ad08d2c07274df00044879a311d5522af,39efa38ce98cd4854d4eeda4a7b55fc3f7e75944,"['examples/js/loaders/GLTFLoader.js', 'examples/jsm/loaders/GLTFLoader.js']",[],2,2,2
67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,"['src/cameras/CubeCamera.js', 'src/cameras/OrthographicCamera.js']",[],2,4,4
e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,['src/renderers/WebGLRenderTarget.js'],[],1,3,3
7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,"['examples/js/exporters/GLTFExporter.js', 'examples/jsm/exporters/GLTFExporter.js', 'utils/modularize.js']",[],3,9,9
88c78b64ad36392ce685177d68ab21ba604f4173,da12e00d36e5d54fb3e4dd15b4fe867e4d72309a,5ad3317bf251bf0520d73704f2af66fafb770a77,"['src/textures/DataTexture2DArray.js', 'src/textures/DataTexture3D.js', 'src/textures/DepthTexture.js', 'src/textures/Texture.js']",[],4,10,10
a58f37331db5cf553cdb9ded95512aa3a8933a45,72eaa45fffd0b4d0c424cc35adf716b9e8f9b342,5ad3317bf251bf0520d73704f2af66fafb770a77,"['src/extras/curves/CatmullRomCurve3.js', 'src/extras/curves/CubicBezierCurve.js', 'src/extras/curves/CubicBezierCurve3.js', 'src/extras/curves/LineCurve.js', 'src/extras/curves/LineCurve3.js', 'src/extras/curves/QuadraticBezierCurve.js', 'src/extras/curves/QuadraticBezierCurve3.js', 'src/extras/curves/SplineCurve.js']",[],8,22,22
0342a264ebb351e1dd0905b503c3f03aafba0f98,de4ed0c24e786f524c7633ccab067b9d2f31b196,314258133661d1fa28241f947e70828909c37120,[],"['examples/webgpu_rtt.html', 'examples/webgpu_sandbox.html']",0,3,0
f8338e5470ea6be50a53add1bd39697c8e850ba5,6ff1d1bd7183e9f4ec75075dccb6410a605de3d6,46fd86fb55603fdf33f3ecc68862ef73123ce77f,['examples/jsm/webxr/ARButton.js'],[],1,1,1
1ccc726477bad419d1f6ecbe3f3e7b5708bbe7b1,3b7656a4215dce85c133d7122d51738d5574e545,af5414c0b6344d3c9529e2ad1758d6bfa37bafd5,['examples/jsm/utils/BufferGeometryUtils.js'],[],1,1,1
dc7e084d10e7e7b9a4fd40499e92a1042560a83c,1659408cb3b92f1c86958365e1357c3f1cce6d7c,2591284fb9fd90f3ab7caa4cf1468d5f19f5aa26,['examples/jsm/modifiers/TessellateModifier.js'],[],1,1,1
