evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
b2ea47ac7a575032af050b43afb8f57478efc8b6,655363c21e30620741258fbf63abc2292df95e77,b2ea47ac7a575032af050b43afb8f57478efc8b6,b53dacf132af25f4e21646c78c1548b452118d8f,left,"-941,1","+969,2",a/src/renderers/webgl/WebGLTextures.js,b/src/renderers/webgl/WebGLTextures.js
cba9457c1c8b2a68a2bb593a3a329545a10f91e4,655363c21e30620741258fbf63abc2292df95e77,b2ea47ac7a575032af050b43afb8f57478efc8b6,b53dacf132af25f4e21646c78c1548b452118d8f,right,"-941,1","+941,1",a/src/renderers/webgl/WebGLTextures.js,b/src/renderers/webgl/WebGLTextures.js
da06eb3ad08d2c07274df00044879a311d5522af,08f03cead8b411466f427c13ea439904891675d5,da06eb3ad08d2c07274df00044879a311d5522af,39efa38ce98cd4854d4eeda4a7b55fc3f7e75944,left,"-2416,9","+2413,2",a/examples/js/loaders/GLTFLoader.js,b/examples/js/loaders/GLTFLoader.js
c1946d75cb8c5512a542d186ed6c2650c07751a7,08f03cead8b411466f427c13ea439904891675d5,da06eb3ad08d2c07274df00044879a311d5522af,39efa38ce98cd4854d4eeda4a7b55fc3f7e75944,right,"-2404,9","+2374,7",a/examples/js/loaders/GLTFLoader.js,b/examples/js/loaders/GLTFLoader.js
da06eb3ad08d2c07274df00044879a311d5522af,08f03cead8b411466f427c13ea439904891675d5,da06eb3ad08d2c07274df00044879a311d5522af,39efa38ce98cd4854d4eeda4a7b55fc3f7e75944,left,"-2481,9","+2478,2",a/examples/jsm/loaders/GLTFLoader.js,b/examples/jsm/loaders/GLTFLoader.js
c1946d75cb8c5512a542d186ed6c2650c07751a7,08f03cead8b411466f427c13ea439904891675d5,da06eb3ad08d2c07274df00044879a311d5522af,39efa38ce98cd4854d4eeda4a7b55fc3f7e75944,right,"-2469,9","+2439,7",a/examples/jsm/loaders/GLTFLoader.js,b/examples/jsm/loaders/GLTFLoader.js
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,left,"-97,1","+115,1",a/src/cameras/CubeCamera.js,b/src/cameras/CubeCamera.js
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,left,"-109,5","+129,5",a/src/cameras/CubeCamera.js,b/src/cameras/CubeCamera.js
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,left,"-4,1","+4,1",a/src/cameras/OrthographicCamera.js,b/src/cameras/OrthographicCamera.js
93e1c2eb82a8ae15545afcdfdff2ff7dada2bd7c,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,right,"-4,1","+4,1",a/src/cameras/OrthographicCamera.js,b/src/cameras/OrthographicCamera.js
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,left,"-10,7","+10,4",a/src/cameras/OrthographicCamera.js,b/src/cameras/OrthographicCamera.js
93e1c2eb82a8ae15545afcdfdff2ff7dada2bd7c,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,right,"-13,7","+13,7",a/src/cameras/OrthographicCamera.js,b/src/cameras/OrthographicCamera.js
d77892b30186846281689df9ab2a87ba01ca5277,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,left,"-13,1","+13,1",a/src/renderers/WebGLRenderTarget.js,b/src/renderers/WebGLRenderTarget.js
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,left,"-13,2","+13,1",a/src/renderers/WebGLRenderTarget.js,b/src/renderers/WebGLRenderTarget.js
53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,right,"-13,2","+13,3",a/src/renderers/WebGLRenderTarget.js,b/src/renderers/WebGLRenderTarget.js
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,left,"-25,3","+25,1",a/src/renderers/WebGLRenderTarget.js,b/src/renderers/WebGLRenderTarget.js
53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,right,"-25,3","+26,4",a/src/renderers/WebGLRenderTarget.js,b/src/renderers/WebGLRenderTarget.js
d77892b30186846281689df9ab2a87ba01ca5277,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,left,"-44,1","+44,1",a/src/renderers/WebGLRenderTarget.js,b/src/renderers/WebGLRenderTarget.js
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,left,"-44,1","+44,1",a/src/renderers/WebGLRenderTarget.js,b/src/renderers/WebGLRenderTarget.js
53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,right,"-44,1","+46,1",a/src/renderers/WebGLRenderTarget.js,b/src/renderers/WebGLRenderTarget.js
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,left,"-96,2","+17,19",a/examples/js/exporters/GLTFExporter.js,b/examples/js/exporters/GLTFExporter.js
73ba3fedd89aac5420e46e839695f913d67f0c4e,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,right,"-96,2","+96,2",a/examples/js/exporters/GLTFExporter.js,b/examples/js/exporters/GLTFExporter.js
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,left,"-1699,9","+1746,2",a/examples/js/exporters/GLTFExporter.js,b/examples/js/exporters/GLTFExporter.js
