evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,"[4, 4]","[4, 4]",77,73,True,False,INTERNAL_MOVE
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,"[4, 4]","[4, 4]",31,27,True,False,INTERNAL_MOVE
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,"[4, 4]","[4, 4]",89,85,True,False,INTERNAL_MOVE
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,"[4, 4]","[4, 4]",49,45,True,False,INTERNAL_MOVE
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,"[4, 4]","[4, 4]",119,115,True,False,INTERNAL_MOVE
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,"[10, 16]","[10, 13]",77,73,True,False,INTERNAL_MOVE
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,"[10, 16]","[10, 13]",31,27,True,False,INTERNAL_MOVE
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,"[10, 16]","[10, 13]",89,85,True,False,INTERNAL_MOVE
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,"[10, 16]","[10, 13]",49,45,True,False,INTERNAL_MOVE
75beab235898df9df39f9819212cf77822645ece,67263f13ee7b6478b2241725ad72dff13761c5a1,d6228db45487d3ecf8e247bba704809b0749792e,8000053e53fa3167d0d7d836808c54fd0f5f6975,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,src/cameras/OrthographicCamera.js,"[10, 16]","[10, 13]",119,115,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[13, 14]","[13, 13]",86,86,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[13, 14]","[13, 13]",63,63,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[13, 14]","[13, 13]",69,69,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[13, 14]","[13, 13]",44,44,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[25, 27]","[25, 25]",86,86,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[25, 27]","[25, 25]",63,63,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[25, 27]","[25, 25]",69,69,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[25, 27]","[25, 25]",44,44,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[44, 44]","[44, 44]",86,86,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[44, 44]","[44, 44]",63,63,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[44, 44]","[44, 44]",69,69,True,False,INTERNAL_MOVE
00748410ac11496e8126291d00b363fb04cfaf07,e1e5ce7d119619e4b7c71b3e7d66ef3931d0e9ae,728de0b9b158b1d29d8a1ca2a265baae6453081a,53fe881ab6cd48aa7f3ae71d5e6138044185f6dc,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,src/renderers/WebGLRenderTarget.js,"[44, 44]","[44, 44]",44,44,True,True,INTERNAL_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",1783,1771,True,False,INTERNAL_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",250,536,True,False,INTERNAL_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",161,196,True,False,INTERNAL_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",462,644,True,False,INTERNAL_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",323,258,True,False,INTERNAL_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",145,152,True,False,INTERNAL_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",2064,405,True,False,INTERNAL_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",754,916,True,False,INTERNAL_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/jsm/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",973,2117,True,False,EXTRACT_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",131,522,True,False,INTERNAL_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",641,816,True,False,INTERNAL_MOVE
56da80e5677a443381c8fc78ccb9c0aa2bda2c32,7a8783cc7e10ad4ca65530d7003c5c46ee7581b7,56da80e5677a443381c8fc78ccb9c0aa2bda2c32,f5895e00afe56ced11bf5b8417b6048cd3061918,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,examples/js/exporters/GLTFExporter.js,"[96, 97]","[17, 35]",950,2152,True,False,EXTRACT_MOVE
