evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
87b5ecdf5b33335865d34f1d88f71b04473b647a,9fded0c3b06c65308c2a65fba5c89f311b7bddf8,163f032bddbc657f1d2575ff030001b0a5062cd3,c627e3847981e0f573f43d6ef6c9c10ab5891d50,left,"-5,1","+5,1",a/underscore-esm-min.js,b/underscore-esm-min.js
9f88a5eac60c0b6f728af5ca719b53c03acc91cb,9fded0c3b06c65308c2a65fba5c89f311b7bddf8,163f032bddbc657f1d2575ff030001b0a5062cd3,c627e3847981e0f573f43d6ef6c9c10ab5891d50,left,"-5,1","+5,1",a/underscore-esm-min.js,b/underscore-esm-min.js
892c341c29d38098fd7e59f0e346128f3ff1eeb1,9fded0c3b06c65308c2a65fba5c89f311b7bddf8,163f032bddbc657f1d2575ff030001b0a5062cd3,c627e3847981e0f573f43d6ef6c9c10ab5891d50,left,"-5,1","+5,1",a/underscore-esm-min.js,b/underscore-esm-min.js
0c20985ad1e7df18f7346c7da7fc702578bb3934,9fded0c3b06c65308c2a65fba5c89f311b7bddf8,163f032bddbc657f1d2575ff030001b0a5062cd3,c627e3847981e0f573f43d6ef6c9c10ab5891d50,right,"-5,1","+5,1",a/underscore-esm-min.js,b/underscore-esm-min.js
5e3da47a7164b6d1f9e52240ec900d4a170ddc3b,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,left,"-2,1","+2,1",a/modules/_setup.js,b/modules/_setup.js
6639c23b027b543306e8f44041a1396b84e3137b,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,left,"-2,1","+2,1",a/modules/_setup.js,b/modules/_setup.js
44df929aa337213e9dd041ec53bee5584e90be9d,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,right,"-2,1","+2,1",a/modules/_setup.js,b/modules/_setup.js
5e3da47a7164b6d1f9e52240ec900d4a170ddc3b,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,left,"-4,1","+4,1",a/modules/index.js,b/modules/index.js
6639c23b027b543306e8f44041a1396b84e3137b,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,left,"-4,1","+4,1",a/modules/index.js,b/modules/index.js
44df929aa337213e9dd041ec53bee5584e90be9d,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,right,"-4,1","+4,1",a/modules/index.js,b/modules/index.js
9f88a5eac60c0b6f728af5ca719b53c03acc91cb,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,left,"-1,5","+1,5",a/underscore-esm-min.js,b/underscore-esm-min.js
892c341c29d38098fd7e59f0e346128f3ff1eeb1,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,left,"-1,5","+1,5",a/underscore-esm-min.js,b/underscore-esm-min.js
7e3d4042a0b9bb76e70da62204c283d1530f7a44,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,right,"-1,5","+1,5",a/underscore-esm-min.js,b/underscore-esm-min.js
5e3da47a7164b6d1f9e52240ec900d4a170ddc3b,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,left,"-1,1","+1,1",a/underscore-esm.js,b/underscore-esm.js
6639c23b027b543306e8f44041a1396b84e3137b,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,left,"-1,1","+1,1",a/underscore-esm.js,b/underscore-esm.js
44df929aa337213e9dd041ec53bee5584e90be9d,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,right,"-1,1","+1,1",a/underscore-esm.js,b/underscore-esm.js
5e3da47a7164b6d1f9e52240ec900d4a170ddc3b,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,left,"-7,1","+7,1",a/underscore-esm.js,b/underscore-esm.js
