evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
7e3d4042a0b9bb76e70da62204c283d1530f7a44,52300cc680b7018e7397b600003db0d66d3e657a,9f88a5eac60c0b6f728af5ca719b53c03acc91cb,bf5a0ed27599f99ea59a0839c5bc2fb27a46c1cf,underscore-esm-min.js,underscore-esm-min.js,underscore-esm-min.js,underscore-esm-min.js,"[1, 5]","[1, 5]",5,5,True,True,RENAME
bff2d2adc9972c09b1d81b10580b1749b305aae5,b2221eb192f0bd7c1b4a79c354506ecc3e689820,71536037a6b4f7e7a4b142f130f341278cc752ee,6ee1d2e30deb786edf7a6d1b7028b1fa6fc215a6,underscore.js,underscore.js,underscore.js,underscore.js,"[244, 276]","[449, 488]",530,775,True,False,INLINE
bff2d2adc9972c09b1d81b10580b1749b305aae5,5e541a03b8d554658a22fbced54b77b322bd735e,3aa35b5e0f30e29660731588c584e6b53e6b4a38,4334c126b3e71e4aeb8912d05d72139d24f7d0f1,modules/index.js,modules/index.js,modules/index.js,modules/property.js,"[8, 164]","[8, 10]",1419,7,True,False,MOVE
bff2d2adc9972c09b1d81b10580b1749b305aae5,5e541a03b8d554658a22fbced54b77b322bd735e,3aa35b5e0f30e29660731588c584e6b53e6b4a38,4334c126b3e71e4aeb8912d05d72139d24f7d0f1,modules/index.js,modules/index.js,modules/index.js,modules/compact.js,"[8, 164]","[8, 10]",525,4,True,False,MOVE
bff2d2adc9972c09b1d81b10580b1749b305aae5,5e541a03b8d554658a22fbced54b77b322bd735e,3aa35b5e0f30e29660731588c584e6b53e6b4a38,4334c126b3e71e4aeb8912d05d72139d24f7d0f1,modules/index.js,modules/index.js,modules/index.js,modules/mixin.js,"[8, 164]","[8, 10]",1636,8,True,True,MOVE
bff2d2adc9972c09b1d81b10580b1749b305aae5,5e541a03b8d554658a22fbced54b77b322bd735e,3aa35b5e0f30e29660731588c584e6b53e6b4a38,4334c126b3e71e4aeb8912d05d72139d24f7d0f1,modules/index.js,modules/index.js,modules/index.js,modules/isElement.js,"[8, 164]","[8, 10]",1304,2,True,False,MOVE
bff2d2adc9972c09b1d81b10580b1749b305aae5,5e541a03b8d554658a22fbced54b77b322bd735e,3aa35b5e0f30e29660731588c584e6b53e6b4a38,4334c126b3e71e4aeb8912d05d72139d24f7d0f1,modules/index.js,modules/index.js,modules/index.js,modules/throttle.js,"[8, 164]","[8, 10]",839,8,True,True,MOVE
bff2d2adc9972c09b1d81b10580b1749b305aae5,5e541a03b8d554658a22fbced54b77b322bd735e,3aa35b5e0f30e29660731588c584e6b53e6b4a38,4334c126b3e71e4aeb8912d05d72139d24f7d0f1,modules/index.js,modules/index.js,modules/index.js,modules/filter.js,"[8, 164]","[8, 10]",246,5,True,False,MOVE
bff2d2adc9972c09b1d81b10580b1749b305aae5,5e541a03b8d554658a22fbced54b77b322bd735e,3aa35b5e0f30e29660731588c584e6b53e6b4a38,4334c126b3e71e4aeb8912d05d72139d24f7d0f1,modules/index.js,modules/index.js,modules/index.js,modules/_deepGet.js,"[8, 164]","[8, 10]",146,1,True,True,MOVE
bff2d2adc9972c09b1d81b10580b1749b305aae5,5e541a03b8d554658a22fbced54b77b322bd735e,3aa35b5e0f30e29660731588c584e6b53e6b4a38,4334c126b3e71e4aeb8912d05d72139d24f7d0f1,modules/index.js,modules/index.js,modules/index.js,modules/object.js,"[8, 164]","[8, 10]",645,6,True,False,MOVE
