merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js
merge,left,right,[],[],0,0,0
03e41f769b058ed4d8524f75226dda6362bcc877,9abea1a7ba43e911aea3e01bfd84ec547c03a609,598faea7bc83a8c6cd67e48188924ca1232b064b,[],[],0,0,0
426736199af54394595061c5423d92cf0a03470d,4944b5cfda31e179ea24d7a54c8c969f6ec44345,e818308b4ca4bcfbaab31bd68d427a6ea60da3e2,[],['packages/vega-scenegraph/test/schema-test.js'],0,2,0
c2bf52873c358c218dd85ab5723c48126b52c851,8ef8d704cabc251e6e0638a49adbb84da546ca2c,7327937ee79f6d9a68b18e82ade968e830a6fc26,[],['packages/vega-scenegraph/test/schema-test.js'],0,2,0
9242c31830fc0ea86145d9f2b7c1a4581a10f6f3,88431db48e80579df26d209529ef64e5ae490599,e88a92809f39bc180524b26f60b6467ec27a8648,[],['yarn.lock'],0,3,0
ae93aa1f55bce7212b3c3e50d79b7914cdbb6d36,80907569e29cd3f97be9077b8b9c676ec445177e,6c46b832d47abc9add97595341b32b310f75bbee,[],['packages/vega-functions/test/scale-gradient-test.js'],0,2,0
e691500987cef744e3903ccf39efd1c1eed3ae79,91f7ae6f3546bbefc91977370996ef53da2ffea8,1d4827cda765e3c2f9cbda747eaf933840f01232,[],['packages/vega-scenegraph/test/canvas-handler-test.js'],0,2,0
c7d01f185bb7be7bfddc43c36f0e4b8fbba0a776,ebbc0d34e619fba0896ae2986dd70616cfecaedb,e7650baaeb126cb6f9ce0ee42fc6f8e2b18dac21,[],"['docs/docs/axes.md', 'docs/docs/legends.md', 'packages/vega-schema/src/encode.js']",0,3,0
5002c93f8278564d33ffa9ca7296004e433d6078,8520f496d7f37f79730f2d4a85aa0df4aeff3691,2f35a3f589fa7ae81ef41c0a62b69e035d77bfbb,[],['docs/examples/contour-plot.vg.json'],0,2,0
15bcb4e73e4d4cd3928c2c0204476a9611da934a,17b11d65230c4c5439d8a25bac10340cd7004c47,a4ee17db092aaaf48af77bf524380500b99745b0,[],['yarn.lock'],0,1,0
