evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",1856,1875,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",3032,3052,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",2932,2952,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",2928,2948,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",1465,1484,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",2086,2105,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",3325,3345,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",1460,1479,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",1706,1725,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",1666,1685,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",1457,1476,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",890,851,True,False,INLINE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",2610,2630,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",1559,1578,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",704,723,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",1549,1568,True,False,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",3510,3588,True,True,INTERNAL_MOVE
cd70b7e65b4772c4979e75b8a5bafe9beaddaa43,b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,app/js/directives.js,app/js/directives.js,app/js/directives.js,app/js/directives.js,"[3419, 3562]","[3449, 3640]",1681,1700,True,False,INTERNAL_MOVE
