merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,0,0
merge,left,right,[],[],0,0,0,0,0
2fa69186e4c8d4337faea68bc907e0ac4b168ccb,a5c985293dad655b94e747c4f16734b416da7049,ba313a7eeb4b82355f5d080ddc3740e1c8e25f81,[],"['README.md', 'package-lock.json']",0,6,0,0,0
0e1631d4107b0571d2a196a8d2cc7a517371aa6f,237b3990b0cd54482a2d7e482746c99115647364,dbe2ce954fa576f66771ce199191780519da6357,[],['app/webogram.appcache'],0,1,0,0,0
b6fa42d8aec1c906cc20b1e873e2e816013e9ca2,52cbc5690609b72053965011c43c48730e322750,c24bfc640d4d4b88bc9858495da3eb603d55db1f,"['app/js/directives.js', 'app/js/init.js']","['app/js/locales/en-us.json', 'app/less/mobile.less', 'app/partials/mobile/im.html']",2,8,5,165,7
9537a280021d63b7fc890d3bc0d1ea6f9527300e,3c407f500d415263519d7a2d94d327325ee382ba,d338a83d87909c455170bbb5910791c5dfc8f3ef,['app/js/directives.js'],[],1,1,1,0,0
dbbbb25021a046fe1039543ece4214cb88130e30,7ce6aabfaad617526984680f683c71b3928fddbd,11802c29f2eadba33fa18817920f0214a1319a9f,['gulpfile.js'],[],1,1,1,0,0
c24bfc640d4d4b88bc9858495da3eb603d55db1f,e5d434ba3101d88fa7f48c09fb12c124d8688791,840705e6a874e61cb40f369817d3dc3d132f7d0f,['app/js/directives.js'],[],1,1,1,0,0
0008af8d19be878915efded2332ecd04836220ce,b07c817530ce917998477c2aa24ffc0fc3388dd0,92119a46fc1b92845666d60c9bb2fcdca4012ac5,[],['app/less/app.less'],0,1,0,0,0
c9a8529250e2cf6433476651507869b2498d9fc6,b9fced4f7e2abe08db332edfd899cc9ca7720faf,1acb5308814dd4b5ec6dfac674b79dccb77d0ba5,['app/js/services.js'],[],1,2,2,2,0
691dc69320e76d9729aa0957bd447ab8ffc07f0f,bd53a5e115dfe098d2e76c43ee2cc1d29454a3f3,26ae012ded69bd60516ec5568ded2db62e7154cf,['app/js/directives.js'],[],1,1,1,6,0
450dc2d537c80190ee4cfea423a154d6c9f6144b,81712ce31b5406dbf621ad88c8f5f42e23beeadd,d31f4f047662e194c03d0320eef2e3e6d7b69d6c,['app/js/lib/ng_utils.js'],[],1,1,1,4,4
2dbffb6154847cede875c2fe7488790e61237dc9,e8331354f003af07bf50433367cb45a366a8e919,467ff80de67da0bd7df618bc08e4a89c69df934c,['app/vendor/jquery.emojiarea/jquery.emojiarea.js'],"['app/css/desktop.css', 'app/partials/desktop/im.html']",1,3,1,0,0
804a1ac24f35e6bcdd7f855b9c2ba61ed248769f,cd9441e62b8fbe321256eefccabb89648db8b69e,3af88febb917ece76bd5bf011e56125a5a0f4ba6,[],"['app/js/locales/de-de.json', 'app/js/locales/es-es.json']",0,2,0,0,0
dd57630d75468acf9f02289aab41ca5b534a7bb0,e12dc66d2adafdb023318d9997f4871dc30fd3a4,8849072e930915e505f9723a3469185d78fb8ea0,[],"['app/partials/desktop/im.html', 'app/partials/desktop/login.html', 'app/partials/desktop/message.html', 'app/partials/mobile/contacts_modal.html', 'app/partials/mobile/head.html', 'app/partials/mobile/peer_select.html', 'app/partials/mobile/phonebook_modal.html', 'app/webogram.appcache']",0,14,0,0,0
48215505179cdd6c6206a3cff7b901154210a760,e6260ac10743239c1a359225d844e4b30751f49d,6d170ea741a4bb2f7f5c8ab0fd53047adfa0347d,[],['app/webogram.appcache'],0,1,0,0,0
6679bb3811988d32e2c386d01490a290f2d3a528,4b3f3744a728de7e91ffd1895342d4575e9e7623,018b6f9d36b349f31099973fbcb4044f07e32d2e,"['app/js/directives.js', 'app/js/services.js']",[],2,2,2,22,0
b5599e6df8308c8283454c079424d8b1cc6b9b3e,afc066e3bc03787b44e06c8d272ff6eeae8bc5ff,e9c15570875b144e99a3380c4f08ffd54380c995,['app/js/directives.js'],[],1,1,1,0,0
c416dedb9167646cd5187f4de0157951d63a13d1,d1b3ae41ec8dff839dc77da873fe6802680d41cc,af109eea13c25bd8c699568f961b1a9e24fe93c1,['app/js/controllers.js'],['app/css/app.css'],1,2,1,0,0
96d7f04981240a0fe0ace8ad7674bae38160634f,9297f3783fa4c9c90edc95ef4fb00cbf411f25f8,e362ff26da5cd83c973ec319f8a57e72b7c918c4,[],['app/css/app.css'],0,16,0,0,0
e0ae4b595e48fd674f6577cb0f760e68c1247a24,d946e85a478754296f5ad19c72e01ee629015b43,2f9ec045ee36d7312fbe88fd2219a874ffcbd9ee,[],['app/css/app.css'],0,1,0,0,0
