evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
a430d5564c7d68baa07865b058621ab7c54d2cbd,27a57807041a499213ece605d7dd1c0bd6ea7a8e,7bde43f47aa8356bce12a69ba5c41e28a4859985,e4c7d8c0ae0c93306f07920bc28fe72119bc098a,lib/Compilation.js,lib/Compilation.js,lib/Compilation.js,lib/buildChunkGraph.js,"[45, 58]","[42, 54]",1754,114,True,False,MOVE_RENAME
a430d5564c7d68baa07865b058621ab7c54d2cbd,27a57807041a499213ece605d7dd1c0bd6ea7a8e,7bde43f47aa8356bce12a69ba5c41e28a4859985,e4c7d8c0ae0c93306f07920bc28fe72119bc098a,lib/Compilation.js,lib/Compilation.js,lib/Compilation.js,lib/buildChunkGraph.js,"[45, 58]","[42, 54]",1780,45,True,True,MOVE
a430d5564c7d68baa07865b058621ab7c54d2cbd,27a57807041a499213ece605d7dd1c0bd6ea7a8e,7bde43f47aa8356bce12a69ba5c41e28a4859985,e4c7d8c0ae0c93306f07920bc28fe72119bc098a,lib/Compilation.js,lib/Compilation.js,lib/Compilation.js,lib/buildChunkGraph.js,"[45, 58]","[42, 54]",202,28,True,False,MOVE
a430d5564c7d68baa07865b058621ab7c54d2cbd,27a57807041a499213ece605d7dd1c0bd6ea7a8e,7bde43f47aa8356bce12a69ba5c41e28a4859985,e4c7d8c0ae0c93306f07920bc28fe72119bc098a,lib/Compilation.js,lib/Compilation.js,lib/Compilation.js,lib/buildChunkGraph.js,"[45, 58]","[42, 54]",1754,37,True,False,EXTRACT_MOVE
6d5310fbd609f60ce36dc3611dbe9a76f61a0848,7bde43f47aa8356bce12a69ba5c41e28a4859985,cc1ee4aad304d40c93c3cea5603c77197727b8a7,9c6b36787fe43581d6c568e64b71656274c04881,lib/Compilation.js,lib/Compilation.js,lib/Compilation.js,lib/Compilation.js,"[394, 399]","[393, 396]",1571,1544,True,False,RENAME
6d5310fbd609f60ce36dc3611dbe9a76f61a0848,7bde43f47aa8356bce12a69ba5c41e28a4859985,cc1ee4aad304d40c93c3cea5603c77197727b8a7,9c6b36787fe43581d6c568e64b71656274c04881,lib/Compilation.js,lib/Compilation.js,lib/Compilation.js,lib/Compilation.js,"[2241, 2243]","[2223, 2255]",1571,1544,True,False,RENAME
56c49bdc9d7cc6d8b17c482ffbb1f2af29a81b32,7bde43f47aa8356bce12a69ba5c41e28a4859985,cc1ee4aad304d40c93c3cea5603c77197727b8a7,9c6b36787fe43581d6c568e64b71656274c04881,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,"[8, 38]","[8, 47]",34,42,True,True,RENAME
56c49bdc9d7cc6d8b17c482ffbb1f2af29a81b32,7bde43f47aa8356bce12a69ba5c41e28a4859985,cc1ee4aad304d40c93c3cea5603c77197727b8a7,9c6b36787fe43581d6c568e64b71656274c04881,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,"[8, 38]","[8, 47]",46,58,True,True,RENAME
56c49bdc9d7cc6d8b17c482ffbb1f2af29a81b32,7bde43f47aa8356bce12a69ba5c41e28a4859985,cc1ee4aad304d40c93c3cea5603c77197727b8a7,9c6b36787fe43581d6c568e64b71656274c04881,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,"[105, 130]","[111, 217]",34,42,True,False,RENAME
56c49bdc9d7cc6d8b17c482ffbb1f2af29a81b32,7bde43f47aa8356bce12a69ba5c41e28a4859985,cc1ee4aad304d40c93c3cea5603c77197727b8a7,9c6b36787fe43581d6c568e64b71656274c04881,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,lib/TemplatedPathPlugin.js,"[105, 130]","[111, 217]",46,58,True,False,RENAME
0eb24f640723dd0e99895547a93e900689de750b,92e362544f86d24b2428663dee836da467de3146,52dbd44015cfa59e1247998245124a5f22206bff,94929a59a79bc79cab789804d5592c3ec0605cc4,lib/buildChunkGraph.js,lib/buildChunkGraph.js,lib/buildChunkGraph.js,lib/buildChunkGraph.js,"[360, 361]","[406, 420]",114,501,True,False,EXTRACT
0eb24f640723dd0e99895547a93e900689de750b,92e362544f86d24b2428663dee836da467de3146,52dbd44015cfa59e1247998245124a5f22206bff,94929a59a79bc79cab789804d5592c3ec0605cc4,lib/buildChunkGraph.js,lib/buildChunkGraph.js,lib/buildChunkGraph.js,lib/buildChunkGraph.js,"[360, 361]","[406, 420]",176,178,True,False,INTERNAL_MOVE
