evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
00e1c9f16d5d82bf1bfe3f889d29d8ce450fc787,e4fd18e12d9e5a014105ec7cff531a49640aa63c,00e1c9f16d5d82bf1bfe3f889d29d8ce450fc787,1ba3e6c4530008c1c54cd44f3e95581ba4d89b00,left,"-3,35","+3,36",a/lib/torrent.js,b/lib/torrent.js
98353d910a11e5cc90b4ed86bca558586cb787d5,e4fd18e12d9e5a014105ec7cff531a49640aa63c,00e1c9f16d5d82bf1bfe3f889d29d8ce450fc787,1ba3e6c4530008c1c54cd44f3e95581ba4d89b00,right,"-3,36","+3,38",a/lib/torrent.js,b/lib/torrent.js
5d87d1b32356f6b75ed4f9aefe91f3ddf1ecebdb,e4fd18e12d9e5a014105ec7cff531a49640aa63c,00e1c9f16d5d82bf1bfe3f889d29d8ce450fc787,1ba3e6c4530008c1c54cd44f3e95581ba4d89b00,right,"-3,36","+3,37",a/lib/torrent.js,b/lib/torrent.js
522ee4cd14d3b41e92c3978e9816cb66e00233f0,e4fd18e12d9e5a014105ec7cff531a49640aa63c,00e1c9f16d5d82bf1bfe3f889d29d8ce450fc787,1ba3e6c4530008c1c54cd44f3e95581ba4d89b00,right,"-3,36","+3,36",a/lib/torrent.js,b/lib/torrent.js
2839c7a55222d5b74feb2ce423b3cc2be61ee4e8,8c3b6cbcc163b2cea2b7c6f12e6d6e4f19663d8a,2839c7a55222d5b74feb2ce423b3cc2be61ee4e8,46bddf7bf87b1c982f88851a0902b4992d368091,left,"-1,11","+1,9",a/lib/file.js,b/lib/file.js
98353d910a11e5cc90b4ed86bca558586cb787d5,8c3b6cbcc163b2cea2b7c6f12e6d6e4f19663d8a,2839c7a55222d5b74feb2ce423b3cc2be61ee4e8,46bddf7bf87b1c982f88851a0902b4992d368091,right,"-1,11","+1,11",a/lib/file.js,b/lib/file.js
7aeea1757000741a04409dadeaf9fab3966b399d,6d7875cc045601395fcc1213c5372f5bfeaa8067,8a2d47439597b7068b7c2717777d5bcc49bef911,e0aa4810dc010b2a8d19dea2e2cc4857c8f6fb75,left,"-175,56","+173,14",a/index.js,b/index.js
b858e6cb4c7998eb3ab3ed0c624b0106fed1b4a5,6d7875cc045601395fcc1213c5372f5bfeaa8067,8a2d47439597b7068b7c2717777d5bcc49bef911,e0aa4810dc010b2a8d19dea2e2cc4857c8f6fb75,left,"-175,52","+175,56",a/index.js,b/index.js
2e4f91f668ea867d768291e9efd3e1c1eb825b97,6d7875cc045601395fcc1213c5372f5bfeaa8067,8a2d47439597b7068b7c2717777d5bcc49bef911,e0aa4810dc010b2a8d19dea2e2cc4857c8f6fb75,right,"-174,52","+174,56",a/index.js,b/index.js
9270a146da2c4e487074c1dc1b3646cf328f3868,6d7875cc045601395fcc1213c5372f5bfeaa8067,8a2d47439597b7068b7c2717777d5bcc49bef911,e0aa4810dc010b2a8d19dea2e2cc4857c8f6fb75,right,"-174,52","+174,52",a/index.js,b/index.js
