merge,left,right,arquivos_conflitos_analisados,arquivos_conflitos_nao_analisados,quantidade_total_de_conflitos_validos_js,quantidade_regioes_de_conflito_total,quantidade_regioes_de_conflito_total_valido_js,qt_relations_arq,qt_relations_region_conflict
dd827d4c774043c7079bce342f1d5c6944f39f77,bc0450f4eccbfb7e1afc71c490817998b71ef63c,c911f066a4f37102782cfe71e42f5ea8edccb0bc,[],['package.json'],0,3,0,0,0
9100fbd8dc2e8ba17b83cbaab6956634d99363a0,c73d28e7c17ebeb1921871275adb7a7899dada91,e40f7d7e207639c4971dc5d98d67bd05fa294e58,[],['package.json'],0,1,0,0,0
e4fd18e12d9e5a014105ec7cff531a49640aa63c,00e1c9f16d5d82bf1bfe3f889d29d8ce450fc787,1ba3e6c4530008c1c54cd44f3e95581ba4d89b00,['lib/torrent.js'],['package.json'],1,2,1,0,0
8c3b6cbcc163b2cea2b7c6f12e6d6e4f19663d8a,2839c7a55222d5b74feb2ce423b3cc2be61ee4e8,46bddf7bf87b1c982f88851a0902b4992d368091,['lib/file.js'],[],1,1,1,0,0
6d7875cc045601395fcc1213c5372f5bfeaa8067,8a2d47439597b7068b7c2717777d5bcc49bef911,e0aa4810dc010b2a8d19dea2e2cc4857c8f6fb75,"['index.js', 'lib/file.js', 'lib/worker-server.js', 'webtorrent.chromeapp.js', 'webtorrent.min.js']","['.github/workflows/stale.yml', 'AUTHORS.md', 'CHANGELOG.md', 'docs/api.md', 'docs/faq.md', 'package.json']",5,32,19,12,2
1be0c85540a73b39de713eb0c291aa266d9477c9,8449ea0900d409a3cec638b28ec496f861f06622,474573930a0f3c1cac242fb3b9616db881462d00,"['lib/file.js', 'lib/peer.js', 'lib/torrent.js']","['docs/api.md', 'package.json']",3,14,11,0,0
7ebde575073eb40b8da9aa9b97bf9b9f727f502b,3dcc98c515bcf647b2aa8806626458c2f3e2c5f6,250a7ba8efeb4f0c04828dd608df98abddd9ccb0,[],['docs/faq.md'],0,2,0,0,0
24343c505907aa3df90ea036e01a491824118c51,321bc13307f7cd7776d2918a4cc217377c366991,a805d2679c6dbacfb2b8ff385df94fd5236943af,[],['docs/faq.md'],0,1,0,0,0
db9ec006c1faaa5758e7593216b6a31fb08ded26,84ff227c4019cbc604ec9bf9aa491887f2bb9fc0,df896285fe2f75dea2f60e95326bb8a6f59371ab,[],['package.json'],0,1,0,0,0
b734f6854920fc9b29c690a927d3c400089c14c6,eca063f027fcc7f13df8852495de2b4585c9af48,e4b10c20de13b88300a875d6c79a917cfb16c31c,['lib/server.js'],[],1,1,1,0,0
2f844aa005025016ae9040d808605c6daa4563ff,5c120ec8e8602d6d24e3bf5d2b102b3eaad90061,c32790de3da4dec7a780fedcd15f4cd4c1811db8,[],['package.json'],0,1,0,0,0
fae5964019c368d29b6714a6ffb603c105aaaa7f,a6eb0ca28065f3d0c38c55bd3607247f2681db23,56359b0c0542883d568927822b474584f5ce1457,[],['docs/faq.md'],0,2,0,0,0
