evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
3ccd741a83f844b54de6536e5e44ece39573f6f8,ffad76111d34f695eaf0721128e1d117fa3c0c04,3ccd741a83f844b54de6536e5e44ece39573f6f8,67290f4cc1110b9486180503de6445658caf974a,left,"-101,3","+101,3",a/biz/webui/htdocs/js/index.js,b/biz/webui/htdocs/js/index.js
67290f4cc1110b9486180503de6445658caf974a,ffad76111d34f695eaf0721128e1d117fa3c0c04,3ccd741a83f844b54de6536e5e44ece39573f6f8,67290f4cc1110b9486180503de6445658caf974a,right,"-101,3","+101,3",a/biz/webui/htdocs/js/index.js,b/biz/webui/htdocs/js/index.js
2c2d842bb45e6a7e1d83067620b663f0592bc75a,6b614fd09cd854422196db502b8a7d9d08da0f0b,fe98740b030b0be018d1521514575199b8fbbbad,ec968932d225a67a10314531475a9766d609910d,left,"-12,1","+12,1",a/lib/inspectors/weinre.js,b/lib/inspectors/weinre.js
fb545167db84a4f222b6aa0d410b921ea3bb8d9e,bf4da0a00283e4447be224fcf1ed388bf5a90e03,fb545167db84a4f222b6aa0d410b921ea3bb8d9e,57bc4e24712093d9b3b8f94f18918fcd0a3ad59c,left,"-110,25","+111,46",a/bin/whistle.js,b/bin/whistle.js
740d7d5962a64373e3c3468c16ddf350ffa0cd25,bf4da0a00283e4447be224fcf1ed388bf5a90e03,fb545167db84a4f222b6aa0d410b921ea3bb8d9e,57bc4e24712093d9b3b8f94f18918fcd0a3ad59c,right,"-110,25","+111,46",a/bin/whistle.js,b/bin/whistle.js
8c1fd3d76fe7c19aac7505f9b9adf724e7bacd13,2d25f2e56eebcaed02fb073e36a7ccc6fbcdfd53,8ae1aa2004b6a29959a6fe93019b423f7062cf89,45ecb6578679fcc8a83f869429fdb8ec7b0acff6,left,"-1,2","+1,2",a/biz/webui/htdocs/js/index.js,b/biz/webui/htdocs/js/index.js
f196adb325d27603df1ec97da639e1f973969afa,2d25f2e56eebcaed02fb073e36a7ccc6fbcdfd53,8ae1aa2004b6a29959a6fe93019b423f7062cf89,45ecb6578679fcc8a83f869429fdb8ec7b0acff6,left,"-1,2","+1,2",a/biz/webui/htdocs/js/index.js,b/biz/webui/htdocs/js/index.js
b7c015fdbb1022be15b6dd637a9880ff11c447df,2d25f2e56eebcaed02fb073e36a7ccc6fbcdfd53,8ae1aa2004b6a29959a6fe93019b423f7062cf89,45ecb6578679fcc8a83f869429fdb8ec7b0acff6,left,"-1,2","+1,2",a/biz/webui/htdocs/js/index.js,b/biz/webui/htdocs/js/index.js
6c9ee144868edec934bd49248062d1e28f834496,2d25f2e56eebcaed02fb073e36a7ccc6fbcdfd53,8ae1aa2004b6a29959a6fe93019b423f7062cf89,45ecb6578679fcc8a83f869429fdb8ec7b0acff6,right,"-1,2","+1,2",a/biz/webui/htdocs/js/index.js,b/biz/webui/htdocs/js/index.js
8ae1aa2004b6a29959a6fe93019b423f7062cf89,2d25f2e56eebcaed02fb073e36a7ccc6fbcdfd53,8ae1aa2004b6a29959a6fe93019b423f7062cf89,45ecb6578679fcc8a83f869429fdb8ec7b0acff6,left,"-54,14","+54,14",a/biz/webui/htdocs/js/index.js,b/biz/webui/htdocs/js/index.js
