evolutionary_commit,base,left,right,parent,region_change_evolutionary_commit_before,region_change_evolutionary_commit_after,region_conflict_before,region_conflict_after
41ebb46799f0196ef81686f3683c6e74064a8571,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,left,"-196,4","+200,3",a/src/event.js,b/src/event.js
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,right,"-209,4","+211,4",a/src/event.js,b/src/event.js
2476c8eab4bf9ef407d8e48b3470149a824b7538,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,right,"-196,4","+196,4",a/src/event.js,b/src/event.js
41ebb46799f0196ef81686f3683c6e74064a8571,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,left,"-212,2","+215,2",a/src/event.js,b/src/event.js
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,right,"-225,2","+227,2",a/src/event.js,b/src/event.js
2476c8eab4bf9ef407d8e48b3470149a824b7538,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,right,"-212,2","+212,2",a/src/event.js,b/src/event.js
46ecdefae9acad6ea92d6411418a1a890143e2b8,32a8f65de41035d3b48284d1b1481486865a7649,46ecdefae9acad6ea92d6411418a1a890143e2b8,2f8815f3f63482c9ad99a6b184b854f5583bdaab,left,"-664,1","+664,2",a/src/zepto.js,b/src/zepto.js
2f8815f3f63482c9ad99a6b184b854f5583bdaab,32a8f65de41035d3b48284d1b1481486865a7649,46ecdefae9acad6ea92d6411418a1a890143e2b8,2f8815f3f63482c9ad99a6b184b854f5583bdaab,right,"-664,1","+664,1",a/src/zepto.js,b/src/zepto.js
46ecdefae9acad6ea92d6411418a1a890143e2b8,32a8f65de41035d3b48284d1b1481486865a7649,46ecdefae9acad6ea92d6411418a1a890143e2b8,2f8815f3f63482c9ad99a6b184b854f5583bdaab,left,"-683,1","+684,2",a/src/zepto.js,b/src/zepto.js
2f8815f3f63482c9ad99a6b184b854f5583bdaab,32a8f65de41035d3b48284d1b1481486865a7649,46ecdefae9acad6ea92d6411418a1a890143e2b8,2f8815f3f63482c9ad99a6b184b854f5583bdaab,right,"-683,1","+683,1",a/src/zepto.js,b/src/zepto.js
88349457f3c4f14891050db45b2f479dd9af1cf7,ecdeb0953be294418a7c80796b3e5b1c8945a215,439a49a21916e6d49ee8b62a55542f508eea901f,99376869b67a45b17800bb255f29cf0708458cbb,left,"-64,1","+52,1",a/src/touch.js,b/src/touch.js
63829c7ecaa421dc3d42652adfc926296770522d,ecdeb0953be294418a7c80796b3e5b1c8945a215,439a49a21916e6d49ee8b62a55542f508eea901f,99376869b67a45b17800bb255f29cf0708458cbb,right,"-42,1","+42,1",a/src/touch.js,b/src/touch.js
4e7804c436a3160d56135082497b87e8ab63ce8a,ecdeb0953be294418a7c80796b3e5b1c8945a215,439a49a21916e6d49ee8b62a55542f508eea901f,99376869b67a45b17800bb255f29cf0708458cbb,left,"-54,11","+45,17",a/src/touch.js,b/src/touch.js
88349457f3c4f14891050db45b2f479dd9af1cf7,ecdeb0953be294418a7c80796b3e5b1c8945a215,439a49a21916e6d49ee8b62a55542f508eea901f,99376869b67a45b17800bb255f29cf0708458cbb,left,"-66,10","+54,11",a/src/touch.js,b/src/touch.js
488e773d1b754712bb193e7a2f81896e79734daf,ecdeb0953be294418a7c80796b3e5b1c8945a215,439a49a21916e6d49ee8b62a55542f508eea901f,99376869b67a45b17800bb255f29cf0708458cbb,left,"-50,10","+66,10",a/src/touch.js,b/src/touch.js
