evolutionary_commit,merge_commit,left,right,local_node_before,local_node_after,local_refactoring_before,local_refactoring_after,region_conflict_before,region_conflict_after,region_refactoring_before,region_refactoring_after,there_are_refactors_file,there_are_refactors_region_conflict,refactor_type
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[209, 212]","[211, 214]",192,9,True,False,EXTRACT
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[209, 212]","[211, 214]",209,9,True,True,EXTRACT
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[209, 212]","[211, 214]",161,9,True,False,EXTRACT
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[209, 212]","[211, 214]",86,9,True,False,EXTRACT
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[209, 212]","[211, 214]",258,9,True,False,EXTRACT
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[209, 212]","[211, 214]",222,9,True,False,EXTRACT
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[225, 226]","[227, 228]",192,9,True,False,EXTRACT
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[225, 226]","[227, 228]",209,9,True,False,EXTRACT
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[225, 226]","[227, 228]",161,9,True,False,EXTRACT
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[225, 226]","[227, 228]",86,9,True,False,EXTRACT
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[225, 226]","[227, 228]",258,9,True,False,EXTRACT
7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,f11684ed042cd82ac104a02032e83747807ccfca,89de9a749b1e62aa408f4cf6f5c87608fa38019d,7afa8b3f75a859a11f67b5e05cd9bcbcceb8daba,src/event.js,src/event.js,src/event.js,src/event.js,"[225, 226]","[227, 228]",222,9,True,False,EXTRACT
