commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type
2e6f12725bc01011c545c99c1f1c1da6065063d9,https://github.com/ajaxorg/ace/commit/2e6f12725bc01011c545c99c1f1c1da6065063d9,3,28,4,>0,floss
7f1bc7af2fcc431241c2e8812588164394444df9,https://github.com/ajaxorg/ace/commit/7f1bc7af2fcc431241c2e8812588164394444df9,1,1,2,>0,floss
6381f3e048506d5f0e2b8b1da81551d6ff1bd9a4,https://docs.google.com/spreadsheets/d/1CvMvl-c4vji6LJxyDwQO13Z0bpuqp9945F6OLEHdQZc/edit#gid=984375047,2,2,8,>0,floss
299cdc1b19ec95559d75f1719ebccd15346ef728,https://github.com/ajaxorg/ace/commit/299cdc1b19ec95559d75f1719ebccd15346ef728#diff-5aebdef66253f74a7d6077eedf1196af428ab94b08633c62be731e88f95678af,1,2,1,>0,floss
b77c3b348ebcb2b6e952262f4c2605a58a6d5287,https://github.com/ajaxorg/ace/commit/b77c3b348ebcb2b6e952262f4c2605a58a6d5287#diff-0c7f0c4cfc3d73115a277f7001dc20211ac64580b5be94923b0514ee4e193900,1,5,1,>0,floss
2208ccdd4886f0e2f0945b4ec769374ca832b294,https://github.com/ajaxorg/ace/commit/2208ccdd4886f0e2f0945b4ec769374ca832b294,1,1,1,0,pure
bcf8430ec4abf37ce5cb9d9894d29bcfe801de5a,https://github.com/ajaxorg/ace/commit/bcf8430ec4abf37ce5cb9d9894d29bcfe801de5a,1,3,1,>0,floss
9244fd04402d8f7dfd8a72ec38f72ad9bf101b11,https://github.com/ajaxorg/ace/commit/9244fd04402d8f7dfd8a72ec38f72ad9bf101b11,4,9,36,>0,floss
a40c6a9211bed5b4ac442c329f00078b5b947d4e,https://github.com/ajaxorg/ace/commit/a40c6a9211bed5b4ac442c329f00078b5b947d4e#diff-b1a401b155047727f7401727b432f25f6446d54fec0aaa216696f102662fd07c,2,8,2,>0,floss
680ae0e8a228bdf6d7ed1871b05d621686bbb23a,https://github.com/ajaxorg/ace/commit/680ae0e8a228bdf6d7ed1871b05d621686bbb23a,1,4,1,>0,floss
