commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type,
3c1836ab43a2a5ab4befc93d80bdb667196c4e21,https://github.com/babel/babel/commit/3c1836ab43a2a5ab4befc93d80bdb667196c4e21#diff-b6ee5cb7268074fcb71a63f9078d14e93f8c4819076c797c8e6bc697303d0362,2,28,2,>0,floss,
0781f711d0da559abe2945d6a9b868cb7a2fc53e,https://github.com/babel/babel/commit/0781f711d0da559abe2945d6a9b868cb7a2fc53e,2,28,2,>0,floss,
aad13388c7ebd924680337a4198c3c6783ebbe41,https://github.com/babel/babel/commit/aad13388c7ebd924680337a4198c3c6783ebbe41,2,12,2,>0,floss,
b6c3b5aa8319582f695e7944503612e39aa08261,https://github.com/babel/babel/commit/b6c3b5aa8319582f695e7944503612e39aa08261#diff-a441d22be4ef94cfc245bc261d8f1723f15ed5b0bcd1589f91e6d9e1908e1ee9,2,4,5,>0,floss,
336547864581ea8a547c1e89f4dd3d87e9d1e04f,https://github.com/babel/babel/commit/336547864581ea8a547c1e89f4dd3d87e9d1e04f,1,1,2,>0,floss,
bc48c02a185c496505c999fc1f265acefb3913bc,https://github.com/babel/babel/commit/bc48c02a185c496505c999fc1f265acefb3913bc#diff-dc48bff8c5a56eb98c0f564ad466a377203fde82a1fce00bba96bdc3da0c7c03,1,1,3,>0,floss,
71bb9d61230767be78e191acb2139ccf4538fa3d,https://github.com/babel/babel/commit/71bb9d61230767be78e191acb2139ccf4538fa3d#diff-dc48bff8c5a56eb98c0f564ad466a377203fde82a1fce00bba96bdc3da0c7c03,1,3,1,>0,floss,
29910d2b2d7f268a977bc1dbc10d9ea5fc5dcaa7,https://github.com/babel/babel/commit/29910d2b2d7f268a977bc1dbc10d9ea5fc5dcaa7,1,2,9,0,pure,
802c4cd8cb41692582b76ae2dda4890449c6853f,https://github.com/babel/babel/commit/802c4cd8cb41692582b76ae2dda4890449c6853f#diff-dc48bff8c5a56eb98c0f564ad466a377203fde82a1fce00bba96bdc3da0c7c03,1,3,1,>0,floss,
8459481e6583861adab91836f0d4a9740a8c3ba2,https://github.com/babel/babel/commit/8459481e6583861adab91836f0d4a9740a8c3ba2,1,1,1,0,pure,otimo exemplo p dissertação do internal move
e14e6473ff26714cf8fc275733e5d4c1c3f91db2,https://github.com/babel/babel/commit/e14e6473ff26714cf8fc275733e5d4c1c3f91db2,1,1,1,0,pure,
c297f5a57fbf5653fce4b6f9605563e27a0898ae,https://github.com/babel/babel/commit/c297f5a57fbf5653fce4b6f9605563e27a0898ae,1,1,1,0,pure,
012f7dbddd2246c2db311c889740bfc3c4660e37,https://github.com/babel/babel/commit/012f7dbddd2246c2db311c889740bfc3c4660e37#diff-dc48bff8c5a56eb98c0f564ad466a377203fde82a1fce00bba96bdc3da0c7c03,2,2,7,0,pure,
3a59b5a15147d68916f7edc0529340cf35c8e836,https://github.com/babel/babel/commit/3a59b5a15147d68916f7edc0529340cf35c8e836#diff-dc48bff8c5a56eb98c0f564ad466a377203fde82a1fce00bba96bdc3da0c7c03,1,2,2,>0,floss,
fe0b67910435e3a16efa5aa7fcf544d4575198f3,https://github.com/babel/babel/commit/fe0b67910435e3a16efa5aa7fcf544d4575198f3,1,1,1,>0,floss,
d14f4461775e863d27875e4ce2e4ff7e9a6da356,https://github.com/babel/babel/commit/d14f4461775e863d27875e4ce2e4ff7e9a6da356#diff-c9a59e2cb3a7a8ad16389f556840465ccec34c04a899334b4172d62f7afff48e,1,3,1,>0,floss,
b4c5d1f2e952c2c10946cba978beb34d17be270d,https://github.com/babel/babel/commit/b4c5d1f2e952c2c10946cba978beb34d17be270d#diff-dc48bff8c5a56eb98c0f564ad466a377203fde82a1fce00bba96bdc3da0c7c03,1,3,3,>0,floss,
6660a21b7992be2f23e6a2a19872619ac50dac3f,https://github.com/babel/babel/commit/6660a21b7992be2f23e6a2a19872619ac50dac3f#diff-dc48bff8c5a56eb98c0f564ad466a377203fde82a1fce00bba96bdc3da0c7c03,1,2,2,>0,floss,
5d96bbd781538b14d61bb1259a446317520fc0ba,https://github.com/babel/babel/commit/5d96bbd781538b14d61bb1259a446317520fc0ba#diff-b0cfd8b15ddda179b13926f9003a8f7b2b97197b424c8979e918aff32b074edd,1,2,1,0,pure,
41ad304955d6770f2f226edfdb463b74699628c5,https://github.com/babel/babel/commit/41ad304955d6770f2f226edfdb463b74699628c5,2,2,7,0,pure,
e6f1e1027e9a9075b5572a9c495630b8a1d7870a,https://github.com/babel/babel/commit/e6f1e1027e9a9075b5572a9c495630b8a1d7870a#diff-6db27cd01f7a95b7fbc2d76b396eaec1957abbe8ec3198385c95e38e0a4909dd,1,2,2,>0,floss,
917de714b145882aa65d21c121eeeae0e76b4c99,https://github.com/babel/babel/commit/917de714b145882aa65d21c121eeeae0e76b4c99#diff-6fd4ba8900bd96df3bc19001c69717902130f416e6c25df8e9747cb4f6ce4ffa,1,4,7,>0,floss,
caa5da6ce19794b5b93ec6881e2c3ced5675f829,https://github.com/babel/babel/commit/caa5da6ce19794b5b93ec6881e2c3ced5675f829,1,3,2,>0,floss,
2cb3dbcb4191a9ec60e4c6ed0fc3d7ee13fd6b5d,https://github.com/babel/babel/commit/2cb3dbcb4191a9ec60e4c6ed0fc3d7ee13fd6b5d,1,3,1,>0,floss,
e797be518f0c193b397d36da5da4babd4fb3369a,https://github.com/babel/babel/commit/e797be518f0c193b397d36da5da4babd4fb3369a#diff-ce7f0ffa1278d7fee92d4a18870c299cdd3645d46d62318ed93b3f588bdad6ad,2,15,7,>0,floss,
