commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type
a58febf71a5eac2161ce2db08c7d723755ed1163,https://github.com/twbs/bootstrap/commit/a58febf71a5eac2161ce2db08c7d723755ed1163,2,19,5,>0,floss
1b183e2ff796fc22aba8a8cac074a306c083d018,https://github.com/twbs/bootstrap/commit/1b183e2ff796fc22aba8a8cac074a306c083d018,2,17,2,>0,floss
660505188241418ffda53b5eb848defecd5f57e1,https://github.com/twbs/bootstrap/commit/660505188241418ffda53b5eb848defecd5f57e1#diff-be90f9d0e9b07dbfbaaaeb0cc204fa15f3d1a8b3dbb8acd64490ad5ef179debc,2,14,1,>0,floss
db90ff6df7a1a3e3cc914a3edc0dad0518462f0d,https://github.com/twbs/bootstrap/commit/db90ff6df7a1a3e3cc914a3edc0dad0518462f0d,2,6,2,>0,floss
44cc76322981849192217df93a530d225ff9b789,https://github.com/twbs/bootstrap/commit/44cc76322981849192217df93a530d225ff9b789,1,6,3,>0,floss
559f16572f6c1f0967ee7fcd72c07c67423d85d8,https://github.com/twbs/bootstrap/commit/559f16572f6c1f0967ee7fcd72c07c67423d85d8,1,1,1,>0,floss
2576fecf95ec32f659d26e50f80c1a15c61a897b,https://github.com/twbs/bootstrap/commit/2576fecf95ec32f659d26e50f80c1a15c61a897b#diff-6aad6e1d5a75f69b8870ce8c5f7d80e343ddcc505aa24958c08ea78641f887d7,1,2,1,>0,floss
2d3a0babd242d7eebe09cf3f4daad38e2d7df6ee,https://github.com/twbs/bootstrap/commit/2d3a0babd242d7eebe09cf3f4daad38e2d7df6ee#diff-07a15aaf35e2dfdae967610a33474f74097ba1df1adbac5f176813f58fbb9fa0,2,7,3,>0,floss
a7b49a7d92a0efa640179b775e309002afc50390,https://github.com/twbs/bootstrap/commit/a7b49a7d92a0efa640179b775e309002afc50390,2,10,6,>0,floss
10c6db4b14e5eb26bd663996233e3ac3075d5cb4,https://github.com/twbs/bootstrap/commit/10c6db4b14e5eb26bd663996233e3ac3075d5cb4#diff-07a15aaf35e2dfdae967610a33474f74097ba1df1adbac5f176813f58fbb9fa0,2,7,6,>0,floss
6f2f947a4309a8fdeb7067612447c0f1a15dcfd9,https://github.com/twbs/bootstrap/commit/6f2f947a4309a8fdeb7067612447c0f1a15dcfd9,2,17,2,>0,floss
523e02f7df3bb706654b43cf604e61c9396212e1,https://github.com/twbs/bootstrap/commit/523e02f7df3bb706654b43cf604e61c9396212e1,1,10,2,>0,floss
ea50e8aeeed6616a61a7e44d28fe60ced327be0c,https://github.com/twbs/bootstrap/commit/ea50e8aeeed6616a61a7e44d28fe60ced327be0c,1,10,1,>0,floss
0b1d5d9189ea82cde5e848e5a8771a8f4850e21f,https://github.com/twbs/bootstrap/commit/0b1d5d9189ea82cde5e848e5a8771a8f4850e21f#diff-7dea962a2029df5d0a74a7763dfc3ef5fdfc2e912005907cff712251a1bc4459,1,9,1,>0,floss
169b4b5dcbca740951735a60cc5c46a1366c2652,https://github.com/twbs/bootstrap/commit/169b4b5dcbca740951735a60cc5c46a1366c2652#diff-866c1411c3e23b4189eec49734cd1c535060d00d103303b99eb94a028b8f3411,1,3,1,>0,floss
46fe38386afce7149810b1feb534726735ce28b2,https://github.com/twbs/bootstrap/commit/46fe38386afce7149810b1feb534726735ce28b2,2,8,2,>0,floss
