commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type
0d972e9dfaeac89e10d11bd653844afdcc277773,https://github.com/dat-ecosystem/dat/commit/0d972e9dfaeac89e10d11bd653844afdcc277773#diff-e727e4bdf3657fd1d798edcd6b099d6e092f8573cba266154583a746bba0f346,1,3,1,>0,floss
faf74e2a381ba2c3706438df5e17e9766a74d226,https://github.com/dat-ecosystem/dat/commit/faf74e2a381ba2c3706438df5e17e9766a74d226#diff-6bee214a3eb9900d8da24040217f3cc12aab8f2be564e059b60b0a609927f02d,1,2,1,>0,floss
49fcc8362562b28e8811df695a7eeec51312b1b6,https://github.com/dat-ecosystem/dat/commit/49fcc8362562b28e8811df695a7eeec51312b1b6#diff-89641c45d074c2a79fa3e582d31034878ddf22a73921d8026654fbaab3fca61a,2,5,2,>0,floss
b21514f1da5016e0f25ba7233c9becceb47e1c1c,https://github.com/dat-ecosystem/dat/commit/b21514f1da5016e0f25ba7233c9becceb47e1c1c#diff-5aba9e159af01eb2b657b8aad831e09f8b486abd4b1772cc71884f8a6c11ace7,2,11,1,>0,floss
66bc9fe1b22e55e54c22a46626dcc1b8f141010f,https://github.com/dat-ecosystem/dat/commit/66bc9fe1b22e55e54c22a46626dcc1b8f141010f,4,11,5,>0,floss
ef4df100ee86f145df907be8a34c9ecbe7d7a94f,https://github.com/dat-ecosystem/dat/commit/ef4df100ee86f145df907be8a34c9ecbe7d7a94f,2,11,2,>0,floss
6ef2f3434bddae0736b30a9be903ef646797dc81,https://github.com/dat-ecosystem/dat/commit/6ef2f3434bddae0736b30a9be903ef646797dc81#diff-1862eb43e1b36dbae6077f07b9790aeff9de6fcc47a4df27be03531e5f4fc28a,2,15,3,>0,floss
d109f60842570d4b993dbe114c73a818a07616ee,https://github.com/dat-ecosystem/dat/commit/d109f60842570d4b993dbe114c73a818a07616ee,2,11,1,>0,floss
03d35b7ba88f2d70f699d4e1d3867164e900f0b3,https://github.com/dat-ecosystem/dat/commit/03d35b7ba88f2d70f699d4e1d3867164e900f0b3#diff-89a0cc4d805e4d3fb2ef60367531bceaceed30b1c3a227abfc27e2c07cec994b,2,9,2,>0,floss
a0ea5b15cef7baed93181bb71e208f72f48e0b98,https://github.com/dat-ecosystem/dat/commit/a0ea5b15cef7baed93181bb71e208f72f48e0b98#diff-9a6f58629402c31693001dc843c304dc558b7b9dcda7ca424aae0c98e86332db,3,5,5,0,pure
aee3c9ac724647307bf8defab3f4cb344beeccb2,https://github.com/dat-ecosystem/dat/commit/aee3c9ac724647307bf8defab3f4cb344beeccb2#diff-180b3d2af89416b99563fff8c37eb8ca1ef7591fc1ddd736b5dacf740ccd3760,2,3,1,0,pure
3fb8269b8b294901bf06ef0cff31a6615b4014ca,https://github.com/dat-ecosystem/dat/commit/3fb8269b8b294901bf06ef0cff31a6615b4014ca,1,3,1,0,pure
