commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type
13dfcacbb0d1a7825eeea7f66cd858bd77996260,https://github.com/jasmine/jasmine/commit/13dfcacbb0d1a7825eeea7f66cd858bd77996260#diff-d78eb76a24570d1a6002f3b2fc360e84b0b717d8268b19d6d8be379ff3e67a35,2,5,3,>0,floss
799d9897fd2810932833066bd68871b454dbaa56,https://github.com/jasmine/jasmine/commit/799d9897fd2810932833066bd68871b454dbaa56#diff-46cdc2a30e1879f73f5a62a709840911600e79ff44702785f1fafb4234789c57,2,6,3,>0,floss
90d6f9d73ce4809233d67a9cb0a78ea2a4f436d0,https://github.com/jasmine/jasmine/commit/90d6f9d73ce4809233d67a9cb0a78ea2a4f436d0,2,16,2,>0,floss
dec67bd535bfeeb9e4953f14c35ff56874aabcf9,https://github.com/jasmine/jasmine/commit/dec67bd535bfeeb9e4953f14c35ff56874aabcf9,2,43,6,>0,floss
873d1c294552e90bbcb96b5589324a3bdf5ff597,https://github.com/jasmine/jasmine/commit/873d1c294552e90bbcb96b5589324a3bdf5ff597#diff-4bc1ea41f3a88272d4338f18cbb2028310af0e1c24545f4f3af628292928a0fb,4,15,9,>0,floss
533bda5d2400755a1ef49bfd59712af1f620496e,https://github.com/jasmine/jasmine/commit/533bda5d2400755a1ef49bfd59712af1f620496e#diff-46cdc2a30e1879f73f5a62a709840911600e79ff44702785f1fafb4234789c57,2,2,8,0,pure
9472df0db499679534143b7956ea83281bb0e02e,https://github.com/jasmine/jasmine/commit/533bda5d2400755a1ef49bfd59712af1f620496e,4,16,15,>0,floss
282c436463a03fe74886b5887d749bcc422bf873,https://github.com/jasmine/jasmine/commit/533bda5d2400755a1ef49bfd59712af1f620496e,2,4,5,>0,floss
07996b567f83191e4258e131339c6ec0e8041b7b,https://github.com/jasmine/jasmine/commit/07996b567f83191e4258e131339c6ec0e8041b7b,2,4,8,>0,floss
262a2fe674f9fc7250eb361585d8ddb3e2c0b780,https://github.com/jasmine/jasmine/commit/262a2fe674f9fc7250eb361585d8ddb3e2c0b780,1,1,1,>0,floss
bd250f27c7660f7c30529547d732edaf9acee6bd,https://github.com/jasmine/jasmine/commit/bd250f27c7660f7c30529547d732edaf9acee6bd,1,4,4,>0,floss
6b156ca6d16e0d505287465e164ec8af120b98e1,https://github.com/jasmine/jasmine/commit/bd250f27c7660f7c30529547d732edaf9acee6bd,3,10,4,>0,floss
db615e4186e9110184b846a6afe40c988ac4a54a,https://github.com/jasmine/jasmine/commit/bd250f27c7660f7c30529547d732edaf9acee6bd,1,8,6,>0,floss
46cc48ccfa27ebfdc92fcdf865d81bf1af1f37aa,https://github.com/jasmine/jasmine/commit/bd250f27c7660f7c30529547d732edaf9acee6bd,2,6,2,>0,floss
e2a191b1161364b5d5fe61e9f9fdbc9dd68dc098,https://github.com/jasmine/jasmine/commit/e2a191b1161364b5d5fe61e9f9fdbc9dd68dc098,2,6,6,>0,floss
6f119c4e5a574346365c9cf1aee71ef2633546ca,https://github.com/jasmine/jasmine/commit/6f119c4e5a574346365c9cf1aee71ef2633546ca#diff-a9a69a3699571189904848e9b10cc7ca3cdf1392e4ffd82a8fed72921eeae176,4,12,37,>0,floss
b439e2fb37c68f81f8a9ba50b2e4f41599088081,https://github.com/jasmine/jasmine/commit/b439e2fb37c68f81f8a9ba50b2e4f41599088081#diff-8286500af454397fa1e0355a5804e718509dd2182e09da3b1dc16152529f46bc,2,2,12,0,pure
1f6c91de7ce788126ac59040bc803b22acbbab58,https://github.com/jasmine/jasmine/commit/1f6c91de7ce788126ac59040bc803b22acbbab58#diff-e0b81945ea35961a41993f1036e65d7d803f65461f535005a9cddb0f637b81a4,2,4,1,0,pure
2710bdfc5e229547c4796b6128a9113e2e0f07e4,https://github.com/jasmine/jasmine/commit/2710bdfc5e229547c4796b6128a9113e2e0f07e4,2,2,1,0,pure
