commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type
43dbdadb907687ba2b2d6966c7fc9419a9b4f507,https://github.com/knex/knex/commit/43dbdadb907687ba2b2d6966c7fc9419a9b4f507#diff-1e397856d88f4626589ab732ec5ec75faba724fe266000eba8907e7d55e699d4,1,8,24,>0,floss
f7ad182e68c4f4a45d46ba88294e521d78ebbdb7,https://github.com/knex/knex/commit/f7ad182e68c4f4a45d46ba88294e521d78ebbdb7#diff-8b2320caeb1bd5958fc63966e8827bb6f94525c767f943c413bf9c2ee34ef19e,3,40,65,>0,floss
0de9513a78fc5bfbc4449ab851ad9e97e7d3e819,https://github.com/knex/knex/commit/0de9513a78fc5bfbc4449ab851ad9e97e7d3e819,3,41,2,>0,floss
4c589cc9604a8d277937e4d91801d2d60f070752,https://github.com/knex/knex/commit/4c589cc9604a8d277937e4d91801d2d60f070752#diff-5be093abf22f30b1b4f9aca320b3dbba83ddfee048479abbe4ee82077b29fd78,40,156,57,>0,floss
01c4a83d35dda836087e3a2e1a9e819e18f19359,https://github.com/knex/knex/commit/01c4a83d35dda836087e3a2e1a9e819e18f19359,30,57,26,>0,floss
faa2497ef135ea1ef0a2d82a190c5a499dbc747a,https://github.com/knex/knex/commit/faa2497ef135ea1ef0a2d82a190c5a499dbc747a,17,38,20,>0,floss
2bf076f15a7bca57a57eb07c3838c12df430479d,https://github.com/knex/knex/commit/2bf076f15a7bca57a57eb07c3838c12df430479d#diff-f9e6ff363f56737057f3b1482e7b29b1a4ae853f0ded794fa707f07e1a10bfb5,1,3,1,>0,floss
f3a59a867b932a87fef5e265ee87750cb6125187,https://github.com/knex/knex/commit/f3a59a867b932a87fef5e265ee87750cb6125187#diff-a3ae0ee8016ccdc0471229b1a7766068b31d442110758e9d6676e36f51a4156b,5,16,8,>0,floss
b18ef3d371c501dcc674d86171ab3df2452d43fe,https://github.com/knex/knex/commit/b18ef3d371c501dcc674d86171ab3df2452d43fe,1,10,1,>0,floss
32917a622ebd7e58f8acf5b80f919a49fd242961,https://github.com/knex/knex/commit/32917a622ebd7e58f8acf5b80f919a49fd242961,4,12,10,>0,floss
5f31aedfe1cf819cc64a1a254cc283936b0885a0,https://github.com/knex/knex/commit/5f31aedfe1cf819cc64a1a254cc283936b0885a0#diff-e0bcf9dfb055c0bdefabad8fd79c58b9bd2009bb6cd72b828761da0c9a349ecf,2,7,61,>0,floss
10940cd0c3c7041f019aad3359c1a1e49108e25e,https://github.com/knex/knex/commit/10940cd0c3c7041f019aad3359c1a1e49108e25e#diff-929513982c5ac06c072d454b08e8b79ef951ffed98f1ce9001bb054077c03e2a,6,12,81,>0,floss
9cf602de1b4cccd51d576a52c716b6b200717ba1,https://github.com/knex/knex/commit/9cf602de1b4cccd51d576a52c716b6b200717ba1#diff-0985a5a877b6ddc9b2231f179ecfc83de01f308fa95eeebe11799ab217f0eeef,3,47,2,>0,floss
634f4751a12e65ee3eeade3b89a8528a23cbdb62,https://github.com/knex/knex/commit/634f4751a12e65ee3eeade3b89a8528a23cbdb62,7,30,6,>0,floss
5ca81a5cb51dd29d737d37ba404433fa485c8adb,https://github.com/knex/knex/commit/5ca81a5cb51dd29d737d37ba404433fa485c8adb#diff-0be0e4e2b6d2e843795cd259e89fbc81b5d2c47a7d90da6d4c36e64c3f7d2428,1,7,1,>0,floss
48563dfd3186fe0d849f4e49eda65ed8a1b0d1fd,https://github.com/knex/knex/commit/48563dfd3186fe0d849f4e49eda65ed8a1b0d1fd#diff-02f2fc9f9f5c512fb2153fcf84d2d0cdb4579bd8fa19434f7a4ec831b3c78ab9,1,11,1,>0,floss
4ff2bc890adb54b3e7b68c93468d5fd156ec9a71,https://github.com/knex/knex/commit/4ff2bc890adb54b3e7b68c93468d5fd156ec9a71#diff-e0bcf9dfb055c0bdefabad8fd79c58b9bd2009bb6cd72b828761da0c9a349ecf,2,4,2,>0,floss
