commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type
4b70236652b1a473b8dfd54ab6d93fcdcd20ee57,https://github.com/konvajs/konva/commit/4b70236652b1a473b8dfd54ab6d93fcdcd20ee57#diff-e9e2059f4adfcf674a56cf8423355d8fccd80e0ac2ea5b5cebf1079f2627644a,2,3,2,>0,floss
fa7c6e0c785a1f3ffb38e0ef93f77f3c90a49acb,https://github.com/konvajs/konva/commit/fa7c6e0c785a1f3ffb38e0ef93f77f3c90a49acb,2,4,3,>0,floss
607ef1837b3c6629a6a62d9061e95e16925eac83,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,2,130,1,>0,floss
eb16e291975c4a31e822438c2544ab675568769f,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,2,41,3,>0,floss
7e2c6c97f84c413fb53507ced3f3237fbdce9d03,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,20,20,20,0,pure
8e3b9580d3130515b288b613fd4a8426d529af77,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,1,15,1,>0,floss
ee5f4c3e3bbf7762cfabbd862457341f33571954,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,12,17,12,>0,floss
3ba89d36e7f642dbf733af88ce40f46f336651cf,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,4,34,21,>0,floss
9324c366eadb8d194b18dd8b0553323affdf74b2,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,24,24,24,0,pure
4cf15cedb80d1dce1c3e0b7c0fdfdf6a643b227f,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,1,9,1,>0,floss
4d3575ecea2e9264aa2bf1d05eb2ea5c68175351,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,4,4,2,>0,floss
69f9374c8edec133f1e67b1df2722a1100774686,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,1,28,5,>0,floss
0073c4cbb96c4d761ee64168448abfac6ce5d93f,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,1,3,2,>0,floss
d8bbbf63538b74b6c447286646083af56498d873,https://github.com/konvajs/konva/commit/607ef1837b3c6629a6a62d9061e95e16925eac83,3,24,2,>0,floss
