commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type
16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,https://github.com/less/less.js/commit/16746e9b1eca8e5cbf0b2fb9f8e412a5ad26e95a,40,47,58,>0,floss
08bd23dc2ae76b4a36504d5b069d8ef7b6467287,https://github.com/less/less.js/commit/08bd23dc2ae76b4a36504d5b069d8ef7b6467287,50,54,368,>0,floss
a038121676ac06a905324697a8fc5c41f30070fd,https://github.com/less/less.js/commit/a038121676ac06a905324697a8fc5c41f30070fd,1,1,1,>0,floss
d9c42e206d7c26e8c35a6b270678303ac83cdd78,https://github.com/less/less.js/commit/d9c42e206d7c26e8c35a6b270678303ac83cdd78,10,13,8,0,pure
a0658a4b1533ab6bdaf2ddea6210134d0cd07dc6,https://github.com/less/less.js/commit/a0658a4b1533ab6bdaf2ddea6210134d0cd07dc6,2,4,1,>0,floss
41732cc60bbcf5191ebb5bf1794719963f84671d,https://github.com/less/less.js/commit/41732cc60bbcf5191ebb5bf1794719963f84671d,2,6,32,>0,floss
3229b45fea3d4f3e5a4aef3f113614138a14dec3,https://github.com/less/less.js/commit/3229b45fea3d4f3e5a4aef3f113614138a14dec3,1,3,10,>0,floss
07f9ba258efa8bf074c5d53a34f04823da301ba8,https://github.com/less/less.js/commit/07f9ba258efa8bf074c5d53a34f04823da301ba8,3,3,3,0,pure
ddf1a45e5eb572d72255acfe36cd8b03ec0d3141,https://github.com/less/less.js/commit/ddf1a45e5eb572d72255acfe36cd8b03ec0d3141,3,4,5,>0,floss
9d94e1c914364e68a4c8fb76d587a1ab43c6060f,https://github.com/less/less.js/commit/9d94e1c914364e68a4c8fb76d587a1ab43c6060f,3,6,4,>0,floss
723cdb501e2ab6b5cd64df7036b0cf5eb7de0055,https://github.com/less/less.js/commit/723cdb501e2ab6b5cd64df7036b0cf5eb7de0055,2,9,1,>0,floss
38a8664013df8281ea30b3fa6373437985790f1b,https://github.com/less/less.js/commit/38a8664013df8281ea30b3fa6373437985790f1b,5,68,6,>0,floss
8eeaf87a791b095434be41d86fd18dda04be76ec,https://github.com/less/less.js/commit/8eeaf87a791b095434be41d86fd18dda04be76ec,1,26,1,>0,floss
6c5072ebbca97138f81d02b19a4c2e70b13bb2f8,https://github.com/less/less.js/commit/6c5072ebbca97138f81d02b19a4c2e70b13bb2f8,1,7,3,>0,floss
1cc63d11b472b9de0f7546a9cf07e653b3cee45b,https://github.com/less/less.js/commit/1cc63d11b472b9de0f7546a9cf07e653b3cee45b,8,10,11,>0,floss
c68352dc17c0a4ab83b1080499149af640b988eb,https://github.com/less/less.js/commit/c68352dc17c0a4ab83b1080499149af640b988eb,1,2,1,>0,floss
f99d29cfad5921ff0cb40dc7a9c66e2179847959,https://github.com/less/less.js/commit/f99d29cfad5921ff0cb40dc7a9c66e2179847959,1,2,1,>0,floss
d6f386727c5ddd5273f67c2e160d98412aeec276,https://github.com/less/less.js/commit/d6f386727c5ddd5273f67c2e160d98412aeec276,1,1,1,0,pure
0267de4fac554279cc1da25374462a0bdd32493d,https://github.com/less/less.js/commit/0267de4fac554279cc1da25374462a0bdd32493d,2,6,2,0,pure
