commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type
61df327bc2d9dd019eb9d4d1f6ef9ec94c8025f9,https://github.com/paperjs/paper.js/commit/61df327bc2d9dd019eb9d4d1f6ef9ec94c8025f9,1,1,1,0,pure
85c680820e73bfaccc6a556c36c4e271f615a919,https://github.com/paperjs/paper.js/commit/85c680820e73bfaccc6a556c36c4e271f615a919,1,1,2,0,pure
a328f5b04b56b37d4052bdd0a56c5911cc3e8b90,https://github.com/paperjs/paper.js/commit/a328f5b04b56b37d4052bdd0a56c5911cc3e8b90,1,2,1,>0,floss
878be7962e4f0dcf658f51aa6e916a116a3bb822,https://github.com/paperjs/paper.js/commit/878be7962e4f0dcf658f51aa6e916a116a3bb822,50,248,85,>0,floss
fb1420eee0c28f065a3c9bc650bc27e0b5ef35e5,https://github.com/paperjs/paper.js/commit/fb1420eee0c28f065a3c9bc650bc27e0b5ef35e5,1,3,1,>0,floss
ccfd51a65aab77d80777eddfa9f72d6dc4e48798,https://github.com/paperjs/paper.js/commit/ccfd51a65aab77d80777eddfa9f72d6dc4e48798,1,9,1,>0,floss
64fa328f657cf9b955a1b083d7f4f020c96dbc0f,https://github.com/paperjs/paper.js/commit/64fa328f657cf9b955a1b083d7f4f020c96dbc0f,2,5,4,>0,floss
de0cfb7e3d550ae7d315ae8b4acb54d1abac523d,https://github.com/paperjs/paper.js/commit/de0cfb7e3d550ae7d315ae8b4acb54d1abac523d,1,1,2,>0,floss
0dddd897ab3894761b1aab657990cd24b52cb437,https://github.com/paperjs/paper.js/commit/0dddd897ab3894761b1aab657990cd24b52cb437,1,4,1,>0,floss
976b24b34c38cfbe6b5ce8ddedcfaad60279da31,https://github.com/paperjs/paper.js/commit/976b24b34c38cfbe6b5ce8ddedcfaad60279da31,2,7,2,>0,floss
7ec53f74d1f624bb3cebb079ead48fb34087c7eb,https://github.com/paperjs/paper.js/commit/7ec53f74d1f624bb3cebb079ead48fb34087c7eb,2,3,10,0,pure
90e3dd201a859a378f970170d663a7b8faf4513e,https://github.com/paperjs/paper.js/commit/90e3dd201a859a378f970170d663a7b8faf4513e,2,3,10,0,pure
98efa2f66bae9a5ee3a29fb03d54b86d49178483,https://github.com/paperjs/paper.js/commit/98efa2f66bae9a5ee3a29fb03d54b86d49178483,1,1,5,0,pure
99cf8ae9d4e0d0a995ed8b615af7b0a97cc97717,https://github.com/paperjs/paper.js/commit/99cf8ae9d4e0d0a995ed8b615af7b0a97cc97717,1,1,5,0,pure
737c2c36fefa812b31575adbe2e641376b0eea73,https://github.com/paperjs/paper.js/commit/737c2c36fefa812b31575adbe2e641376b0eea73,1,1,1,>0,floss
4a9e3924c676dfffb111157d1ee99311a1272c7a,https://github.com/paperjs/paper.js/commit/4a9e3924c676dfffb111157d1ee99311a1272c7a,1,1,1,>0,floss
2952e01fc596618fd45f69fa39fd1f5e97fd8178,https://github.com/paperjs/paper.js/commit/2952e01fc596618fd45f69fa39fd1f5e97fd8178,1,1,4,0,pure
8cf70ca6e1f73e6fe43c64487aa91efe9edb8d44,https://github.com/paperjs/paper.js/commit/8cf70ca6e1f73e6fe43c64487aa91efe9edb8d44,1,1,4,0,pure
bda24fbd5458b94f8c320ae3a908009449a5a8f6,https://github.com/paperjs/paper.js/commit/bda24fbd5458b94f8c320ae3a908009449a5a8f6,1,1,1,0,pure
