commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type
9aa0abbdab3b4826e85678fa2f9d37811d6c9897,https://github.com/Unitech/pm2/commit/9aa0abbdab3b4826e85678fa2f9d37811d6c9897,6,19,5,>0,floss
1da6edde80e3029d99084992ec1a4ada7b2cc279,https://github.com/Unitech/pm2/commit/1da6edde80e3029d99084992ec1a4ada7b2cc279#diff-f22d9241c42fe8cd2acd9100ca46bb9fbb6b3fe7e62aa2c0a2356ddf1a67e519,1,8,1,>0,floss
d70465f3e42e095ff118ae33188858f0b6a17868,https://github.com/Unitech/pm2/commit/d70465f3e42e095ff118ae33188858f0b6a17868,3,8,3,>0,floss
bcd6ec3921fa331e084278bd57883a327f59aa93,https://github.com/Unitech/pm2/commit/bcd6ec3921fa331e084278bd57883a327f59aa93,1,13,1,>0,floss
8d9d54e66e6d6d4da40ab56ea57a6fbc5adf7310,https://github.com/Unitech/pm2/commit/8d9d54e66e6d6d4da40ab56ea57a6fbc5adf7310#diff-b2948ef938a56e91c66c8a71c058b43e7ac432e06b4bc4fbb335df9b7ac4e532,1,5,1,>0,floss
d3585bac6d2e02b1bb20251af0eb3c2b1656d155,https://github.com/Unitech/pm2/commit/d3585bac6d2e02b1bb20251af0eb3c2b1656d155,2,7,3,>0,floss
294051a4abbfd2f77390f7c2286eaff827a9421c,https://github.com/Unitech/pm2/commit/294051a4abbfd2f77390f7c2286eaff827a9421c,1,8,3,>0,floss
941ae1d41bab5ca6fd47f8398b5335ef5982213f,https://github.com/Unitech/pm2/commit/941ae1d41bab5ca6fd47f8398b5335ef5982213f,1,1,1,0,pure
2d6cd77e99da921346e20e690e6d8d2e4ec7a658,https://github.com/Unitech/pm2/commit/2d6cd77e99da921346e20e690e6d8d2e4ec7a658#diff-a2c6de3d3ec7fcd0f209063716ac15eac186c2cf2747fcd92c15ad8fa0ee3fb7,2,4,1,>0,floss
c79c92b3ac8d29e62819c0d8fdf3dec4b50abd97,https://github.com/Unitech/pm2/commit/c79c92b3ac8d29e62819c0d8fdf3dec4b50abd97#diff-e5c8ddf04a25d9275ad5cefdac6c705aa9fcb982e695bd3de4837f2067d1ae6e,1,21,3,>0,floss
02e1ff1b1cbee03311cebd1d901f49b59f1b7a12,https://github.com/Unitech/pm2/commit/02e1ff1b1cbee03311cebd1d901f49b59f1b7a12#diff-26fd8ba85eb1a9d09fb0316c85a9c876b41f4c3fb9d4ab6491499124766f1881,1,15,2,>0,floss
03ff6672d0bc6eab458f1074876d40892087e440,https://github.com/Unitech/pm2/commit/03ff6672d0bc6eab458f1074876d40892087e440#diff-230e1a6c98c50996d74ea602509bc5cb9e8f872c3aa38a4c099d6bdccc4b9c97,1,20,1,>0,floss
5deda8c15c2e01cbfe53814f6e502fdad884a5e3,https://github.com/Unitech/pm2/commit/5deda8c15c2e01cbfe53814f6e502fdad884a5e3#diff-fc66ec0cb4ee0a9b82afa9bd8257e4b9dacb50a93b1c17fdd421cacf14883b38,1,1,1,0,pure
