commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type
bd1e82d19af43294df240f33a738e8d1bc293444,https://github.com/hakimel/reveal.js/commit/bd1e82d19af43294df240f33a738e8d1bc293444,1,2,2,>0,floss
443b4475bc3b0171f45519b52919e701ec401fb2,https://github.com/hakimel/reveal.js/commit/443b4475bc3b0171f45519b52919e701ec401fb2,1,1,1,>0,floss
6e9a33cf1f5f11f5484bbc67f0f12e10061f72f5,https://github.com/hakimel/reveal.js/commit/6e9a33cf1f5f11f5484bbc67f0f12e10061f72f5,1,1,1,>0,floss
1c2f4a2e9243d43abf1f6606cfba079daa7d72f7,https://github.com/hakimel/reveal.js/commit/1c2f4a2e9243d43abf1f6606cfba079daa7d72f7,1,2,1,>0,floss
f7b612b1e4a916e5847cdf84be5628bd187a562f,https://github.com/hakimel/reveal.js/commit/f7b612b1e4a916e5847cdf84be5628bd187a562f,1,2,1,>0,floss
3be84bcbe3095d80766cf63a84cb677387687ce7,https://github.com/hakimel/reveal.js/commit/3be84bcbe3095d80766cf63a84cb677387687ce7,1,2,1,>0,floss
d41a5ca87f56f922e5ab227ab4c51667d103dcdf,https://github.com/hakimel/reveal.js/commit/3be84bcbe3095d80766cf63a84cb677387687ce7,1,2,1,>0,floss
6aaf88aae763588df4983fb255db08eaa1a8e60e,https://github.com/hakimel/reveal.js/commit/3be84bcbe3095d80766cf63a84cb677387687ce7,1,4,1,>0,floss
8399e828dbe2f2ac689d32251b8dceed91b76d68,https://github.com/hakimel/reveal.js/commit/8399e828dbe2f2ac689d32251b8dceed91b76d68,1,2,1,>0,floss
de551634c676831a1c0c9b2acd23f86230683d58,https://github.com/hakimel/reveal.js/commit/de551634c676831a1c0c9b2acd23f86230683d58,1,4,2,>0,floss
ee7d36a044cb44c9d366d07421de088a61043ca3,https://github.com/hakimel/reveal.js/commit/ee7d36a044cb44c9d366d07421de088a61043ca3,1,2,3,>0,floss
6ffa60f5d2e19b9e93fed34672ac860c4206e3c4,https://github.com/hakimel/reveal.js/commit/6ffa60f5d2e19b9e93fed34672ac860c4206e3c4,1,2,1,>0,floss
