commit,link,qt_file_refactorings_diff,qt_file_refactorings_interface,qt_refactorings_refdiff,qt_other_modifications_interface,type
525a61fb559227d9ea76663f2d9b4573b4cf7475,https://github.com/terser/terser/commit/525a61fb559227d9ea76663f2d9b4573b4cf7475,1,1,1,>0,floss
37cbd7080c84df4b0f0144b50f5059d1898697fd,https://github.com/terser/terser/commit/37cbd7080c84df4b0f0144b50f5059d1898697fd,1,4,2,>0,floss
a6873a38590a9176c607bcdbff726daa93e1fec7,https://github.com/terser/terser/commit/a6873a38590a9176c607bcdbff726daa93e1fec7,2,5,12,>0,floss
32f76f7ff89592e2dcb8cfa66d3ee1f95ae78d12,https://github.com/terser/terser/commit/32f76f7ff89592e2dcb8cfa66d3ee1f95ae78d12,2,7,6,>0,floss
7d3cddf9d624d169c6667a52e8d6f313d1b30159,https://github.com/terser/terser/commit/7d3cddf9d624d169c6667a52e8d6f313d1b30159,1,3,1,>0,floss
63c432f4fa0137b8dbdacdf51fbaa89d30aed646,https://github.com/terser/terser/commit/63c432f4fa0137b8dbdacdf51fbaa89d30aed646,1,4,1,>0,floss
c988e5f4d6eb06b954aca8cf7a5e34bf01ec644c,https://github.com/terser/terser/commit/c988e5f4d6eb06b954aca8cf7a5e34bf01ec644c,2,2,2,>0,floss
6c4510187066555c77003f03fd26e2cf5ff47491,https://github.com/terser/terser/commit/6c4510187066555c77003f03fd26e2cf5ff47491,1,4,2,>0,floss
5b4b07e9a7d67e593c6ae8d54dc77d174afd25ac,https://github.com/terser/terser/commit/5b4b07e9a7d67e593c6ae8d54dc77d174afd25ac,1,3,1,>0,floss
27d3669800a2a0ddb79f652b9bc7da0d64c091b9,https://github.com/terser/terser/commit/27d3669800a2a0ddb79f652b9bc7da0d64c091b9,1,5,1,>0,floss
d58b184835d9c2316bfb4411d0907ebb4446aaf0,https://github.com/terser/terser/commit/d58b184835d9c2316bfb4411d0907ebb4446aaf0,1,1,1,0,pure
5d9f1da3abc58bce95dd240bd586bedb4eb04771,https://github.com/terser/terser/commit/5d9f1da3abc58bce95dd240bd586bedb4eb04771,1,3,1,>0,floss
dee5a27516cb574dda5fc3d23a64344f0ea654b6,https://github.com/terser/terser/commit/dee5a27516cb574dda5fc3d23a64344f0ea654b6,1,4,1,>0,floss
4dcff038cb1a6951a0b20d1345bfdb27d756301c,https://github.com/terser/terser/commit/4dcff038cb1a6951a0b20d1345bfdb27d756301c#diff-2417ceb7176dd017676ec06775058d92a2bc913ee2cb6e62eb94f2ff4c95a662,1,2,1,>0,floss
0f4f01b66cb2aa4356309c70a7d6a95618603630,https://github.com/terser/terser/commit/0f4f01b66cb2aa4356309c70a7d6a95618603630,1,2,1,>0,floss
ec443e422c220619fe671166e467d3d8838b0cab,https://github.com/terser/terser/commit/ec443e422c220619fe671166e467d3d8838b0cab,1,48,1,>0,floss
ca32a09032b3e7d6aac1f0b01f67a0b67b3037f1,https://github.com/terser/terser/commit/ca32a09032b3e7d6aac1f0b01f67a0b67b3037f1,1,5,1,>0,floss
57ce5bd9e085546a5c1cb8dd4a3ea71ab6c56f26,https://github.com/terser/terser/commit/57ce5bd9e085546a5c1cb8dd4a3ea71ab6c56f26,1,3,37,>0,floss
79b98a9fe87f950607c601a45a3566a46c32f425,https://github.com/terser/terser/commit/79b98a9fe87f950607c601a45a3566a46c32f425,1,4,2,>0,floss
